R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
4,0,0
142,0,0
154,0,0
152,0,0
154,0,0
157,0,0
159,0,0
163,0,0
166,0,0
165,0,0
166,0,0
161,0,0
154,0,0
144,0,0
133,0,0
121,0,0
120,0,0
122,0,0
124,0,0
126,0,0
125,0,0
125,0,0
126,0,0
127,0,0
130,0,0
131,0,0
133,0,0
136,0,0
135,0,0
134,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
140,0,0
141,0,0
142,0,0
143,0,0
143,0,0
144,0,0
150,0,0
150,0,0
150,0,0
150,0,0
150,0,0
148,0,0
141,0,0
136,0,0
139,0,0
144,0,0
148,0,0
156,0,0
165,0,0
171,0,0
173,0,0
177,0,0
194,0,0
199,0,0
201,0,0
202,0,0
201,0,0
197,0,0
194,0,0
195,0,0
187,0,0
170,0,0
145,0,0
128,0,0
112,0,0
92,0,0
86,0,0
99,0,0
116,0,0
139,0,0
163,0,0
188,0,0
220,0,0
245,0,0
255,0,0
255,0,0
255,0,0
255,0,0
251,0,0
243,0,0
236,0,0
236,0,0
237,0,0
239,0,0
227,0,0
223,0,0
221,0,0
220,0,0
220,0,0
227,0,0
235,0,0
241,0,0
247,0,0
243,0,0
237,0,0
225,0,0
209,0,0
195,0,0
178,0,0
161,0,0
129,0,0
112,0,0
107,0,0
120,0,0
128,0,0
123,0,0
123,0,0
131,0,0
128,0,0
145,0,0
171,0,0
191,0,0
193,0,0
185,0,0
177,0,0
176,0,0
178,0,0
174,0,0
155,0,0
134,0,0
110,0,0
87,0,0
69,0,0
51,0,0
36,0,0
43,0,0
58,0,0
84,0,0
120,0,0
152,0,0
167,0,0
167,0,0
158,0,0
147,0,0
130,0,0
111,0,0
100,0,0
95,0,0
84,0,0
69,0,0
45,0,0
50,0,0
60,0,0
83,0,0
99,0,0
101,0,0
92,0,0
73,0,0
54,0,0
43,0,0
32,0,0
22,0,0
10,0,0
21,0,0
69,0,0
115,0,0
