R,G,B
79,69,42
82,69,42
82,69,42
81,69,42
80,69,42
81,69,42
81,69,42
79,69,42
80,69,42
77,69,42
73,69,42
71,69,42
70,69,42
66,69,42
62,69,42
58,69,42
51,69,42
49,69,42
48,69,42
49,69,42
50,69,42
51,69,42
53,69,42
56,69,42
59,69,42
64,69,42
66,69,42
67,69,42
70,69,42
73,69,42
75,69,42
80,69,42
84,69,42
91,69,42
106,69,42
122,69,42
140,69,42
147,69,42
134,69,42
113,69,42
98,69,42
87,69,42
86,69,42
97,69,42
105,69,42
108,69,42
107,69,42
106,69,42
102,69,42
92,69,42
88,69,42
88,69,42
82,69,42
70,69,42
56,69,42
45,69,42
43,69,42
42,69,42
44,69,42
44,69,42
43,69,42
46,69,42
52,69,42
59,69,42
72,69,42
79,69,42
87,69,42
102,69,42
121,69,42
138,69,42
153,69,42
166,69,42
175,69,42
182,69,42
188,69,42
190,69,42
192,69,42
194,69,42
195,69,42
191,69,42
193,69,42
194,69,42
196,69,42
198,69,42
200,69,42
201,69,42
202,69,42
205,69,42
206,69,42
204,69,42
202,69,42
196,69,42
187,69,42
179,69,42
171,69,42
162,69,42
159,69,42
156,69,42
165,69,42
174,69,42
186,69,42
189,69,42
174,69,42
163,69,42
169,69,42
188,69,42
203,69,42
204,69,42
200,69,42
197,69,42
188,69,42
182,69,42
180,69,42
179,69,42
180,69,42
186,69,42
193,69,42
201,69,42
207,69,42
212,69,42
213,69,42
211,69,42
207,69,42
202,69,42
190,69,42
171,69,42
145,69,42
124,69,42
105,69,42
103,69,42
104,69,42
106,69,42
107,69,42
109,69,42
117,69,42
123,69,42
135,69,42
147,69,42
162,69,42
160,69,42
143,69,42
128,69,42
132,69,42
152,69,42
158,69,42
156,69,42
151,69,42
150,69,42
152,69,42
157,69,42
161,69,42
163,69,42
168,69,42
172,69,42
178,69,42
182,69,42
182,69,42
181,69,42
173,69,42
164,69,42
162,69,42
156,69,42
145,69,42
134,69,42
117,69,42
102,69,42
86,69,42
73,69,42
58,69,42
47,69,42
40,69,42
39,69,42
39,69,42
39,69,42
39,69,42
38,69,42
36,69,42
39,69,42
39,69,42
39,69,42
37,69,42
38,69,42
43,69,42
44,69,42
47,69,42
48,69,42
49,69,42
57,69,42
78,69,42
100,69,42
109,69,42
105,69,42
98,69,42
91,69,42
94,69,42
102,69,42
107,69,42
112,69,42
113,69,42
108,69,42
105,69,42
102,69,42
97,69,42
93,69,42
90,69,42
87,69,42
81,69,42
75,69,42
72,69,42
64,69,42
58,69,42
50,69,42
45,69,42
45,69,42
43,69,42
47,69,42
50,69,42
82,69,42
144,69,42
147,69,42
139,69,42
149,69,42
139,69,42
138,69,42
132,69,42
126,69,42
114,69,42
102,69,42
96,69,42
96,69,42
92,69,42
86,69,42
85,69,42
86,69,42
83,69,42
74,69,42
64,69,42
58,69,42
57,69,42
57,69,42
52,69,42
51,69,42
49,69,42
50,69,42
48,69,42
47,69,42
49,69,42
52,69,42
47,69,42
48,69,42
92,82,52
93,82,52
93,82,52
92,82,52
94,82,52
94,82,52
92,82,52
91,82,52
89,82,52
86,82,52
83,82,52
79,82,52
77,82,52
74,82,52
69,82,52
65,82,52
58,82,52
56,82,52
55,82,52
54,82,52
54,82,52
53,82,52
54,82,52
56,82,52
61,82,52
66,82,52
70,82,52
75,82,52
82,82,52
88,82,52
95,82,52
99,82,52
102,82,52
107,82,52
118,82,52
131,82,52
146,82,52
154,82,52
144,82,52
