R,G,B
153,139,128
152,139,128
151,139,128
150,139,128
149,139,128
148,139,128
147,139,128
148,139,128
147,139,128
149,139,128
151,139,128
151,139,128
153,139,128
155,139,128
158,139,128
160,139,128
167,139,128
169,139,128
172,139,128
174,139,128
174,139,128
176,139,128
176,139,128
174,139,128
172,139,128
168,139,128
163,139,128
158,139,128
156,139,128
151,139,128
148,139,128
147,139,128
141,139,128
137,139,128
134,139,128
130,139,128
126,139,128
124,139,128
124,139,128
126,139,128
126,139,128
128,139,128
129,139,128
131,139,128
131,139,128
132,139,128
131,139,128
132,139,128
133,139,128
134,139,128
135,139,128
137,139,128
138,139,128
139,139,128
140,139,128
141,139,128
143,139,128
143,139,128
144,139,128
145,139,128
145,139,128
146,139,128
146,139,128
147,139,128
147,139,128
147,139,128
148,139,128
148,139,128
149,139,128
150,139,128
150,139,128
150,139,128
151,139,128
151,139,128
151,139,128
151,139,128
150,139,128
148,139,128
146,139,128
144,139,128
140,139,128
139,139,128
135,139,128
130,139,128
125,139,128
120,139,128
113,139,128
109,139,128
103,139,128
97,139,128
91,139,128
85,139,128
85,139,128
87,139,128
86,139,128
85,139,128
84,139,128
84,139,128
85,139,128
85,139,128
87,139,128
86,139,128
87,139,128
88,139,128
89,139,128
90,139,128
92,139,128
93,139,128
94,139,128
95,139,128
98,139,128
99,139,128
98,139,128
100,139,128
102,139,128
104,139,128
105,139,128
107,139,128
107,139,128
108,139,128
110,139,128
111,139,128
111,139,128
113,139,128
114,139,128
116,139,128
118,139,128
119,139,128
120,139,128
121,139,128
123,139,128
124,139,128
125,139,128
126,139,128
127,139,128
128,139,128
129,139,128
130,139,128
129,139,128
128,139,128
127,139,128
128,139,128
129,139,128
128,139,128
128,139,128
128,139,128
128,139,128
128,139,128
128,139,128
126,139,128
126,139,128
125,139,128
125,139,128
125,139,128
124,139,128
126,139,128
126,139,128
126,139,128
126,139,128
125,139,128
126,139,128
125,139,128
124,139,128
124,139,128
122,139,128
121,139,128
118,139,128
119,139,128
119,139,128
118,139,128
120,139,128
120,139,128
121,139,128
122,139,128
121,139,128
120,139,128
120,139,128
121,139,128
121,139,128
122,139,128
121,139,128
122,139,128
120,139,128
121,139,128
124,139,128
124,139,128
123,139,128
123,139,128
122,139,128
122,139,128
122,139,128
122,139,128
118,139,128
119,139,128
121,139,128
122,139,128
121,139,128
120,139,128
120,139,128
120,139,128
119,139,128
120,139,128
122,139,128
123,139,128
122,139,128
122,139,128
122,139,128
122,139,128
124,139,128
123,139,128
121,139,128
122,139,128
124,139,128
123,139,128
123,139,128
121,139,128
121,139,128
121,139,128
121,139,128
121,139,128
122,139,128
123,139,128
125,139,128
125,139,128
124,139,128
125,139,128
126,139,128
127,139,128
129,139,128
129,139,128
129,139,128
130,139,128
123,139,128
137,139,128
151,139,128
145,139,128
110,139,128
64,139,128
39,139,128
36,139,128
43,139,128
39,139,128
36,139,128
34,139,128
34,139,128
32,139,128
27,139,128
22,139,128
23,139,128
24,139,128
153,138,127
152,138,127
151,138,127
150,138,127
149,138,127
148,138,127
147,138,127
148,138,127
147,138,127
149,138,127
151,138,127
151,138,127
153,138,127
155,138,127
158,138,127
160,138,127
167,138,127
169,138,127
172,138,127
174,138,127
175,138,127
176,138,127
176,138,127
175,138,127
172,138,127
168,138,127
163,138,127
158,138,127
156,138,127
151,138,127
148,138,127
147,138,127
141,138,127
137,138,127
134,138,127
130,138,127
126,138,127
124,138,127
125,138,127
126,138,127
126,138,127
128,138,127
130,138,127
131,138,127
132,138,127
132,138,127
132,138,127
133,138,127
133,138,127
134,138,127
136,138,127
137,138,127
138,138,127
139,138,127
141,138,127
142,138,127
143,138,127
144,138,127
144,138,127
145,138,127
145,138,127
146,138,127
147,138,127
147,138,127
147,138,127
147,138,127
148,138,127
149,138,127
149,138,127
150,138,127
150,138,127
151,138,127
151,138,127
151,138,127
151,138,127
151,138,127
150,138,127
149,138,127
146,138,127
144,138,127
141,138,127
139,138,127
135,138,127
130,138,127
125,138,127
120,138,127
113,138,127
109,138,127
103,138,127
97,138,127
91,138,127
85,138,127
85,138,127
87,138,127
86,138,127
85,138,127
84,138,127
84,138,127
85,138,127
85,138,127
87,138,127
86,138,127
87,138,127
88,138,127
89,138,127
90,138,127
92,138,127
93,138,127
94,138,127
95,138,127
98,138,127
99,138,127
98,138,127
100,138,127
102,138,127
104,138,127
105,138,127
107,138,127
107,138,127
108,138,127
110,138,127
111,138,127
111,138,127
113,138,127
114,138,127
116,138,127
118,138,127
119,138,127
120,138,127
121,138,127
123,138,127
124,138,127
125,138,127
126,138,127
127,138,127
128,138,127
129,138,127
130,138,127
129,138,127
128,138,127
127,138,127
128,138,127
129,138,127
128,138,127
128,138,127
128,138,127
128,138,127
128,138,127
128,138,127
126,138,127
126,138,127
125,138,127
125,138,127
125,138,127
124,138,127
126,138,127
126,138,127
126,138,127
126,138,127
125,138,127
126,138,127
125,138,127
123,138,127
123,138,127
122,138,127
121,138,127
119,138,127
119,138,127
119,138,127
119,138,127
121,138,127
121,138,127
122,138,127
123,138,127
122,138,127
121,138,127
121,138,127
121,138,127
121,138,127
122,138,127
122,138,127
122,138,127
121,138,127
121,138,127
123,138,127
123,138,127
123,138,127
123,138,127
121,138,127
121,138,127
121,138,127
121,138,127
117,138,127
118,138,127
120,138,127
121,138,127
120,138,127
119,138,127
119,138,127
119,138,127
119,138,127
120,138,127
121,138,127
123,138,127
121,138,127
122,138,127
121,138,127
121,138,127
124,138,127
123,138,127
120,138,127
122,138,127
123,138,127
122,138,127
122,138,127
120,138,127
120,138,127
120,138,127
120,138,127
121,138,127
121,138,127
122,138,127
124,138,127
124,138,127
124,138,127
125,138,127
126,138,127
126,138,127
127,138,127
127,138,127
126,138,127
128,138,127
126,138,127
135,138,127
140,138,127
126,138,127
93,138,127
57,138,127
39,138,127
37,138,127
43,138,127
39,138,127
35,138,127
33,138,127
34,138,127
31,138,127
27,138,127
23,138,127
23,138,127
24,138,127
153,137,126
152,137,126
151,137,126
150,137,126
149,137,126
148,137,126
147,137,126
148,137,126
147,137,126
149,137,126
151,137,126
151,137,126
153,137,126
155,137,126
158,137,126
160,137,126
168,137,126
169,137,126
172,137,126
174,137,126
175,137,126
176,137,126
176,137,126
175,137,126
172,137,126
168,137,126
163,137,126
159,137,126
156,137,126
152,137,126
149,137,126
148,137,126
142,137,126
138,137,126
135,137,126
131,137,126
127,137,126
125,137,126
126,137,126
127,137,126
127,137,126
129,137,126
131,137,126
132,137,126
133,137,126
133,137,126
133,137,126
134,137,126
134,137,126
135,137,126
136,137,126
138,137,126
138,137,126
140,137,126
141,137,126
142,137,126
144,137,126
144,137,126
145,137,126
145,137,126
146,137,126
147,137,126
147,137,126
147,137,126
148,137,126
148,137,126
148,137,126
149,137,126
150,137,126
150,137,126
151,137,126
151,137,126
152,137,126
152,137,126
152,137,126
152,137,126
151,137,126
149,137,126
147,137,126
145,137,126
141,137,126
139,137,126
135,137,126
131,137,126
125,137,126
120,137,126
114,137,126
109,137,126
104,137,126
98,137,126
91,137,126
86,137,126
85,137,126
87,137,126
86,137,126
85,137,126
84,137,126
84,137,126
85,137,126
85,137,126
87,137,126
86,137,126
87,137,126
88,137,126
89,137,126
90,137,126
92,137,126
93,137,126
94,137,126
95,137,126
98,137,126
99,137,126
98,137,126
100,137,126
102,137,126
104,137,126
105,137,126
107,137,126
107,137,126
108,137,126
110,137,126
111,137,126
111,137,126
113,137,126
114,137,126
116,137,126
118,137,126
119,137,126
120,137,126
121,137,126
123,137,126
124,137,126
125,137,126
126,137,126
127,137,126
128,137,126
129,137,126
130,137,126
129,137,126
128,137,126
127,137,126
128,137,126
129,137,126
128,137,126
128,137,126
128,137,126
128,137,126
128,137,126
128,137,126
126,137,126
126,137,126
125,137,126
125,137,126
125,137,126
124,137,126
126,137,126
126,137,126
126,137,126
126,137,126
125,137,126
127,137,126
125,137,126
123,137,126
123,137,126
122,137,126
121,137,126
119,137,126
120,137,126
120,137,126
120,137,126
122,137,126
122,137,126
123,137,126
123,137,126
123,137,126
122,137,126
121,137,126
121,137,126
122,137,126
122,137,126
122,137,126
123,137,126
121,137,126
121,137,126
123,137,126
123,137,126
122,137,126
122,137,126
120,137,126
120,137,126
120,137,126
120,137,126
116,137,126
117,137,126
119,137,126
119,137,126
118,137,126
118,137,126
118,137,126
118,137,126
118,137,126
119,137,126
120,137,126
121,137,126
120,137,126
120,137,126
120,137,126
120,137,126
122,137,126
122,137,126
119,137,126
121,137,126
121,137,126
122,137,126
120,137,126
119,137,126
119,137,126
119,137,126
119,137,126
119,137,126
120,137,126
121,137,126
122,137,126
123,137,126
123,137,126
124,137,126
124,137,126
125,137,126
125,137,126
124,137,126
125,137,126
125,137,126
127,137,126
131,137,126
125,137,126
103,137,126
70,137,126
47,137,126
39,137,126
39,137,126
42,137,126
38,137,126
34,137,126
31,137,126
33,137,126
30,137,126
27,137,126
23,137,126
23,137,126
24,137,126
153,136,125
152,136,125
151,136,125
150,136,125
149,136,125
148,136,125
147,136,125
148,136,125
147,136,125
149,136,125
151,136,125
151,136,125
153,136,125
155,136,125
158,136,125
160,136,125
168,136,125
170,136,125
172,136,125
175,136,125
175,136,125
176,136,125
176,136,125
175,136,125
172,136,125
168,136,125
163,136,125
159,136,125
157,136,125
152,136,125
150,136,125
149,136,125
142,136,125
138,136,125
135,136,125
132,136,125
128,136,125
126,136,125
127,136,125
128,136,125
128,136,125
131,136,125
132,136,125
133,136,125
134,136,125
134,136,125
134,136,125
135,136,125
135,136,125
136,136,125
137,136,125
139,136,125
139,136,125
140,136,125
142,136,125
143,136,125
145,136,125
145,136,125
145,136,125
146,136,125
147,136,125
147,136,125
148,136,125
148,136,125
148,136,125
149,136,125
149,136,125
150,136,125
150,136,125
151,136,125
151,136,125
152,136,125
152,136,125
152,136,125
152,136,125
152,136,125
152,136,125
150,136,125
147,136,125
145,136,125
141,136,125
139,136,125
136,136,125
131,136,125
125,136,125
120,136,125
114,136,125
109,136,125
104,136,125
98,136,125
92,136,125
86,136,125
85,136,125
86,136,125
86,136,125
85,136,125
84,136,125
84,136,125
85,136,125
85,136,125
87,136,125
86,136,125
87,136,125
88,136,125
89,136,125
90,136,125
92,136,125
93,136,125
94,136,125
95,136,125
98,136,125
99,136,125
98,136,125
100,136,125
102,136,125
104,136,125
105,136,125
107,136,125
107,136,125
108,136,125
110,136,125
111,136,125
111,136,125
113,136,125
114,136,125
116,136,125
118,136,125
119,136,125
120,136,125
121,136,125
123,136,125
124,136,125
125,136,125
126,136,125
127,136,125
128,136,125
129,136,125
130,136,125
129,136,125
128,136,125
127,136,125
128,136,125
129,136,125
128,136,125
128,136,125
128,136,125
128,136,125
128,136,125
128,136,125
126,136,125
126,136,125
125,136,125
125,136,125
125,136,125
124,136,125
126,136,125
126,136,125
126,136,125
126,136,125
125,136,125
127,136,125
125,136,125
123,136,125
123,136,125
122,136,125
121,136,125
119,136,125
120,136,125
121,136,125
120,136,125
122,136,125
123,136,125
123,136,125
124,136,125
123,136,125
122,136,125
122,136,125
122,136,125
122,136,125
122,136,125
123,136,125
121,136,125
122,136,125
121,136,125
122,136,125
121,136,125
121,136,125
119,136,125
119,136,125
119,136,125
119,136,125
119,136,125
116,136,125
117,136,125
118,136,125
118,136,125
117,136,125
117,136,125
117,136,125
117,136,125
117,136,125
117,136,125
118,136,125
119,136,125
118,136,125
118,136,125
118,136,125
118,136,125
120,136,125
120,136,125
118,136,125
119,136,125
119,136,125
120,136,125
118,136,125
118,136,125
118,136,125
117,136,125
117,136,125
117,136,125
118,136,125
119,136,125
120,136,125
120,136,125
121,136,125
122,136,125
123,136,125
123,136,125
123,136,125
124,136,125
123,136,125
123,136,125
127,136,125
126,136,125
112,136,125
80,136,125
51,136,125
39,136,125
40,136,125
42,136,125
42,136,125
37,136,125
32,136,125
31,136,125
31,136,125
30,136,125
27,136,125
25,136,125
23,136,125
24,136,125
153,135,124
152,135,124
151,135,124
150,135,124
149,135,124
148,135,124
147,135,124
148,135,124
147,135,124
149,135,124
151,135,124
151,135,124
153,135,124
155,135,124
158,135,124
160,135,124
168,135,124
170,135,124
172,135,124
175,135,124
175,135,124
176,135,124
176,135,124
175,135,124
172,135,124
168,135,124
163,135,124
159,135,124
157,135,124
153,135,124
150,135,124
149,135,124
143,135,124
138,135,124
136,135,124
132,135,124
129,135,124
127,135,124
128,135,124
129,135,124
130,135,124
132,135,124
134,135,124
135,135,124
135,135,124
136,135,124
135,135,124
136,135,124
136,135,124
137,135,124
139,135,124
140,135,124
141,135,124
142,135,124
143,135,124
144,135,124
145,135,124
146,135,124
146,135,124
147,135,124
147,135,124
148,135,124
148,135,124
149,135,124
149,135,124
149,135,124
150,135,124
150,135,124
151,135,124
152,135,124
152,135,124
152,135,124
153,135,124
153,135,124
153,135,124
153,135,124
152,135,124
150,135,124
148,135,124
146,135,124
142,135,124
140,135,124
136,135,124
132,135,124
126,135,124
121,135,124
115,135,124
110,135,124
105,135,124
99,135,124
93,135,124
87,135,124
85,135,124
86,135,124
86,135,124
85,135,124
84,135,124
84,135,124
85,135,124
85,135,124
87,135,124
86,135,124
87,135,124
88,135,124
89,135,124
90,135,124
92,135,124
93,135,124
94,135,124
95,135,124
98,135,124
99,135,124
98,135,124
100,135,124
102,135,124
104,135,124
105,135,124
107,135,124
107,135,124
108,135,124
110,135,124
111,135,124
111,135,124
113,135,124
114,135,124
116,135,124
118,135,124
119,135,124
120,135,124
121,135,124
123,135,124
124,135,124
125,135,124
126,135,124
127,135,124
128,135,124
129,135,124
130,135,124
129,135,124
128,135,124
127,135,124
128,135,124
129,135,124
128,135,124
128,135,124
128,135,124
128,135,124
128,135,124
128,135,124
126,135,124
126,135,124
125,135,124
125,135,124
125,135,124
124,135,124
126,135,124
126,135,124
126,135,124
126,135,124
125,135,124
127,135,124
124,135,124
123,135,124
123,135,124
122,135,124
121,135,124
120,135,124
121,135,124
121,135,124
120,135,124
122,135,124
123,135,124
123,135,124
124,135,124
123,135,124
122,135,124
122,135,124
123,135,124
122,135,124
123,135,124
123,135,124
122,135,124
123,135,124
122,135,124
122,135,124
121,135,124
121,135,124
119,135,124
119,135,124
118,135,124
118,135,124
118,135,124
116,135,124
116,135,124
117,135,124
118,135,124
116,135,124
116,135,124
116,135,124
117,135,124
116,135,124
116,135,124
117,135,124
117,135,124
116,135,124
116,135,124
116,135,124
116,135,124
118,135,124
118,135,124
118,135,124
117,135,124
118,135,124
117,135,124
117,135,124
115,135,124
115,135,124
115,135,124
115,135,124
115,135,124
116,135,124
116,135,124
117,135,124
118,135,124
119,135,124
119,135,124
120,135,124
121,135,124
123,135,124
123,135,124
122,135,124
123,135,124
126,135,124
120,135,124
96,135,124
61,135,124
39,135,124
36,135,124
42,135,124
46,135,124
41,135,124
36,135,124
32,135,124
29,135,124
30,135,124
29,135,124
28,135,124
25,135,124
23,135,124
24,135,124
153,134,123
152,134,123
151,134,123
150,134,123
149,134,123
148,134,123
147,134,123
148,134,123
147,134,123
149,134,123
151,134,123
151,134,123
153,134,123
155,134,123
158,134,123
160,134,123
168,134,123
169,134,123
172,134,123
174,134,123
175,134,123
176,134,123
176,134,123
175,134,123
172,134,123
168,134,123
164,134,123
160,134,123
158,134,123
154,134,123
151,134,123
150,134,123
143,134,123
139,134,123
136,134,123
133,134,123
130,134,123
128,134,123
129,134,123
131,134,123
131,134,123
133,134,123
135,134,123
136,134,123
136,134,123
137,134,123
137,134,123
137,134,123
138,134,123
139,134,123
140,134,123
141,134,123
142,134,123
143,134,123
144,134,123
145,134,123
146,134,123
146,134,123
147,134,123
147,134,123
148,134,123
149,134,123
149,134,123
149,134,123
150,134,123
150,134,123
150,134,123
151,134,123
152,134,123
152,134,123
153,134,123
153,134,123
154,134,123
154,134,123
154,134,123
154,134,123
153,134,123
151,134,123
149,134,123
147,134,123
143,134,123
141,134,123
137,134,123
133,134,123
127,134,123
122,134,123
116,134,123
111,134,123
105,134,123
99,134,123
94,134,123
87,134,123
85,134,123
86,134,123
86,134,123
85,134,123
84,134,123
84,134,123
85,134,123
85,134,123
87,134,123
86,134,123
87,134,123
88,134,123
89,134,123
90,134,123
92,134,123
93,134,123
94,134,123
95,134,123
98,134,123
99,134,123
98,134,123
100,134,123
102,134,123
104,134,123
105,134,123
107,134,123
107,134,123
108,134,123
110,134,123
111,134,123
111,134,123
113,134,123
114,134,123
116,134,123
118,134,123
119,134,123
120,134,123
121,134,123
123,134,123
124,134,123
125,134,123
126,134,123
127,134,123
128,134,123
129,134,123
130,134,123
129,134,123
128,134,123
127,134,123
128,134,123
129,134,123
128,134,123
128,134,123
128,134,123
128,134,123
128,134,123
128,134,123
126,134,123
126,134,123
125,134,123
125,134,123
125,134,123
124,134,123
126,134,123
126,134,123
126,134,123
126,134,123
125,134,123
127,134,123
124,134,123
123,134,123
123,134,123
122,134,123
122,134,123
121,134,123
122,134,123
121,134,123
121,134,123
123,134,123
123,134,123
124,134,123
124,134,123
123,134,123
123,134,123
122,134,123
122,134,123
123,134,123
123,134,123
122,134,123
123,134,123
122,134,123
122,134,123
121,134,123
121,134,123
119,134,123
119,134,123
118,134,123
118,134,123
118,134,123
118,134,123
115,134,123
116,134,123
117,134,123
117,134,123
115,134,123
115,134,123
115,134,123
116,134,123
115,134,123
115,134,123
115,134,123
116,134,123
114,134,123
114,134,123
114,134,123
114,134,123
116,134,123
116,134,123
116,134,123
115,134,123
115,134,123
114,134,123
115,134,123
115,134,123
114,134,123
112,134,123
112,134,123
112,134,123
113,134,123
116,134,123
117,134,123
117,134,123
115,134,123
116,134,123
119,134,123
121,134,123
121,134,123
121,134,123
122,134,123
122,134,123
124,134,123
106,134,123
75,134,123
47,134,123
33,134,123
37,134,123
45,134,123
50,134,123
41,134,123
36,134,123
29,134,123
27,134,123
27,134,123
29,134,123
27,134,123
25,134,123
25,134,123
25,134,123
153,133,122
152,133,122
151,133,122
150,133,122
149,133,122
148,133,122
147,133,122
148,133,122
147,133,122
149,133,122
151,133,122
151,133,122
153,133,122
155,133,122
158,133,122
160,133,122
167,133,122
169,133,122
172,133,122
174,133,122
175,133,122
176,133,122
176,133,122
175,133,122
172,133,122
168,133,122
164,133,122
160,133,122
158,133,122
154,133,122
152,133,122
151,133,122
143,133,122
139,133,122
137,133,122
134,133,122
130,133,122
129,133,122
130,133,122
131,133,122
132,133,122
134,133,122
136,133,122
137,133,122
137,133,122
138,133,122
138,133,122
138,133,122
139,133,122
140,133,122
141,133,122
142,133,122
143,133,122
144,133,122
145,133,122
146,133,122
146,133,122
147,133,122
147,133,122
148,133,122
148,133,122
149,133,122
150,133,122
150,133,122
150,133,122
150,133,122
151,133,122
152,133,122
152,133,122
153,133,122
153,133,122
154,133,122
154,133,122
154,133,122
154,133,122
154,133,122
153,133,122
152,133,122
149,133,122
147,133,122
143,133,122
142,133,122
138,133,122
133,133,122
128,133,122
123,133,122
116,133,122
112,133,122
105,133,122
100,133,122
94,133,122
88,133,122
85,133,122
86,133,122
86,133,122
85,133,122
84,133,122
84,133,122
85,133,122
85,133,122
87,133,122
86,133,122
87,133,122
88,133,122
89,133,122
90,133,122
92,133,122
93,133,122
94,133,122
95,133,122
98,133,122
99,133,122
98,133,122
100,133,122
102,133,122
104,133,122
105,133,122
107,133,122
107,133,122
108,133,122
110,133,122
111,133,122
111,133,122
113,133,122
114,133,122
116,133,122
118,133,122
119,133,122
120,133,122
121,133,122
123,133,122
124,133,122
125,133,122
126,133,122
127,133,122
128,133,122
129,133,122
130,133,122
129,133,122
128,133,122
127,133,122
128,133,122
129,133,122
128,133,122
128,133,122
128,133,122
128,133,122
128,133,122
128,133,122
126,133,122
126,133,122
125,133,122
125,133,122
125,133,122
124,133,122
126,133,122
126,133,122
126,133,122
126,133,122
125,133,122
127,133,122
124,133,122
123,133,122
123,133,122
122,133,122
122,133,122
121,133,122
122,133,122
122,133,122
122,133,122
124,133,122
124,133,122
124,133,122
