R,G,B
149,140,143
150,140,143
152,140,143
150,140,143
149,140,143
148,140,143
146,140,143
146,140,143
151,140,143
143,140,143
130,140,143
104,140,143
70,140,143
52,140,143
51,140,143
51,140,143
54,140,143
60,140,143
67,140,143
69,140,143
68,140,143
63,140,143
59,140,143
59,140,143
65,140,143
72,140,143
76,140,143
76,140,143
74,140,143
66,140,143
62,140,143
62,140,143
72,140,143
81,140,143
77,140,143
71,140,143
73,140,143
64,140,143
57,140,143
71,140,143
88,140,143
102,140,143
105,140,143
107,140,143
127,140,143
158,140,143
191,140,143
216,140,143
229,140,143
227,140,143
217,140,143
211,140,143
206,140,143
197,140,143
184,140,143
161,140,143
146,140,143
135,140,143
146,140,143
166,140,143
180,140,143
195,140,143
209,140,143
226,140,143
230,140,143
234,140,143
229,140,143
225,140,143
227,140,143
223,140,143
218,140,143
221,140,143
230,140,143
225,140,143
216,140,143
207,140,143
208,140,143
217,140,143
225,140,143
232,140,143
226,140,143
229,140,143
232,140,143
231,140,143
225,140,143
216,140,143
208,140,143
200,140,143
193,140,143
187,140,143
180,140,143
175,140,143
175,140,143
176,140,143
178,140,143
180,140,143
178,140,143
178,140,143
178,140,143
182,140,143
191,140,143
196,140,143
196,140,143
197,140,143
198,140,143
199,140,143
202,140,143
199,140,143
196,140,143
201,140,143
212,140,143
216,140,143
211,140,143
206,140,143
202,140,143
203,140,143
212,140,143
221,140,143
225,140,143
225,140,143
218,140,143
213,140,143
205,140,143
186,140,143
167,140,143
146,140,143
121,140,143
112,140,143
103,140,143
115,140,143
128,140,143
139,140,143
149,140,143
158,140,143
160,140,143
162,140,143
153,140,143
146,140,143
144,140,143
144,140,143
143,140,143
147,140,143
157,140,143
166,140,143
187,140,143
178,140,143
187,140,143
202,140,143
203,140,143
184,140,143
152,140,143
134,140,143
120,140,143
116,140,143
88,140,143
76,140,143
62,140,143
47,140,143
31,140,143
28,140,143
22,140,143
32,140,143
41,140,143
40,140,143
33,140,143
25,140,143
18,140,143
13,140,143
21,140,143
21,140,143
22,140,143
24,140,143
24,140,143
23,140,143
22,140,143
21,140,143
24,140,143
22,140,143
23,140,143
23,140,143
21,140,143
20,140,143
18,140,143
17,140,143
19,140,143
18,140,143
19,140,143
20,140,143
21,140,143
22,140,143
24,140,143
24,140,143
23,140,143
20,140,143
17,140,143
20,140,143
33,140,143
48,140,143
58,140,143
61,140,143
59,140,143
60,140,143
64,140,143
70,140,143
70,140,143
69,140,143
70,140,143
70,140,143
75,140,143
77,140,143
74,140,143
69,140,143
65,140,143
60,140,143
53,140,143
48,140,143
48,140,143
50,140,143
55,140,143
55,140,143
54,140,143
54,140,143
56,140,143
59,140,143
74,140,143
79,140,143
86,140,143
93,140,143
95,140,143
95,140,143
93,140,143
93,140,143
92,140,143
84,140,143
76,140,143
66,140,143
58,140,143
51,140,143
47,140,143
45,140,143
47,140,143
55,140,143
67,140,143
85,140,143
94,140,143
90,140,143
84,140,143
75,140,143
61,140,143
57,140,143
153,145,148
154,145,148
155,145,148
153,145,148
152,145,148
151,145,148
150,145,148
150,145,148
153,145,148
142,145,148
131,145,148
109,145,148
82,145,148
68,145,148
68,145,148
66,145,148
65,145,148
68,145,148
70,145,148
72,145,148
68,145,148
63,145,148
61,145,148
59,145,148
65,145,148
69,145,148
69,145,148
67,145,148
64,145,148
62,145,148
61,145,148
64,145,148
71,145,148
78,145,148
73,145,148
65,145,148
65,145,148
58,145,148
56,145,148
69,145,148
83,145,148
94,145,148
98,145,148
101,145,148
118,145,148
147,145,148
181,145,148
208,145,148
220,145,148
220,145,148
212,145,148
209,145,148
207,145,148
202,145,148
190,145,148
168,145,148
149,145,148
134,145,148
141,145,148
155,145,148
167,145,148
182,145,148
194,145,148
208,145,148
212,145,148
216,145,148
214,145,148
213,145,148
216,145,148
209,145,148
203,145,148
207,145,148
212,145,148
213,145,148
211,145,148
212,145,148
216,145,148
224,145,148
229,145,148
231,145,148
226,145,148
227,145,148
226,145,148
223,145,148
218,145,148
212,145,148
208,145,148
202,145,148
193,145,148
188,145,148
183,145,148
179,145,148
179,145,148
179,145,148
181,145,148
183,145,148
180,145,148
180,145,148
184,145,148
191,145,148
195,145,148
191,145,148
191,145,148
198,145,148
207,145,148
211,145,148
210,145,148
210,145,148
215,145,148
208,145,148
194,145,148
184,145,148
181,145,148
176,145,148
172,145,148
174,145,148
182,145,148
189,145,148
194,145,148
196,145,148
188,145,148
181,145,148
173,145,148
156,145,148
139,145,148
122,145,148
104,145,148
102,145,148
109,145,148
120,145,148
129,145,148
137,145,148
144,145,148
149,145,148
149,145,148
149,145,148
156,145,148
160,145,148
162,145,148
162,145,148
164,145,148
170,145,148
177,145,148
186,145,148
203,145,148
201,145,148
212,145,148
221,145,148
217,145,148
193,145,148
153,145,148
130,145,148
126,145,148
125,145,148
101,145,148
85,145,148
65,145,148
49,145,148
33,145,148
30,145,148
29,145,148
40,145,148
49,145,148
46,145,148
38,145,148
30,145,148
27,145,148
22,145,148
20,145,148
20,145,148
22,145,148
24,145,148
26,145,148
26,145,148
25,145,148
24,145,148
24,145,148
22,145,148
21,145,148
19,145,148
19,145,148
20,145,148
18,145,148
15,145,148
16,145,148
18,145,148
17,145,148
18,145,148
19,145,148
20,145,148
21,145,148
21,145,148
25,145,148
23,145,148
19,145,148
22,145,148
34,145,148
49,145,148
60,145,148
65,145,148
64,145,148
61,145,148
61,145,148
65,145,148
67,145,148
67,145,148
68,145,148
68,145,148
74,145,148
75,145,148
73,145,148
70,145,148
67,145,148
63,145,148
60,145,148
54,145,148
50,145,148
52,145,148
56,145,148
57,145,148
56,145,148
56,145,148
58,145,148
59,145,148
68,145,148
72,145,148
77,145,148
82,145,148
84,145,148
83,145,148
82,145,148
80,145,148
78,145,148
72,145,148
65,145,148
59,145,148
51,145,148
46,145,148
42,145,148
39,145,148
44,145,148
57,145,148
