R,G,B
92,75,68
92,75,68
93,75,68
93,75,68
93,75,68
94,75,68
94,75,68
94,75,68
94,75,68
94,75,68
94,75,68
94,75,68
95,75,68
95,75,68
95,75,68
95,75,68
97,75,68
98,75,68
98,75,68
96,75,68
95,75,68
95,75,68
93,75,68
93,75,68
94,75,68
94,75,68
96,75,68
97,75,68
97,75,68
99,75,68
99,75,68
99,75,68
97,75,68
97,75,68
97,75,68
99,75,68
100,75,68
100,75,68
100,75,68
100,75,68
100,75,68
100,75,68
100,75,68
101,75,68
102,75,68
102,75,68
102,75,68
102,75,68
102,75,68
102,75,68
102,75,68
102,75,68
102,75,68
103,75,68
103,75,68
103,75,68
103,75,68
103,75,68
104,75,68
104,75,68
103,75,68
103,75,68
104,75,68
104,75,68
106,75,68
106,75,68
106,75,68
107,75,68
107,75,68
107,75,68
107,75,68
107,75,68
108,75,68
108,75,68
108,75,68
108,75,68
108,75,68
108,75,68
108,75,68
108,75,68
108,75,68
108,75,68
108,75,68
108,75,68
109,75,68
109,75,68
109,75,68
110,75,68
109,75,68
109,75,68
110,75,68
110,75,68
110,75,68
111,75,68
111,75,68
111,75,68
111,75,68
111,75,68
112,75,68
112,75,68
112,75,68
112,75,68
113,75,68
113,75,68
113,75,68
113,75,68
113,75,68
114,75,68
114,75,68
114,75,68
115,75,68
115,75,68
116,75,68
116,75,68
116,75,68
116,75,68
116,75,68
117,75,68
117,75,68
117,75,68
117,75,68
118,75,68
119,75,68
119,75,68
119,75,68
119,75,68
120,75,68
121,75,68
119,75,68
119,75,68
119,75,68
120,75,68
120,75,68
120,75,68
120,75,68
120,75,68
121,75,68
121,75,68
121,75,68
121,75,68
122,75,68
122,75,68
122,75,68
122,75,68
124,75,68
124,75,68
123,75,68
123,75,68
123,75,68
123,75,68
123,75,68
122,75,68
121,75,68
121,75,68
122,75,68
122,75,68
123,75,68
123,75,68
124,75,68
124,75,68
124,75,68
124,75,68
125,75,68
125,75,68
125,75,68
124,75,68
125,75,68
125,75,68
125,75,68
126,75,68
126,75,68
127,75,68
127,75,68
128,75,68
128,75,68
128,75,68
129,75,68
129,75,68
129,75,68
128,75,68
128,75,68
128,75,68
128,75,68
128,75,68
129,75,68
129,75,68
129,75,68
129,75,68
129,75,68
129,75,68
129,75,68
129,75,68
130,75,68
130,75,68
130,75,68
131,75,68
131,75,68
132,75,68
132,75,68
133,75,68
133,75,68
133,75,68
133,75,68
133,75,68
133,75,68
133,75,68
134,75,68
134,75,68
134,75,68
134,75,68
134,75,68
135,75,68
135,75,68
136,75,68
136,75,68
136,75,68
137,75,68
138,75,68
139,75,68
140,75,68
140,75,68
142,75,68
146,75,68
148,75,68
147,75,68
148,75,68
149,75,68
148,75,68
147,75,68
144,75,68
141,75,68
139,75,68
142,75,68
143,75,68
143,75,68
141,75,68
140,75,68
141,75,68
143,75,68
144,75,68
150,75,68
152,75,68
155,75,68
159,75,68
162,75,68
165,75,68
166,75,68
166,75,68
160,75,68
160,75,68
93,76,69
93,76,69
94,76,69
94,76,69
94,76,69
94,76,69
94,76,69
95,76,69
95,76,69
95,76,69
95,76,69
95,76,69
96,76,69
96,76,69
96,76,69
96,76,69
