R,G,B
87,78,47
88,78,47
88,78,47
89,78,47
89,78,47
90,78,47
91,78,47
92,78,47
93,78,47
91,78,47
91,78,47
89,78,47
88,78,47
87,78,47
85,78,47
83,78,47
85,78,47
84,78,47
79,78,47
77,78,47
78,78,47
79,78,47
80,78,47
87,78,47
98,78,47
108,78,47
122,78,47
133,78,47
146,78,47
160,78,47
173,78,47
178,78,47
188,78,47
197,78,47
193,78,47
184,78,47
172,78,47
164,78,47
160,78,47
151,78,47
135,78,47
128,78,47
140,78,47
153,78,47
155,78,47
149,78,47
139,78,47
138,78,47
137,78,47
123,78,47
120,78,47
108,78,47
94,78,47
79,78,47
59,78,47
60,78,47
63,78,47
66,78,47
70,78,47
72,78,47
71,78,47
69,78,47
77,78,47
86,78,47
114,78,47
119,78,47
131,78,47
146,78,47
159,78,47
175,78,47
188,78,47
197,78,47
202,78,47
205,78,47
210,78,47
213,78,47
216,78,47
217,78,47
218,78,47
219,78,47
214,78,47
215,78,47
215,78,47
217,78,47
221,78,47
226,78,47
227,78,47
226,78,47
222,78,47
222,78,47
219,78,47
213,78,47
209,78,47
209,78,47
205,78,47
196,78,47
180,78,47
170,78,47
181,78,47
196,78,47
201,78,47
194,78,47
178,78,47
173,78,47
172,78,47
181,78,47
178,78,47
169,78,47
157,78,47
155,78,47
165,78,47
166,78,47
193,78,47
199,78,47
205,78,47
208,78,47
211,78,47
216,78,47
215,78,47
213,78,47
213,78,47
214,78,47
219,78,47
219,78,47
196,78,47
159,78,47
128,78,47
113,78,47
118,78,47
136,78,47
146,78,47
143,78,47
144,78,47
148,78,47
151,78,47
151,78,47
175,78,47
190,78,47
188,78,47
152,78,47
140,78,47
148,78,47
170,78,47
177,78,47
174,78,47
156,78,47
160,78,47
164,78,47
162,78,47
166,78,47
172,78,47
181,78,47
191,78,47
194,78,47
197,78,47
197,78,47
197,78,47
193,78,47
189,78,47
185,78,47
178,78,47
167,78,47
154,78,47
141,78,47
127,78,47
112,78,47
97,78,47
82,78,47
70,78,47
56,78,47
46,78,47
50,78,47
62,78,47
69,78,47
73,78,47
72,78,47
70,78,47
75,78,47
71,78,47
63,78,47
57,78,47
54,78,47
63,78,47
76,78,47
96,78,47
116,78,47
127,78,47
126,78,47
123,78,47
116,78,47
115,78,47
128,78,47
150,78,47
149,78,47
145,78,47
135,78,47
120,78,47
105,78,47
92,78,47
85,78,47
76,78,47
71,78,47
58,78,47
42,78,47
31,78,47
32,78,47
34,78,47
35,78,47
35,78,47
23,78,47
29,78,47
16,78,47
19,78,47
8,78,47
24,78,47
61,78,47
154,78,47
189,78,47
193,78,47
169,78,47
150,78,47
136,78,47
131,78,47
143,78,47
140,78,47
147,78,47
168,78,47
156,78,47
125,78,47
102,78,47
82,78,47
79,78,47
82,78,47
81,78,47
81,78,47
76,78,47
67,78,47
66,78,47
66,78,47
59,78,47
61,78,47
59,78,47
62,78,47
67,78,47
71,78,47
71,78,47
72,78,47
75,78,47
59,78,47
53,78,47
90,80,47
89,80,47
89,80,47
90,80,47
90,80,47
90,80,47
90,80,47
88,80,47
85,80,47
87,80,47
88,80,47
88,80,47
88,80,47
86,80,47
83,80,47
79,80,47
80,80,47
76,80,47
70,80,47
68,80,47
66,80,47
65,80,47
67,80,47
72,80,47
89,80,47
99,80,47
109,80,47
120,80,47
130,80,47
140,80,47
149,80,47
152,80,47
164,80,47
171,80,47
171,80,47
168,80,47
161,80,47
160,80,47
165,80,47
160,80,47
148,80,47
131,80,47
128,80,47
134,80,47
143,80,47
140,80,47
133,80,47
133,80,47
132,80,47
124,80,47
121,80,47
109,80,47
95,80,47
82,80,47
67,80,47
62,80,47
59,80,47
64,80,47
67,80,47
69,80,47
66,80,47
69,80,47
75,80,47
83,80,47
105,80,47
107,80,47
118,80,47
137,80,47
154,80,47
167,80,47
182,80,47
192,80,47
198,80,47
201,80,47
207,80,47
210,80,47
213,80,47
215,80,47
217,80,47
217,80,47
215,80,47
213,80,47
213,80,47
215,80,47
221,80,47
225,80,47
224,80,47
221,80,47
218,80,47
218,80,47
218,80,47
213,80,47
210,80,47
209,80,47
201,80,47
191,80,47
173,80,47
169,80,47
183,80,47
201,80,47
214,80,47
213,80,47
192,80,47
178,80,47
179,80,47
183,80,47
179,80,47
175,80,47
173,80,47
176,80,47
188,80,47
186,80,47
201,80,47
206,80,47
212,80,47
215,80,47
216,80,47
217,80,47
220,80,47
218,80,47
218,80,47
216,80,47
215,80,47
213,80,47
197,80,47
168,80,47
140,80,47
124,80,47
122,80,47
134,80,47
139,80,47
138,80,47
139,80,47
142,80,47
145,80,47
150,80,47
182,80,47
192,80,47
184,80,47
147,80,47
142,80,47
153,80,47
175,80,47
180,80,47
181,80,47
163,80,47
164,80,47
167,80,47
165,80,47
170,80,47
176,80,47
184,80,47
197,80,47
198,80,47
199,80,47
200,80,47
200,80,47
198,80,47
191,80,47
186,80,47
177,80,47
165,80,47
151,80,47
138,80,47
122,80,47
109,80,47
93,80,47
78,80,47
70,80,47
63,80,47
52,80,47
45,80,47
46,80,47
53,80,47
54,80,47
51,80,47
54,80,47
55,80,47
