R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
41,0,0
116,0,0
116,0,0
113,0,0
113,0,0
112,0,0
115,0,0
115,0,0
114,0,0
109,0,0
100,0,0
93,0,0
89,0,0
90,0,0
88,0,0
87,0,0
87,0,0
90,0,0
93,0,0
95,0,0
94,0,0
93,0,0
95,0,0
96,0,0
98,0,0
99,0,0
100,0,0
102,0,0
102,0,0
100,0,0
100,0,0
100,0,0
100,0,0
99,0,0
98,0,0
96,0,0
96,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
94,0,0
94,0,0
94,0,0
92,0,0
91,0,0
91,0,0
90,0,0
89,0,0
87,0,0
87,0,0
86,0,0
87,0,0
87,0,0
89,0,0
90,0,0
92,0,0
91,0,0
90,0,0
88,0,0
86,0,0
85,0,0
79,0,0
74,0,0
72,0,0
74,0,0
80,0,0
86,0,0
88,0,0
94,0,0
104,0,0
110,0,0
113,0,0
113,0,0
112,0,0
112,0,0
119,0,0
119,0,0
118,0,0
117,0,0
112,0,0
113,0,0
114,0,0
110,0,0
113,0,0
116,0,0
121,0,0
131,0,0
133,0,0
131,0,0
130,0,0
133,0,0
132,0,0
126,0,0
122,0,0
122,0,0
120,0,0
115,0,0
111,0,0
108,0,0
101,0,0
98,0,0
94,0,0
101,0,0
115,0,0
126,0,0
141,0,0
160,0,0
183,0,0
203,0,0
217,0,0
219,0,0
221,0,0
224,0,0
221,0,0
219,0,0
216,0,0
218,0,0
219,0,0
218,0,0
216,0,0
219,0,0
220,0,0
217,0,0
212,0,0
206,0,0
190,0,0
180,0,0
164,0,0
138,0,0
123,0,0
120,0,0
126,0,0
133,0,0
140,0,0
160,0,0
177,0,0
195,0,0
208,0,0
205,0,0
203,0,0
206,0,0
208,0,0
206,0,0
209,0,0
213,0,0
215,0,0
217,0,0
