R,G,B
209,210,212
212,210,212
212,210,212
211,210,212
209,210,212
207,210,212
200,210,212
196,210,212
190,210,212
183,210,212
179,210,212
174,210,212
170,210,212
167,210,212
164,210,212
158,210,212
161,210,212
166,210,212
176,210,212
186,210,212
192,210,212
198,210,212
202,210,212
205,210,212
205,210,212
206,210,212
206,210,212
206,210,212
206,210,212
206,210,212
205,210,212
205,210,212
207,210,212
207,210,212
207,210,212
206,210,212
206,210,212
207,210,212
207,210,212
207,210,212
207,210,212
207,210,212
207,210,212
206,210,212
206,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
205,210,212
204,210,212
204,210,212
204,210,212
204,210,212
203,210,212
202,210,212
202,210,212
202,210,212
202,210,212
202,210,212
202,210,212
202,210,212
202,210,212
202,210,212
203,210,212
203,210,212
202,210,212
201,210,212
200,210,212
200,210,212
201,210,212
200,210,212
201,210,212
201,210,212
201,210,212
201,210,212
201,210,212
201,210,212
200,210,212
201,210,212
201,210,212
201,210,212
201,210,212
201,210,212
201,210,212
201,210,212
201,210,212
201,210,212
201,210,212
201,210,212
200,210,212
200,210,212
200,210,212
200,210,212
200,210,212
201,210,212
200,210,212
200,210,212
199,210,212
200,210,212
200,210,212
199,210,212
199,210,212
198,210,212
198,210,212
198,210,212
198,210,212
198,210,212
197,210,212
197,210,212
197,210,212
197,210,212
197,210,212
197,210,212
197,210,212
197,210,212
197,210,212
197,210,212
197,210,212
196,210,212
195,210,212
195,210,212
195,210,212
195,210,212
196,210,212
196,210,212
197,210,212
196,210,212
196,210,212
196,210,212
195,210,212
195,210,212
195,210,212
195,210,212
194,210,212
195,210,212
195,210,212
194,210,212
194,210,212
194,210,212
194,210,212
193,210,212
193,210,212
191,210,212
192,210,212
192,210,212
192,210,212
191,210,212
191,210,212
191,210,212
192,210,212
191,210,212
188,210,212
176,210,212
168,210,212
154,210,212
134,210,212
110,210,212
83,210,212
60,210,212
53,210,212
51,210,212
54,210,212
56,210,212
57,210,212
57,210,212
55,210,212
56,210,212
56,210,212
53,210,212
49,210,212
46,210,212
44,210,212
42,210,212
40,210,212
37,210,212
35,210,212
34,210,212
32,210,212
31,210,212
29,210,212
27,210,212
26,210,212
25,210,212
25,210,212
24,210,212
22,210,212
21,210,212
20,210,212
19,210,212
18,210,212
18,210,212
18,210,212
17,210,212
16,210,212
15,210,212
14,210,212
14,210,212
13,210,212
12,210,212
14,210,212
18,210,212
22,210,212
24,210,212
28,210,212
34,210,212
41,210,212
42,210,212
44,210,212
48,210,212
51,210,212
53,210,212
52,210,212
50,210,212
49,210,212
48,210,212
46,210,212
