R,G,B
254,254,254
254,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
255,254,254
254,254,254
254,254,254
254,254,254
254,254,254
253,254,254
228,254,254
197,254,254
156,254,254
113,254,254
99,254,254
107,254,254
107,254,254
105,254,254
105,254,254
106,254,254
109,254,254
113,254,254
111,254,254
106,254,254
100,254,254
111,254,254
122,254,254
127,254,254
127,254,254
119,254,254
106,254,254
108,254,254
112,254,254
114,254,254
111,254,254
95,254,254
76,254,254
60,254,254
51,254,254
44,254,254
45,254,254
72,254,254
108,254,254
145,254,254
179,254,254
195,254,254
189,254,254
178,254,254
163,254,254
143,254,254
117,254,254
91,254,254
66,254,254
47,254,254
31,254,254
24,254,254
38,254,254
59,254,254
126,254,254
183,254,254
151,254,254
112,254,254
84,254,254
57,254,254
60,254,254
70,254,254
80,254,254
86,254,254
89,254,254
92,254,254
95,254,254
100,254,254
107,254,254
116,254,254
125,254,254
138,254,254
153,254,254
166,254,254
179,254,254
193,254,254
211,254,254
222,254,254
225,254,254
223,254,254
219,254,254
207,254,254
190,254,254
188,254,254
177,254,254
174,254,254
176,254,254
167,254,254
165,254,254
152,254,254
143,254,254
127,254,254
112,254,254
112,254,254
114,254,254
133,254,254
155,254,254
174,254,254
202,254,254
217,254,254
232,254,254
242,254,254
248,254,254
252,254,254
255,254,254
255,254,254
255,254,254
255,254,254
252,254,254
252,254,254
251,254,254
251,254,254
251,254,254
253,254,254
253,254,254
254,254,254
253,254,254
251,254,254
246,254,254
242,254,254
245,254,254
247,254,254
247,254,254
249,254,254
234,254,254
217,254,254
202,254,254
190,254,254
184,254,254
178,254,254
175,254,254
170,254,254
167,254,254
167,254,254
177,254,254
192,254,254
202,254,254
207,254,254
210,254,254
213,254,254
211,254,254
212,254,254
214,254,254
211,254,254
201,254,254
190,254,254
180,254,254
175,254,254
169,254,254
162,254,254
155,254,254
153,254,254
152,254,254
149,254,254
143,254,254
139,254,254
130,254,254
127,254,254
124,254,254
125,254,254
128,254,254
135,254,254
142,254,254
150,254,254
156,254,254
163,254,254
172,254,254
178,254,254
182,254,254
188,254,254
193,254,254
196,254,254
188,254,254
187,254,254
187,254,254
185,254,254
182,254,254
181,254,254
180,254,254
181,254,254
185,254,254
186,254,254
190,254,254
193,254,254
196,254,254
197,254,254
197,254,254
197,254,254
190,254,254
190,254,254
188,254,254
190,254,254
193,254,254
192,254,254
187,254,254
184,254,254
179,254,254
180,254,254
183,254,254
185,254,254
