R,G,B
69,44,24
68,44,24
68,44,24
67,44,24
68,44,24
71,44,24
71,44,24
71,44,24
69,44,24
68,44,24
66,44,24
66,44,24
63,44,24
60,44,24
54,44,24
51,44,24
44,44,24
44,44,24
43,44,24
42,44,24
43,44,24
41,44,24
40,44,24
39,44,24
39,44,24
39,44,24
39,44,24
39,44,24
39,44,24
39,44,24
40,44,24
41,44,24
43,44,24
43,44,24
43,44,24
43,44,24
41,44,24
39,44,24
38,44,24
36,44,24
34,44,24
33,44,24
32,44,24
33,44,24
36,44,24
37,44,24
36,44,24
34,44,24
36,44,24
36,44,24
36,44,24
36,44,24
36,44,24
36,44,24
36,44,24
36,44,24
37,44,24
36,44,24
34,44,24
32,44,24
31,44,24
30,44,24
28,44,24
27,44,24
24,44,24
23,44,24
23,44,24
23,44,24
23,44,24
23,44,24
24,44,24
24,44,24
25,44,24
25,44,24
24,44,24
24,44,24
24,44,24
23,44,24
23,44,24
23,44,24
25,44,24
25,44,24
25,44,24
25,44,24
24,44,24
25,44,24
26,44,24
27,44,24
27,44,24
26,44,24
25,44,24
24,44,24
25,44,24
25,44,24
26,44,24
25,44,24
26,44,24
26,44,24
27,44,24
29,44,24
27,44,24
25,44,24
28,44,24
30,44,24
31,44,24
34,44,24
35,44,24
38,44,24
37,44,24
37,44,24
38,44,24
39,44,24
47,44,24
48,44,24
49,44,24
51,44,24
55,44,24
59,44,24
65,44,24
70,44,24
77,44,24
80,44,24
85,44,24
90,44,24
93,44,24
95,44,24
98,44,24
101,44,24
110,44,24
115,44,24
123,44,24
128,44,24
133,44,24
141,44,24
145,44,24
148,44,24
151,44,24
155,44,24
156,44,24
156,44,24
156,44,24
156,44,24
157,44,24
157,44,24
153,44,24
152,44,24
151,44,24
150,44,24
149,44,24
148,44,24
146,44,24
145,44,24
142,44,24
138,44,24
133,44,24
129,44,24
125,44,24
123,44,24
117,44,24
113,44,24
113,44,24
110,44,24
104,44,24
100,44,24
95,44,24
93,44,24
91,44,24
89,44,24
86,44,24
86,44,24
86,44,24
85,44,24
86,44,24
87,44,24
88,44,24
89,44,24
86,44,24
87,44,24
86,44,24
87,44,24
85,44,24
83,44,24
83,44,24
85,44,24
86,44,24
85,44,24
85,44,24
86,44,24
87,44,24
88,44,24
87,44,24
87,44,24
84,44,24
84,44,24
83,44,24
82,44,24
82,44,24
82,44,24
81,44,24
80,44,24
80,44,24
80,44,24
79,44,24
79,44,24
79,44,24
79,44,24
80,44,24
80,44,24
76,44,24
75,44,24
75,44,24
75,44,24
74,44,24
74,44,24
73,44,24
71,44,24
71,44,24
69,44,24
68,44,24
66,44,24
67,44,24
67,44,24
67,44,24
65,44,24
67,44,24
67,44,24
66,44,24
66,44,24
66,44,24
63,44,24
63,44,24
63,44,24
63,44,24
62,44,24
60,44,24
60,44,24
60,44,24
60,44,24
60,44,24
60,44,24
63,44,24
62,44,24
60,44,24
59,44,24
59,44,24
58,44,24
