R,G,B
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
0,3,3
0,3,3
1,3,3
0,3,3
0,3,3
2,3,3
2,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,3,3
4,3,3
3,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
3,3,3
3,3,3
3,3,3
4,3,3
4,3,3
3,3,3
4,3,3
3,3,3
4,3,3
4,3,3
3,3,3
3,3,3
6,3,3
6,3,3
10,3,3
11,3,3
5,3,3
0,3,3
0,3,3
5,3,3
8,3,3
21,3,3
17,3,3
13,3,3
17,3,3
24,3,3
34,3,3
45,3,3
54,3,3
60,3,3
63,3,3
87,3,3
123,3,3
143,3,3
143,3,3
141,3,3
141,3,3
137,3,3
136,3,3
135,3,3
120,3,3
112,3,3
109,3,3
98,3,3
111,3,3
110,3,3
113,3,3
84,3,3
54,3,3
50,3,3
53,3,3
50,3,3
37,3,3
35,3,3
41,3,3
42,3,3
39,3,3
36,3,3
34,3,3
25,3,3
11,3,3
3,3,3
8,3,3
6,3,3
2,3,3
4,3,3
6,3,3
5,3,3
6,3,3
7,3,3
7,3,3
6,3,3
6,3,3
4,3,3
3,3,3
4,3,3
3,3,3
6,3,3
5,3,3
3,3,3
1,3,3
3,3,3
6,3,3
7,3,3
7,3,3
5,3,3
5,3,3
5,3,3
5,3,3
5,3,3
5,3,3
5,3,3
5,3,3
3,3,3
3,3,3
5,3,3
5,3,3
5,3,3
11,3,3
17,3,3
17,3,3
18,3,3
21,3,3
24,3,3
23,3,3
15,3,3
13,3,3
15,3,3
16,3,3
12,3,3
11,3,3
18,3,3
14,3,3
16,3,3
18,3,3
11,3,3
19,3,3
27,3,3
28,3,3
29,3,3
29,3,3
26,3,3
21,3,3
19,3,3
20,3,3
22,3,3
24,3,3
20,3,3
17,3,3
19,3,3
19,3,3
17,3,3
18,3,3
14,3,3
15,3,3
15,3,3
16,3,3
18,3,3
19,3,3
19,3,3
19,3,3
17,3,3
17,3,3
18,3,3
18,3,3
16,3,3
17,3,3
18,3,3
19,3,3
20,3,3
18,3,3
17,3,3
18,3,3
21,3,3
22,3,3
21,3,3
20,3,3
21,3,3
23,3,3
25,3,3
24,3,3
21,3,3
19,3,3
18,3,3
16,3,3
14,3,3
15,3,3
16,3,3
16,3,3
14,3,3
13,3,3
11,3,3
11,3,3
9,3,3
11,3,3
13,3,3
15,3,3
15,3,3
14,3,3
15,3,3
17,3,3
14,3,3
14,3,3
14,3,3
17,3,3
19,3,3
18,3,3
16,3,3
15,3,3
14,3,3
13,3,3
11,3,3
11,3,3
13,3,3
16,3,3
17,3,3
15,3,3
13,3,3
13,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
0,3,3
0,3,3
1,3,3
2,3,3
2,3,3
2,3,3
2,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
5,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
6,3,3
7,3,3
5,3,3
2,3,3
2,3,3
1,3,3
2,3,3
8,3,3
10,3,3
12,3,3
13,3,3
9,3,3
5,3,3
6,3,3
9,3,3
11,3,3
20,3,3
16,3,3
14,3,3
19,3,3
26,3,3
34,3,3
50,3,3
66,3,3
84,3,3
89,3,3
107,3,3
127,3,3
138,3,3
138,3,3
137,3,3
136,3,3
126,3,3
119,3,3
116,3,3
114,3,3
111,3,3
109,3,3
106,3,3
116,3,3
125,3,3
122,3,3
88,3,3
58,3,3
51,3,3
50,3,3
46,3,3
38,3,3
39,3,3
46,3,3
53,3,3
46,3,3
36,3,3
31,3,3
27,3,3
20,3,3
16,3,3
16,3,3
9,3,3
3,3,3
5,3,3
5,3,3
4,3,3
6,3,3
7,3,3
6,3,3
6,3,3
5,3,3
3,3,3
3,3,3
4,3,3
5,3,3
4,3,3
5,3,3
4,3,3
2,3,3
3,3,3
5,3,3
6,3,3
6,3,3
5,3,3
5,3,3
5,3,3
5,3,3
5,3,3
5,3,3
5,3,3
5,3,3
3,3,3
3,3,3
4,3,3
5,3,3
6,3,3
12,3,3
18,3,3
19,3,3
20,3,3
20,3,3
22,3,3
21,3,3
17,3,3
15,3,3
17,3,3
19,3,3
14,3,3
10,3,3
17,3,3
17,3,3
16,3,3
18,3,3
15,3,3
22,3,3
26,3,3
25,3,3
24,3,3
25,3,3
24,3,3
21,3,3
19,3,3
19,3,3
21,3,3
23,3,3
19,3,3
16,3,3
18,3,3
19,3,3
17,3,3
17,3,3
15,3,3
16,3,3
16,3,3
16,3,3
17,3,3
19,3,3
19,3,3
20,3,3
17,3,3
17,3,3
17,3,3
17,3,3
17,3,3
15,3,3
17,3,3
18,3,3
19,3,3
17,3,3
16,3,3
19,3,3
21,3,3
21,3,3
20,3,3
19,3,3
21,3,3
22,3,3
23,3,3
23,3,3
22,3,3
21,3,3
20,3,3
16,3,3
14,3,3
15,3,3
15,3,3
15,3,3
14,3,3
13,3,3
12,3,3
12,3,3
12,3,3
12,3,3
13,3,3
15,3,3
14,3,3
14,3,3
15,3,3
17,3,3
14,3,3
13,3,3
13,3,3
16,3,3
17,3,3
17,3,3
15,3,3
15,3,3
15,3,3
14,3,3
12,3,3
11,3,3
13,3,3
16,3,3
17,3,3
15,3,3
13,3,3
13,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
3,2,2
2,2,2
2,2,2
3,2,2
2,2,2
3,2,2
2,2,2
3,2,2
3,2,2
4,2,2
4,2,2
4,2,2
4,2,2
5,2,2
5,2,2
5,2,2
5,2,2
5,2,2
5,2,2
5,2,2
5,2,2
4,2,2
4,2,2
4,2,2
2,2,2
5,2,2
