R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
4,0,0
7,0,0
72,0,0
75,0,0
77,0,0
83,0,0
92,0,0
102,0,0
114,0,0
128,0,0
135,0,0
138,0,0
147,0,0
141,0,0
139,0,0
144,0,0
154,0,0
148,0,0
128,0,0
105,0,0
89,0,0
86,0,0
82,0,0
84,0,0
96,0,0
106,0,0
103,0,0
88,0,0
75,0,0
71,0,0
70,0,0
62,0,0
53,0,0
52,0,0
60,0,0
67,0,0
66,0,0
61,0,0
63,0,0
65,0,0
64,0,0
60,0,0
60,0,0
58,0,0
54,0,0
49,0,0
58,0,0
55,0,0
50,0,0
71,0,0
116,0,0
146,0,0
154,0,0
144,0,0
131,0,0
116,0,0
117,0,0
128,0,0
134,0,0
139,0,0
148,0,0
158,0,0
169,0,0
182,0,0
184,0,0
183,0,0
189,0,0
192,0,0
189,0,0
184,0,0
187,0,0
184,0,0
179,0,0
178,0,0
178,0,0
180,0,0
183,0,0
191,0,0
191,0,0
193,0,0
193,0,0
196,0,0
197,0,0
194,0,0
192,0,0
193,0,0
194,0,0
191,0,0
169,0,0
130,0,0
92,0,0
81,0,0
84,0,0
106,0,0
122,0,0
131,0,0
138,0,0
157,0,0
171,0,0
172,0,0
171,0,0
175,0,0
180,0,0
187,0,0
196,0,0
202,0,0
204,0,0
199,0,0
194,0,0
198,0,0
203,0,0
202,0,0
199,0,0
199,0,0
203,0,0
201,0,0
195,0,0
197,0,0
193,0,0
184,0,0
178,0,0
171,0,0
163,0,0
157,0,0
155,0,0
158,0,0
163,0,0
172,0,0
176,0,0
176,0,0
173,0,0
165,0,0
150,0,0
134,0,0
136,0,0
151,0,0
173,0,0
184,0,0
184,0,0
188,0,0
194,0,0
196,0,0
194,0,0
191,0,0
188,0,0
182,0,0
179,0,0
166,0,0
147,0,0
130,0,0
109,0,0
91,0,0
68,0,0
36,0,0
14,0,0
12,0,0
16,0,0
33,0,0
67,0,0
82,0,0
71,0,0
71,0,0
74,0,0
79,0,0
86,0,0
