R,G,B
242,254,254
244,254,254
242,254,254
244,254,254
232,254,254
227,254,254
217,254,254
162,254,254
116,254,254
91,254,254
73,254,254
74,254,254
79,254,254
79,254,254
77,254,254
77,254,254
79,254,254
78,254,254
77,254,254
77,254,254
76,254,254
75,254,254
74,254,254
72,254,254
73,254,254
74,254,254
74,254,254
75,254,254
75,254,254
76,254,254
78,254,254
79,254,254
78,254,254
77,254,254
75,254,254
75,254,254
75,254,254
76,254,254
76,254,254
76,254,254
76,254,254
77,254,254
78,254,254
78,254,254
78,254,254
78,254,254
78,254,254
78,254,254
78,254,254
77,254,254
76,254,254
76,254,254
76,254,254
77,254,254
77,254,254
77,254,254
77,254,254
77,254,254
78,254,254
79,254,254
80,254,254
81,254,254
82,254,254
82,254,254
83,254,254
83,254,254
83,254,254
83,254,254
83,254,254
83,254,254
83,254,254
83,254,254
83,254,254
82,254,254
81,254,254
81,254,254
80,254,254
80,254,254
80,254,254
80,254,254
78,254,254
78,254,254
78,254,254
78,254,254
78,254,254
78,254,254
78,254,254
78,254,254
78,254,254
77,254,254
76,254,254
76,254,254
75,254,254
76,254,254
77,254,254
78,254,254
79,254,254
78,254,254
77,254,254
78,254,254
79,254,254
80,254,254
80,254,254
80,254,254
81,254,254
81,254,254
81,254,254
82,254,254
82,254,254
82,254,254
82,254,254
82,254,254
81,254,254
81,254,254
81,254,254
81,254,254
81,254,254
80,254,254
80,254,254
80,254,254
82,254,254
82,254,254
82,254,254
83,254,254
84,254,254
85,254,254
85,254,254
85,254,254
88,254,254
88,254,254
88,254,254
88,254,254
88,254,254
87,254,254
86,254,254
86,254,254
86,254,254
86,254,254
86,254,254
86,254,254
86,254,254
86,254,254
86,254,254
86,254,254
86,254,254
86,254,254
86,254,254
85,254,254
84,254,254
84,254,254
84,254,254
85,254,254
86,254,254
87,254,254
88,254,254
88,254,254
88,254,254
88,254,254
87,254,254
87,254,254
85,254,254
86,254,254
87,254,254
88,254,254
88,254,254
88,254,254
87,254,254
86,254,254
84,254,254
83,254,254
82,254,254
83,254,254
83,254,254
83,254,254
83,254,254
82,254,254
83,254,254
82,254,254
83,254,254
84,254,254
87,254,254
85,254,254
82,254,254
79,254,254
85,254,254
87,254,254
91,254,254
102,254,254
132,254,254
181,254,254
224,254,254
243,254,254
244,254,254
245,254,254
241,254,254
238,254,254
242,254,254
238,254,254
224,254,254
213,254,254
178,254,254
158,254,254
123,254,254
102,254,254
92,254,254
84,254,254
84,254,254
84,254,254
81,254,254
79,254,254
77,254,254
75,254,254
75,254,254
74,254,254
74,254,254
73,254,254
73,254,254
73,254,254
73,254,254
72,254,254
72,254,254
72,254,254
72,254,254
72,254,254
72,254,254
72,254,254
72,254,254
72,254,254
72,254,254
71,254,254
70,254,254
71,254,254
70,254,254
70,254,254
70,254,254
70,254,254
70,254,254
70,254,254
70,254,254
70,254,254
70,254,254
70,254,254
70,254,254
70,254,254
69,254,254
69,254,254
69,254,254
70,254,254
71,254,254
71,254,254
244,254,255
243,254,255
237,254,255
243,254,255
234,254,255
223,254,255
201,254,255
143,254,255
106,254,255
87,254,255
76,254,255
77,254,255
79,254,255
78,254,255
76,254,255
76,254,255
76,254,255
76,254,255
76,254,255
76,254,255
75,254,255
75,254,255
74,254,255
73,254,255
74,254,255
74,254,255
75,254,255
76,254,255
76,254,255
76,254,255
78,254,255
80,254,255
77,254,255
76,254,255
75,254,255
74,254,255
75,254,255
75,254,255
76,254,255
76,254,255
76,254,255
76,254,255
77,254,255
78,254,255
78,254,255
78,254,255
78,254,255
77,254,255
78,254,255
77,254,255
76,254,255
76,254,255
77,254,255
77,254,255
77,254,255
77,254,255
76,254,255
76,254,255
77,254,255
78,254,255
79,254,255
80,254,255
81,254,255
81,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
81,254,255
80,254,255
79,254,255
79,254,255
79,254,255
79,254,255
78,254,255
78,254,255
78,254,255
78,254,255
78,254,255
78,254,255
78,254,255
78,254,255
78,254,255
78,254,255
77,254,255
76,254,255
76,254,255
77,254,255
78,254,255
78,254,255
79,254,255
78,254,255
78,254,255
78,254,255
80,254,255
81,254,255
81,254,255
81,254,255
81,254,255
81,254,255
81,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
82,254,255
81,254,255
81,254,255
81,254,255
81,254,255
81,254,255
82,254,255
82,254,255
83,254,255
84,254,255
85,254,255
86,254,255
86,254,255
86,254,255
88,254,255
88,254,255
88,254,255
88,254,255
88,254,255
87,254,255
86,254,255
86,254,255
86,254,255
86,254,255
86,254,255
86,254,255
86,254,255
86,254,255
86,254,255
86,254,255
87,254,255
87,254,255
87,254,255
86,254,255
85,254,255
84,254,255
85,254,255
86,254,255
86,254,255
86,254,255
87,254,255
87,254,255
88,254,255
87,254,255
87,254,255
87,254,255
85,254,255
86,254,255
87,254,255
88,254,255
88,254,255
88,254,255
87,254,255
86,254,255
84,254,255
84,254,255
83,254,255
83,254,255
84,254,255
84,254,255
83,254,255
83,254,255
83,254,255
82,254,255
83,254,255
83,254,255
85,254,255
85,254,255
84,254,255
83,254,255
80,254,255
85,254,255
94,254,255
108,254,255
134,254,255
175,254,255
212,254,255
230,254,255
240,254,255
244,254,255
244,254,255
241,254,255
241,254,255
236,254,255
229,254,255
225,254,255
209,254,255
180,254,255
136,254,255
106,254,255
93,254,255
85,254,255
85,254,255
83,254,255
81,254,255
79,254,255
77,254,255
76,254,255
75,254,255
74,254,255
74,254,255
73,254,255
73,254,255
73,254,255
73,254,255
73,254,255
73,254,255
72,254,255
72,254,255
71,254,255
72,254,255
72,254,255
72,254,255
72,254,255
72,254,255
71,254,255
70,254,255
70,254,255
71,254,255
71,254,255
71,254,255
71,254,255
71,254,255
71,254,255
71,254,255
71,254,255
70,254,255
70,254,255
70,254,255
70,254,255
70,254,255
70,254,255
70,254,255
70,254,255
71,254,255
71,254,255
220,229,238
221,229,238
215,229,238
220,229,238
218,229,238
201,229,238
172,229,238
124,229,238
94,229,238
84,229,238
80,229,238
80,229,238
79,229,238
77,229,238
75,229,238
74,229,238
74,229,238
74,229,238
75,229,238
76,229,238
74,229,238
74,229,238
74,229,238
75,229,238
74,229,238
75,229,238
75,229,238
76,229,238
76,229,238
77,229,238
79,229,238
80,229,238
77,229,238
75,229,238
74,229,238
74,229,238
74,229,238
75,229,238
75,229,238
75,229,238
76,229,238
76,229,238
77,229,238
77,229,238
78,229,238
78,229,238
77,229,238
77,229,238
77,229,238
76,229,238
