R,G,B
67,99,78
66,99,78
65,99,78
65,99,78
65,99,78
63,99,78
61,99,78
58,99,78
57,99,78
57,99,78
56,99,78
57,99,78
58,99,78
58,99,78
60,99,78
61,99,78
54,99,78
56,99,78
58,99,78
59,99,78
60,99,78
59,99,78
56,99,78
56,99,78
55,99,78
53,99,78
53,99,78
50,99,78
49,99,78
50,99,78
51,99,78
53,99,78
61,99,78
60,99,78
58,99,78
56,99,78
54,99,78
54,99,78
52,99,78
50,99,78
53,99,78
54,99,78
55,99,78
55,99,78
54,99,78
53,99,78
51,99,78
49,99,78
47,99,78
45,99,78
46,99,78
50,99,78
53,99,78
54,99,78
52,99,78
53,99,78
53,99,78
52,99,78
52,99,78
52,99,78
53,99,78
52,99,78
51,99,78
52,99,78
63,99,78
58,99,78
53,99,78
50,99,78
50,99,78
51,99,78
53,99,78
55,99,78
58,99,78
63,99,78
69,99,78
73,99,78
75,99,78
78,99,78
83,99,78
88,99,78
91,99,78
93,99,78
95,99,78
97,99,78
98,99,78
98,99,78
101,99,78
105,99,78
108,99,78
109,99,78
110,99,78
109,99,78
109,99,78
107,99,78
105,99,78
105,99,78
108,99,78
108,99,78
107,99,78
107,99,78
106,99,78
105,99,78
105,99,78
105,99,78
104,99,78
104,99,78
104,99,78
104,99,78
103,99,78
104,99,78
105,99,78
103,99,78
100,99,78
96,99,78
93,99,78
89,99,78
84,99,78
83,99,78
81,99,78
77,99,78
73,99,78
72,99,78
67,99,78
59,99,78
53,99,78
49,99,78
55,99,78
66,99,78
97,99,78
113,99,78
131,99,78
144,99,78
154,99,78
160,99,78
163,99,78
167,99,78
169,99,78
168,99,78
167,99,78
164,99,78
161,99,78
156,99,78
140,99,78
122,99,78
99,99,78
83,99,78
71,99,78
65,99,78
56,99,78
51,99,78
50,99,78
50,99,78
51,99,78
50,99,78
49,99,78
49,99,78
49,99,78
48,99,78
48,99,78
48,99,78
48,99,78
47,99,78
45,99,78
44,99,78
44,99,78
45,99,78
45,99,78
46,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
44,99,78
46,99,78
46,99,78
45,99,78
47,99,78
47,99,78
47,99,78
47,99,78
47,99,78
46,99,78
45,99,78
45,99,78
43,99,78
42,99,78
42,99,78
41,99,78
42,99,78
44,99,78
44,99,78
44,99,78
36,99,78
40,99,78
39,99,78
35,99,78
55,99,78
92,99,78
110,99,78
99,99,78
93,99,78
88,99,78
85,99,78
83,99,78
86,99,78
87,99,78
89,99,78
