R,G,B
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
3,0,0
5,0,0
12,0,0
16,0,0
19,0,0
20,0,0
22,0,0
21,0,0
21,0,0
21,0,0
20,0,0
22,0,0
22,0,0
22,0,0
22,0,0
23,0,0
22,0,0
20,0,0
19,0,0
18,0,0
15,0,0
15,0,0
15,0,0
14,0,0
14,0,0
14,0,0
15,0,0
14,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
15,0,0
15,0,0
12,0,0
11,0,0
10,0,0
9,0,0
8,0,0
9,0,0
9,0,0
10,0,0
10,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
8,0,0
8,0,0
8,0,0
9,0,0
9,0,0
9,0,0
9,0,0
11,0,0
12,0,0
11,0,0
12,0,0
12,0,0
12,0,0
12,0,0
13,0,0
13,0,0
8,0,0
10,0,0
10,0,0
12,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
14,0,0
17,0,0
19,0,0
19,0,0
17,0,0
16,0,0
16,0,0
14,0,0
15,0,0
14,0,0
14,0,0
15,0,0
16,0,0
19,0,0
19,0,0
21,0,0
22,0,0
26,0,0
28,0,0
31,0,0
31,0,0
30,0,0
26,0,0
21,0,0
19,0,0
15,0,0
13,0,0
11,0,0
12,0,0
12,0,0
12,0,0
11,0,0
8,0,0
6,0,0
4,0,0
3,0,0
4,0,0
7,0,0
9,0,0
15,0,0
24,0,0
37,0,0
56,0,0
79,0,0
109,0,0
129,0,0
145,0,0
154,0,0
159,0,0
164,0,0
168,0,0
169,0,0
165,0,0
164,0,0
166,0,0
166,0,0
166,0,0
163,0,0
160,0,0
156,0,0
154,0,0
145,0,0
133,0,0
118,0,0
101,0,0
89,0,0
84,0,0
89,0,0
81,0,0
75,0,0
62,0,0
52,0,0
52,0,0
55,0,0
64,0,0
80,0,0
90,0,0
98,0,0
107,0,0
113,0,0
115,0,0
114,0,0
114,0,0
114,0,0
121,0,0
119,0,0
118,0,0
119,0,0
121,0,0
125,0,0
130,0,0
137,0,0
138,0,0
135,0,0
128,0,0
113,0,0
94,0,0
70,0,0
48,0,0
35,0,0
35,0,0
36,0,0
35,0,0
36,0,0
36,0,0
37,0,0
35,0,0
35,0,0
28,0,0
26,0,0
27,0,0
27,0,0
27,0,0
27,0,0
28,0,0
28,0,0
28,0,0
27,0,0
25,0,0
24,0,0
21,0,0
21,0,0
22,0,0
22,0,0
22,0,0
19,0,0
18,0,0
17,0,0
18,0,0
20,0,0
22,0,0
22,0,0
22,0,0
24,0,0
26,0,0
27,0,0
26,0,0
28,0,0
31,0,0
32,0,0
37,0,0
37,0,0
39,0,0
40,0,0
40,0,0
40,0,0
40,0,0
40,0,0
34,0,0
36,0,0
39,0,0
42,0,0
45,0,0
49,0,0
53,0,0
55,0,0
58,0,0
55,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
3,0,0
5,0,0
12,0,0
16,0,0
19,0,0
20,0,0
