R,G,B
93,105,67
93,105,67
92,105,67
92,105,67
93,105,67
93,105,67
93,105,67
92,105,67
94,105,67
95,105,67
97,105,67
97,105,67
98,105,67
98,105,67
98,105,67
99,105,67
100,105,67
102,105,67
103,105,67
104,105,67
104,105,67
104,105,67
105,105,67
107,105,67
109,105,67
109,105,67
110,105,67
110,105,67
111,105,67
113,105,67
114,105,67
114,105,67
114,105,67
114,105,67
114,105,67
115,105,67
116,105,67
116,105,67
117,105,67
117,105,67
115,105,67
116,105,67
117,105,67
117,105,67
117,105,67
117,105,67
117,105,67
118,105,67
119,105,67
119,105,67
119,105,67
119,105,67
121,105,67
123,105,67
124,105,67
125,105,67
125,105,67
125,105,67
125,105,67
126,105,67
128,105,67
128,105,67
129,105,67
128,105,67
128,105,67
129,105,67
129,105,67
129,105,67
128,105,67
127,105,67
126,105,67
125,105,67
124,105,67
123,105,67
121,105,67
120,105,67
118,105,67
117,105,67
117,105,67
117,105,67
119,105,67
118,105,67
117,105,67
115,105,67
116,105,67
117,105,67
119,105,67
122,105,67
123,105,67
121,105,67
125,105,67
118,105,67
121,105,67
118,105,67
119,105,67
159,105,67
215,105,67
241,105,67
246,105,67
254,105,67
255,105,67
255,105,67
215,105,67
179,105,67
154,105,67
141,105,67
134,105,67
167,105,67
213,105,67
251,105,67
255,105,67
255,105,67
253,105,67
253,105,67
254,105,67
251,105,67
251,105,67
250,105,67
253,105,67
255,105,67
255,105,67
255,105,67
255,105,67
254,105,67
255,105,67
246,105,67
230,105,67
220,105,67
198,105,67
177,105,67
151,105,67
143,105,67
148,105,67
155,105,67
157,105,67
158,105,67
165,105,67
177,105,67
192,105,67
204,105,67
214,105,67
222,105,67
227,105,67
230,105,67
228,105,67
226,105,67
218,105,67
212,105,67
213,105,67
217,105,67
221,105,67
220,105,67
215,105,67
215,105,67
223,105,67
232,105,67
228,105,67
219,105,67
217,105,67
220,105,67
218,105,67
209,105,67
196,105,67
183,105,67
173,105,67
165,105,67
160,105,67
156,105,67
166,105,67
161,105,67
157,105,67
148,105,67
140,105,67
130,105,67
123,105,67
120,105,67
109,105,67
114,105,67
122,105,67
128,105,67
138,105,67
147,105,67
151,105,67
149,105,67
141,105,67
141,105,67
143,105,67
146,105,67
146,105,67
143,105,67
144,105,67
148,105,67
145,105,67
140,105,67
131,105,67
118,105,67
105,105,67
98,105,67
96,105,67
97,105,67
99,105,67
104,105,67
110,105,67
108,105,67
97,105,67
89,105,67
85,105,67
83,105,67
79,105,67
69,105,67
62,105,67
64,105,67
68,105,67
69,105,67
71,105,67
74,105,67
77,105,67
77,105,67
78,105,67
77,105,67
73,105,67
71,105,67
71,105,67
71,105,67
68,105,67
67,105,67
67,105,67
67,105,67
67,105,67
64,105,67
57,105,67
51,105,67
47,105,67
42,105,67
37,105,67
34,105,67
31,105,67
29,105,67
30,105,67
33,105,67
31,105,67
25,105,67
28,105,67
33,105,67
33,105,67
34,105,67
36,105,67
35,105,67
32,105,67
29,105,67
93,104,66
92,104,66
92,104,66
92,104,66
93,104,66
93,104,66
93,104,66
93,104,66
94,104,66
95,104,66
97,104,66
97,104,66
98,104,66
98,104,66
99,104,66
99,104,66
100,104,66
102,104,66
104,104,66
104,104,66
104,104,66
105,104,66
106,104,66
107,104,66
109,104,66
109,104,66
110,104,66
110,104,66
111,104,66
113,104,66
114,104,66
114,104,66
114,104,66
114,104,66
115,104,66
115,104,66
116,104,66
117,104,66
117,104,66
117,104,66
115,104,66
116,104,66
117,104,66
117,104,66
117,104,66
117,104,66
117,104,66
118,104,66
118,104,66
118,104,66
118,104,66
119,104,66
120,104,66
122,104,66
123,104,66
124,104,66
125,104,66
125,104,66
125,104,66
126,104,66
128,104,66
128,104,66
129,104,66
128,104,66
128,104,66
129,104,66
129,104,66
129,104,66
128,104,66
127,104,66
126,104,66
125,104,66
124,104,66
123,104,66
121,104,66
120,104,66
118,104,66
117,104,66
117,104,66
117,104,66
119,104,66
118,104,66
117,104,66
115,104,66
116,104,66
117,104,66
118,104,66
121,104,66
123,104,66
122,104,66
127,104,66
121,104,66
123,104,66
120,104,66
120,104,66
156,104,66
208,104,66
239,104,66
248,104,66
255,104,66
255,104,66
254,104,66
217,104,66
183,104,66
163,104,66
150,104,66
141,104,66
173,104,66
216,104,66
252,104,66
255,104,66
255,104,66
253,104,66
253,104,66
253,104,66
251,104,66
251,104,66
251,104,66
253,104,66
255,104,66
255,104,66
255,104,66
255,104,66
255,104,66
255,104,66
247,104,66
230,104,66
218,104,66
202,104,66
180,104,66
153,104,66
143,104,66
145,104,66
153,104,66
160,104,66
165,104,66
172,104,66
184,104,66
197,104,66
209,104,66
217,104,66
225,104,66
230,104,66
232,104,66
226,104,66
223,104,66
216,104,66
206,104,66
204,104,66
209,104,66
214,104,66
216,104,66
213,104,66
211,104,66
212,104,66
213,104,66
208,104,66
203,104,66
200,104,66
200,104,66
199,104,66
193,104,66
185,104,66
179,104,66
174,104,66
165,104,66
153,104,66
146,104,66
135,104,66
136,104,66
139,104,66
141,104,66
137,104,66
134,104,66
132,104,66
133,104,66
130,104,66
134,104,66
139,104,66
139,104,66
139,104,66
143,104,66
145,104,66
143,104,66
142,104,66
141,104,66
142,104,66
147,104,66
146,104,66
144,104,66
144,104,66
147,104,66
144,104,66
139,104,66
129,104,66
116,104,66
104,104,66
97,104,66
95,104,66
96,104,66
98,104,66
101,104,66
106,104,66
106,104,66
100,104,66
95,104,66
94,104,66
92,104,66
87,104,66
75,104,66
66,104,66
66,104,66
69,104,66
68,104,66
68,104,66
69,104,66
72,104,66
72,104,66
75,104,66
76,104,66
73,104,66
72,104,66
72,104,66
72,104,66
70,104,66
68,104,66
67,104,66
67,104,66
68,104,66
67,104,66
64,104,66
60,104,66
56,104,66
52,104,66
47,104,66
43,104,66
40,104,66
36,104,66
36,104,66
37,104,66
32,104,66
24,104,66
24,104,66
27,104,66
26,104,66
28,104,66
32,104,66
32,104,66
32,104,66
28,104,66
92,104,68
92,104,68
92,104,68
92,104,68
93,104,68
93,104,68
93,104,68
93,104,68
95,104,68
96,104,68
97,104,68
97,104,68
98,104,68
98,104,68
99,104,68
99,104,68
101,104,68
102,104,68
104,104,68
105,104,68
105,104,68
106,104,68
106,104,68
108,104,68
110,104,68
110,104,68
110,104,68
110,104,68
111,104,68
113,104,68
114,104,68
114,104,68
114,104,68
114,104,68
115,104,68
115,104,68
116,104,68
117,104,68
117,104,68
117,104,68
116,104,68
116,104,68
117,104,68
116,104,68
116,104,68
116,104,68
117,104,68
118,104,68
117,104,68
117,104,68
117,104,68
118,104,68
119,104,68
121,104,68
122,104,68
123,104,68
125,104,68
125,104,68
125,104,68
126,104,68
127,104,68
128,104,68
129,104,68
128,104,68
128,104,68
129,104,68
129,104,68
129,104,68
128,104,68
127,104,68
126,104,68
125,104,68
124,104,68
123,104,68
122,104,68
120,104,68
119,104,68
118,104,68
117,104,68
117,104,68
119,104,68
118,104,68
118,104,68
117,104,68
116,104,68
116,104,68
118,104,68
120,104,68
123,104,68
122,104,68
128,104,68
125,104,68
124,104,68
122,104,68
122,104,68
150,104,68
195,104,68
232,104,68
250,104,68
255,104,68
255,104,68
248,104,68
220,104,68
189,104,68
175,104,68
159,104,68
150,104,68
179,104,68
220,104,68
253,104,68
255,104,68
255,104,68
253,104,68
253,104,68
253,104,68
251,104,68
251,104,68
253,104,68
253,104,68
255,104,68
252,104,68
251,104,68
250,104,68
253,104,68
255,104,68
248,104,68
230,104,68
215,104,68
200,104,68
180,104,68
156,104,68
145,104,68
143,104,68
151,104,68
163,104,68
176,104,68
182,104,68
193,104,68
206,104,68
213,104,68
218,104,68
223,104,68
227,104,68
229,104,68
226,104,68
223,104,68
215,104,68
205,104,68
198,104,68
203,104,68
209,104,68
213,104,68
210,104,68
204,104,68
200,104,68
195,104,68
188,104,68
183,104,68
183,104,68
181,104,68
180,104,68
174,104,68
170,104,68
169,104,68
170,104,68
162,104,68
147,104,68
134,104,68
117,104,68
123,104,68
132,104,68
137,104,68
136,104,68
134,104,68
136,104,68
139,104,68
144,104,68
150,104,68
150,104,68
145,104,68
139,104,68
137,104,68
139,104,68
140,104,68
143,104,68
142,104,68
142,104,68
144,104,68
146,104,68
143,104,68
144,104,68
145,104,68
143,104,68
137,104,68
126,104,68
114,104,68
104,104,68
97,104,68
95,104,68
95,104,68
95,104,68
95,104,68
99,104,68
101,104,68
100,104,68
100,104,68
101,104,68
100,104,68
95,104,68
84,104,68
75,104,68
72,104,68
72,104,68
68,104,68
64,104,68
63,104,68
64,104,68
65,104,68
68,104,68
70,104,68
69,104,68
69,104,68
71,104,68
70,104,68
70,104,68
68,104,68
66,104,68
66,104,68
67,104,68
69,104,68
69,104,68
68,104,68
64,104,68
61,104,68
58,104,68
55,104,68
51,104,68
46,104,68
44,104,68
43,104,68
39,104,68
31,104,68
29,104,68
29,104,68
26,104,68
26,104,68
29,104,68
28,104,68
27,104,68
23,104,68
92,104,68
92,104,68
92,104,68
92,104,68
93,104,68
93,104,68
93,104,68
93,104,68
95,104,68
96,104,68
97,104,68
97,104,68
98,104,68
98,104,68
99,104,68
100,104,68
101,104,68
103,104,68
105,104,68
106,104,68
106,104,68
107,104,68
107,104,68
109,104,68
110,104,68
110,104,68
110,104,68
111,104,68
112,104,68
113,104,68
114,104,68
114,104,68
114,104,68
115,104,68
115,104,68
116,104,68
116,104,68
117,104,68
117,104,68
118,104,68
116,104,68
116,104,68
116,104,68
116,104,68
116,104,68
116,104,68
117,104,68
117,104,68
117,104,68
117,104,68
117,104,68
118,104,68
118,104,68
120,104,68
122,104,68
123,104,68
125,104,68
124,104,68
125,104,68
126,104,68
127,104,68
128,104,68
129,104,68
128,104,68
128,104,68
