R,G,B
168,170,169
168,170,169
169,170,169
169,170,169
170,170,169
169,170,169
168,170,169
167,170,169
165,170,169
165,170,169
165,170,169
165,170,169
165,170,169
165,170,169
164,170,169
164,170,169
165,170,169
165,170,169
165,170,169
165,170,169
165,170,169
165,170,169
165,170,169
165,170,169
166,170,169
165,170,169
165,170,169
165,170,169
166,170,169
166,170,169
166,170,169
166,170,169
167,170,169
166,170,169
165,170,169
164,170,169
163,170,169
164,170,169
165,170,169
165,170,169
163,170,169
164,170,169
162,170,169
159,170,169
157,170,169
158,170,169
154,170,169
150,170,169
146,170,169
141,170,169
139,170,169
133,170,169
126,170,169
119,170,169
113,170,169
107,170,169
101,170,169
96,170,169
91,170,169
87,170,169
85,170,169
84,170,169
84,170,169
86,170,169
93,170,169
97,170,169
103,170,169
109,170,169
112,170,169
116,170,169
122,170,169
128,170,169
132,170,169
136,170,169
142,170,169
146,170,169
149,170,169
152,170,169
155,170,169
157,170,169
157,170,169
158,170,169
158,170,169
159,170,169
158,170,169
158,170,169
159,170,169
160,170,169
160,170,169
160,170,169
160,170,169
161,170,169
161,170,169
161,170,169
162,170,169
162,170,169
158,170,169
158,170,169
160,170,169
161,170,169
163,170,169
163,170,169
163,170,169
160,170,169
161,170,169
160,170,169
160,170,169
160,170,169
161,170,169
163,170,169
165,170,169
167,170,169
168,170,169
168,170,169
168,170,169
167,170,169
167,170,169
165,170,169
165,170,169
165,170,169
164,170,169
164,170,169
164,170,169
164,170,169
164,170,169
165,170,169
165,170,169
165,170,169
164,170,169
165,170,169
165,170,169
164,170,169
164,170,169
161,170,169
155,170,169
150,170,169
140,170,169
133,170,169
124,170,169
116,170,169
113,170,169
110,170,169
110,170,169
110,170,169
103,170,169
102,170,169
104,170,169
104,170,169
100,170,169
93,170,169
97,170,169
105,170,169
120,170,169
134,170,169
150,170,169
157,170,169
162,170,169
163,170,169
159,170,169
159,170,169
162,170,169
162,170,169
161,170,169
161,170,169
160,170,169
164,170,169
167,170,169
170,170,169
166,170,169
168,170,169
171,170,169
175,170,169
177,170,169
177,170,169
175,170,169
175,170,169
174,170,169
174,170,169
175,170,169
175,170,169
175,170,169
175,170,169
174,170,169
171,170,169
170,170,169
168,170,169
166,170,169
164,170,169
163,170,169
162,170,169
161,170,169
160,170,169
155,170,169
153,170,169
149,170,169
141,170,169
133,170,169
125,170,169
116,170,169
105,170,169
96,170,169
87,170,169
77,170,169
71,170,169
69,170,169
68,170,169
73,170,169
78,170,169
86,170,169
94,170,169
105,170,169
116,170,169
123,170,169
129,170,169
134,170,169
138,170,169
141,170,169
142,170,169
143,170,169
142,170,169
144,170,169
146,170,169
147,170,169
147,170,169
147,170,169
148,170,169
149,170,169
150,170,169
150,170,169
150,170,169
150,170,169
151,170,169
151,170,169
152,170,169
155,170,169
155,170,169
155,170,169
155,170,169
155,170,169
155,170,169
155,170,169
155,170,169
156,170,169
156,170,169
156,170,169
157,170,169
157,170,169
157,170,169
157,170,169
157,170,169
170,172,171
170,172,171
170,172,171
171,172,171
171,172,171
171,172,171
170,172,171
168,172,171
167,172,171
167,172,171
167,172,171
167,172,171
167,172,171
167,172,171
166,172,171
166,172,171
167,172,171
167,172,171
167,172,171
167,172,171
167,172,171
167,172,171
167,172,171
167,172,171
168,172,171
167,172,171
166,172,171
166,172,171
167,172,171
167,172,171
167,172,171
166,172,171
167,172,171
166,172,171
165,172,171
164,172,171
163,172,171
164,172,171
165,172,171
165,172,171
163,172,171
163,172,171
162,172,171
159,172,171
157,172,171
154,172,171
152,172,171
147,172,171
140,172,171
135,172,171
130,172,171
127,172,171
120,172,171
115,172,171
110,172,171
104,172,171
100,172,171
95,172,171
91,172,171
88,172,171
85,172,171
84,172,171
84,172,171
85,172,171
91,172,171
95,172,171
101,172,171
108,172,171
111,172,171
115,172,171
120,172,171
126,172,171
131,172,171
136,172,171
141,172,171
146,172,171
149,172,171
151,172,171
154,172,171
157,172,171
157,172,171
158,172,171
158,172,171
159,172,171
158,172,171
158,172,171
159,172,171
160,172,171
160,172,171
160,172,171
160,172,171
161,172,171
161,172,171
161,172,171
162,172,171
162,172,171
159,172,171
159,172,171
161,172,171
163,172,171
163,172,171
163,172,171
163,172,171
160,172,171
162,172,171
160,172,171
160,172,171
160,172,171
161,172,171
163,172,171
165,172,171
167,172,171
168,172,171
168,172,171
168,172,171
167,172,171
167,172,171
165,172,171
165,172,171
165,172,171
165,172,171
164,172,171
164,172,171
164,172,171
164,172,171
165,172,171
165,172,171
165,172,171
165,172,171
165,172,171
166,172,171
165,172,171
165,172,171
163,172,171
158,172,171
152,172,171
142,172,171
136,172,171
126,172,171
119,172,171
114,172,171
111,172,171
111,172,171
111,172,171
105,172,171
103,172,171
104,172,171
103,172,171
97,172,171
90,172,171
94,172,171
101,172,171
118,172,171
134,172,171
150,172,171
154,172,171
154,172,171
152,172,171
149,172,171
149,172,171
152,172,171
152,172,171
151,172,171
151,172,171
150,172,171
154,172,171
157,172,171
160,172,171
160,172,171
162,172,171
166,172,171
170,172,171
173,172,171
175,172,171
174,172,171
174,172,171
176,172,171
177,172,171
177,172,171
176,172,171
176,172,171
176,172,171
174,172,171
171,172,171
170,172,171
169,172,171
167,172,171
165,172,171
164,172,171
162,172,171
161,172,171
160,172,171
156,172,171
154,172,171
150,172,171
142,172,171
135,172,171
127,172,171
117,172,171
106,172,171
97,172,171
88,172,171
78,172,171
72,172,171
69,172,171
68,172,171
72,172,171
77,172,171
84,172,171
92,172,171
103,172,171
114,172,171
121,172,171
128,172,171
133,172,171
137,172,171
140,172,171
141,172,171
142,172,171
142,172,171
144,172,171
146,172,171
147,172,171
147,172,171
147,172,171
148,172,171
149,172,171
150,172,171
150,172,171
150,172,171
150,172,171
151,172,171
151,172,171
152,172,171
155,172,171
155,172,171
155,172,171
155,172,171
155,172,171
155,172,171
155,172,171
155,172,171
156,172,171
156,172,171
156,172,171
157,172,171
157,172,171
157,172,171
157,172,171
157,172,171
173,175,174
173,175,174
173,175,174
173,175,174
174,175,174
173,175,174
172,175,174
169,175,174
169,175,174
169,175,174
169,175,174
169,175,174
169,175,174
169,175,174
169,175,174
168,175,174
169,175,174
169,175,174
169,175,174
169,175,174
169,175,174
169,175,174
169,175,174
169,175,174
170,175,174
169,175,174
169,175,174
169,175,174
169,175,174
169,175,174
168,175,174
167,175,174
168,175,174
167,175,174
165,175,174
164,175,174
163,175,174
163,175,174
164,175,174
165,175,174
163,175,174
163,175,174
162,175,174
159,175,174
156,175,174
152,175,174
146,175,174
143,175,174
134,175,174
128,175,174
122,175,174
118,175,174
115,175,174
111,175,174
106,175,174
100,175,174
98,175,174
94,175,174
90,175,174
88,175,174
86,175,174
84,175,174
83,175,174
83,175,174
89,175,174
93,175,174
99,175,174
106,175,174
109,175,174
113,175,174
119,175,174
125,175,174
130,175,174
135,175,174
140,175,174
145,175,174
148,175,174
151,175,174
154,175,174
156,175,174
157,175,174
157,175,174
158,175,174
158,175,174
158,175,174
158,175,174
159,175,174
160,175,174
160,175,174
160,175,174
160,175,174
161,175,174
161,175,174
161,175,174
162,175,174
162,175,174
162,175,174
162,175,174
163,175,174
164,175,174
164,175,174
164,175,174
164,175,174
162,175,174
164,175,174
161,175,174
161,175,174
161,175,174
161,175,174
163,175,174
165,175,174
165,175,174
167,175,174
167,175,174
167,175,174
167,175,174
167,175,174
165,175,174
165,175,174
165,175,174
165,175,174
164,175,174
164,175,174
164,175,174
164,175,174
166,175,174
165,175,174
165,175,174
164,175,174
166,175,174
167,175,174
167,175,174
166,175,174
166,175,174
161,175,174
157,175,174
148,175,174
140,175,174
131,175,174
122,175,174
