R,G,B
21,19,22
22,19,22
23,19,22
23,19,22
23,19,22
23,19,22
22,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
21,19,22
21,19,22
21,19,22
21,19,22
20,19,22
20,19,22
19,19,22
19,19,22
19,19,22
19,19,22
19,19,22
19,19,22
19,19,22
19,19,22
19,19,22
19,19,22
20,19,22
20,19,22
20,19,22
19,19,22
19,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
20,19,22
21,19,22
21,19,22
21,19,22
21,19,22
20,19,22
20,19,22
20,19,22
19,19,22
20,19,22
20,19,22
20,19,22
19,19,22
19,19,22
19,19,22
20,19,22
21,19,22
21,19,22
20,19,22
19,19,22
20,19,22
21,19,22
22,19,22
22,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
22,19,22
23,19,22
22,19,22
21,19,22
20,19,22
20,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
20,19,22
20,19,22
20,19,22
20,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
21,19,22
20,19,22
19,19,22
19,19,22
20,19,22
20,19,22
21,19,22
20,19,22
20,19,22
27,19,22
20,19,22
27,19,22
51,19,22
63,19,22
64,19,22
64,19,22
65,19,22
80,19,22
80,19,22
83,19,22
83,19,22
80,19,22
80,19,22
66,19,22
70,19,22
82,19,22
76,19,22
76,19,22
87,19,22
102,19,22
109,19,22
92,19,22
94,19,22
92,19,22
91,19,22
95,19,22
97,19,22
91,19,22
91,19,22
102,19,22
120,19,22
112,19,22
101,19,22
96,19,22
96,19,22
97,19,22
101,19,22
108,19,22
110,19,22
98,19,22
86,19,22
86,19,22
93,19,22
98,19,22
101,19,22
105,19,22
101,19,22
94,19,22
98,19,22
105,19,22
100,19,22
91,19,22
96,19,22
108,19,22
97,19,22
94,19,22
98,19,22
108,19,22
114,19,22
122,19,22
121,19,22
96,19,22
84,19,22
94,19,22
103,19,22
99,19,22
99,19,22
107,19,22
100,19,22
75,19,22
84,19,22
95,19,22
107,19,22
101,19,22
88,19,22
90,19,22
99,19,22
99,19,22
95,19,22
96,19,22
101,19,22
98,19,22
94,19,22
105,19,22
110,19,22
99,19,22
88,19,22
94,19,22
82,19,22
83,19,22
86,19,22
77,19,22
79,19,22
79,19,22
88,19,22
103,19,22
103,19,22
95,19,22
95,19,22
92,19,22
83,19,22
81,19,22
84,19,22
86,19,22
70,19,22
86,19,22
101,19,22
94,19,22
103,19,22
104,19,22
105,19,22
106,19,22
92,19,22
94,19,22
85,19,22
72,19,22
75,19,22
112,19,22
104,19,22
92,19,22
21,20,23
22,20,23
23,20,23
23,20,23
23,20,23
23,20,23
22,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
22,20,23
21,20,23
21,20,23
21,20,23
20,20,23
20,20,23
20,20,23
20,20,23
20,20,23
20,20,23
20,20,23
20,20,23
20,20,23
20,20,23
20,20,23
20,20,23
21,20,23
20,20,23
20,20,23
19,20,23
19,20,23
20,20,23
20,20,23
21,20,23
19,20,23
20,20,23
20,20,23
20,20,23
20,20,23
21,20,23
21,20,23
21,20,23
21,20,23
20,20,23
20,20,23
20,20,23
19,20,23
20,20,23
20,20,23
20,20,23
19,20,23
19,20,23
19,20,23
20,20,23
21,20,23
21,20,23
20,20,23
19,20,23
20,20,23
21,20,23
22,20,23
22,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
20,20,23
21,20,23
21,20,23
22,20,23
22,20,23
22,20,23
21,20,23
20,20,23
20,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
20,20,23
20,20,23
20,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
21,20,23
20,20,23
19,20,23
19,20,23
20,20,23
20,20,23
21,20,23
20,20,23
19,20,23
25,20,23
19,20,23
32,20,23
61,20,23
71,20,23
70,20,23
70,20,23
78,20,23
87,20,23
89,20,23
94,20,23
87,20,23
73,20,23
74,20,23
72,20,23
79,20,23
83,20,23
74,20,23
88,20,23
102,20,23
104,20,23
106,20,23
87,20,23
82,20,23
94,20,23
102,20,23
107,20,23
112,20,23
108,20,23
95,20,23
86,20,23
99,20,23
98,20,23
100,20,23
105,20,23
109,20,23
107,20,23
102,20,23
98,20,23
99,20,23
119,20,23
119,20,23
106,20,23
105,20,23
105,20,23
97,20,23
92,20,23
99,20,23
95,20,23
96,20,23
100,20,23
97,20,23
92,20,23
90,20,23
91,20,23
103,20,23
90,20,23
80,20,23
89,20,23
96,20,23
100,20,23
102,20,23
91,20,23
97,20,23
100,20,23
108,20,23
108,20,23
103,20,23
99,20,23
96,20,23
87,20,23
