R,G,B
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
1,0,2
5,0,2
14,0,2
129,0,2
130,0,2
137,0,2
134,0,2
131,0,2
130,0,2
132,0,2
134,0,2
135,0,2
135,0,2
135,0,2
134,0,2
133,0,2
133,0,2
134,0,2
135,0,2
135,0,2
135,0,2
134,0,2
134,0,2
134,0,2
134,0,2
134,0,2
133,0,2
131,0,2
130,0,2
129,0,2
130,0,2
131,0,2
130,0,2
128,0,2
129,0,2
131,0,2
129,0,2
124,0,2
128,0,2
128,0,2
124,0,2
122,0,2
124,0,2
125,0,2
124,0,2
123,0,2
122,0,2
122,0,2
122,0,2
121,0,2
119,0,2
116,0,2
114,0,2
112,0,2
115,0,2
117,0,2
115,0,2
113,0,2
114,0,2
115,0,2
116,0,2
113,0,2
114,0,2
117,0,2
119,0,2
117,0,2
119,0,2
128,0,2
136,0,2
146,0,2
144,0,2
142,0,2
144,0,2
149,0,2
152,0,2
153,0,2
152,0,2
152,0,2
146,0,2
134,0,2
117,0,2
99,0,2
93,0,2
104,0,2
116,0,2
117,0,2
117,0,2
118,0,2
119,0,2
120,0,2
119,0,2
120,0,2
122,0,2
124,0,2
125,0,2
127,0,2
129,0,2
131,0,2
134,0,2
134,0,2
134,0,2
135,0,2
136,0,2
136,0,2
137,0,2
137,0,2
136,0,2
136,0,2
134,0,2
135,0,2
133,0,2
133,0,2
134,0,2
133,0,2
129,0,2
128,0,2
128,0,2
130,0,2
134,0,2
135,0,2
135,0,2
133,0,2
135,0,2
135,0,2
133,0,2
134,0,2
134,0,2
134,0,2
134,0,2
134,0,2
134,0,2
133,0,2
133,0,2
133,0,2
132,0,2
132,0,2
131,0,2
131,0,2
130,0,2
130,0,2
131,0,2
131,0,2
130,0,2
129,0,2
129,0,2
128,0,2
128,0,2
126,0,2
124,0,2
126,0,2
124,0,2
125,0,2
125,0,2
126,0,2
128,0,2
128,0,2
125,0,2
122,0,2
122,0,2
122,0,2
121,0,2
122,0,2
122,0,2
120,0,2
119,0,2
121,0,2
124,0,2
120,0,2
115,0,2
117,0,2
124,0,2
143,0,2
171,0,2
184,0,2
167,0,2
155,0,2
137,0,2
180,0,2
241,0,2
238,0,2
226,0,2
238,0,2
241,0,2
236,0,2
230,0,2
230,0,2
230,0,2
231,0,2
235,0,2
238,0,2
239,0,2
239,0,2
238,0,2
238,0,2
240,0,2
241,0,2
240,0,2
241,0,2
239,0,2
237,0,2
237,0,2
235,0,2
231,0,2
225,0,2
219,0,2
216,0,2
214,0,2
214,0,2
218,0,2
223,0,2
228,0,2
232,0,2
236,0,2
244,0,2
246,0,2
248,0,2
248,0,2
248,0,2
248,0,2
246,0,2
244,0,2
239,0,2
241,0,2
243,0,2
245,0,2
246,0,2
247,0,2
249,0,2
250,0,2
252,0,2
252,0,2
252,0,2
251,0,2
251,0,2
249,0,2
246,0,2
245,0,2
247,0,2
248,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
