R,G,B
7,16,13
9,16,13
17,16,13
62,16,13
102,16,13
146,16,13
131,16,13
101,16,13
60,16,13
44,16,13
38,16,13
34,16,13
42,16,13
43,16,13
54,16,13
59,16,13
116,16,13
145,16,13
179,16,13
156,16,13
154,16,13
149,16,13
144,16,13
132,16,13
114,16,13
103,16,13
97,16,13
97,16,13
94,16,13
82,16,13
56,16,13
30,16,13
9,16,13
13,16,13
19,16,13
27,16,13
36,16,13
45,16,13
51,16,13
53,16,13
58,16,13
59,16,13
59,16,13
58,16,13
56,16,13
48,16,13
38,16,13
33,16,13
31,16,13
33,16,13
31,16,13
26,16,13
22,16,13
19,16,13
17,16,13
15,16,13
11,16,13
10,16,13
9,16,13
7,16,13
6,16,13
9,16,13
14,16,13
17,16,13
28,16,13
32,16,13
40,16,13
57,16,13
79,16,13
92,16,13
87,16,13
75,16,13
57,16,13
58,16,13
59,16,13
54,16,13
52,16,13
58,16,13
65,16,13
63,16,13
49,16,13
39,16,13
29,16,13
25,16,13
25,16,13
25,16,13
25,16,13
24,16,13
19,16,13
13,16,13
9,16,13
7,16,13
5,16,13
8,16,13
8,16,13
7,16,13
3,16,13
0,16,13
0,16,13
0,16,13
0,16,13
0,16,13
11,16,13
22,16,13
50,16,13
76,16,13
95,16,13
95,16,13
89,16,13
81,16,13
73,16,13
68,16,13
63,16,13
62,16,13
63,16,13
58,16,13
57,16,13
58,16,13
99,16,13
145,16,13
155,16,13
152,16,13
146,16,13
145,16,13
157,16,13
173,16,13
167,16,13
146,16,13
147,16,13
143,16,13
135,16,13
127,16,13
127,16,13
129,16,13
118,16,13
101,16,13
93,16,13
100,16,13
109,16,13
117,16,13
120,16,13
117,16,13
106,16,13
95,16,13
92,16,13
87,16,13
84,16,13
83,16,13
84,16,13
83,16,13
84,16,13
84,16,13
87,16,13
95,16,13
104,16,13
107,16,13
106,16,13
100,16,13
90,16,13
81,16,13
78,16,13
69,16,13
63,16,13
60,16,13
61,16,13
65,16,13
65,16,13
57,16,13
61,16,13
68,16,13
72,16,13
67,16,13
62,16,13
61,16,13
66,16,13
69,16,13
61,16,13
68,16,13
85,16,13
110,16,13
135,16,13
153,16,13
156,16,13
156,16,13
144,16,13
138,16,13
129,16,13
124,16,13
122,16,13
119,16,13
120,16,13
120,16,13
111,16,13
108,16,13
104,16,13
94,16,13
86,16,13
86,16,13
89,16,13
90,16,13
90,16,13
86,16,13
102,16,13
107,16,13
111,16,13
99,16,13
112,16,13
151,16,13
155,16,13
148,16,13
118,16,13
102,16,13
114,16,13
129,16,13
140,16,13
145,16,13
131,16,13
123,16,13
119,16,13
123,16,13
129,16,13
135,16,13
137,16,13
137,16,13
134,16,13
127,16,13
123,16,13
124,16,13
128,16,13
128,16,13
125,16,13
123,16,13
115,16,13
105,16,13
99,16,13
93,16,13
85,16,13
79,16,13
70,16,13
60,16,13
50,16,13
48,16,13
54,16,13
53,16,13
49,16,13
54,16,13
57,16,13
63,16,13
65,16,13
65,16,13
7,18,15
9,18,15
16,18,15
64,18,15
111,18,15
160,18,15
142,18,15
108,18,15
57,18,15
35,18,15
29,18,15
28,18,15
32,18,15
29,18,15
52,18,15
73,18,15
129,18,15
154,18,15
174,18,15
156,18,15
159,18,15
167,18,15
152,18,15
126,18,15
106,18,15
101,18,15
101,18,15
105,18,15
104,18,15
91,18,15
65,18,15
40,18,15
14,18,15
17,18,15
23,18,15
30,18,15
41,18,15
49,18,15
48,18,15
46,18,15
52,18,15
50,18,15
48,18,15
46,18,15
45,18,15
41,18,15
36,18,15
34,18,15
32,18,15
35,18,15
35,18,15
30,18,15
25,18,15
21,18,15
17,18,15
14,18,15
11,18,15
9,18,15
7,18,15
5,18,15
7,18,15
9,18,15
12,18,15
15,18,15
16,18,15
18,18,15
27,18,15
45,18,15
72,18,15
92,18,15
91,18,15
81,18,15
62,18,15
59,18,15
60,18,15
63,18,15
69,18,15
80,18,15
85,18,15
83,18,15
73,18,15
64,18,15
53,18,15
46,18,15
44,18,15
42,18,15
42,18,15
41,18,15
37,18,15
28,18,15
19,18,15
12,18,15
6,18,15
7,18,15
10,18,15
10,18,15
11,18,15
6,18,15
2,18,15
3,18,15
3,18,15
5,18,15
9,18,15
14,18,15
39,18,15
68,18,15
95,18,15
100,18,15
94,18,15
82,18,15
72,18,15
66,18,15
65,18,15
62,18,15
62,18,15
59,18,15
61,18,15
65,18,15
105,18,15
155,18,15
156,18,15
155,18,15
155,18,15
158,18,15
162,18,15
164,18,15
155,18,15
139,18,15
142,18,15
141,18,15
137,18,15
130,18,15
122,18,15
115,18,15
109,18,15
104,18,15
100,18,15
100,18,15
103,18,15
111,18,15
118,18,15
116,18,15
106,18,15
96,18,15
92,18,15
88,18,15
86,18,15
86,18,15
86,18,15
85,18,15
83,18,15
82,18,15
86,18,15
91,18,15
96,18,15
102,18,15
104,18,15
101,18,15
93,18,15
85,18,15
79,18,15
72,18,15
68,18,15
66,18,15
65,18,15
66,18,15
63,18,15
56,18,15
61,18,15
67,18,15
68,18,15
64,18,15
60,18,15
62,18,15
66,18,15
68,18,15
58,18,15
63,18,15
75,18,15
92,18,15
114,18,15
132,18,15
145,18,15
154,18,15
149,18,15
143,18,15
132,18,15
125,18,15
123,18,15
123,18,15
121,18,15
119,18,15
112,18,15
110,18,15
106,18,15
98,18,15
90,18,15
90,18,15
94,18,15
94,18,15
91,18,15
89,18,15
103,18,15
107,18,15
114,18,15
107,18,15
117,18,15
149,18,15
156,18,15
156,18,15
131,18,15
113,18,15
110,18,15
117,18,15
132,18,15
145,18,15
139,18,15
132,18,15
125,18,15
124,18,15
127,18,15
133,18,15
138,18,15
138,18,15
134,18,15
129,18,15
126,18,15
128,18,15
131,18,15
130,18,15
125,18,15
123,18,15
114,18,15
104,18,15
98,18,15
91,18,15
84,18,15
76,18,15
67,18,15
58,18,15
49,18,15
46,18,15
53,18,15
54,18,15
51,18,15
56,18,15
