R,G,B
8,8,6
8,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
7,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
6,8,6
5,8,6
5,8,6
4,8,6
5,8,6
6,8,6
6,8,6
6,8,6
5,8,6
3,8,6
2,8,6
3,8,6
6,8,6
9,8,6
11,8,6
12,8,6
11,8,6
9,8,6
9,8,6
9,8,6
11,8,6
21,8,6
36,8,6
42,8,6
41,8,6
40,8,6
37,8,6
31,8,6
28,8,6
34,8,6
40,8,6
44,8,6
50,8,6
57,8,6
62,8,6
68,8,6
68,8,6
72,8,6
77,8,6
84,8,6
86,8,6
95,8,6
100,8,6
107,8,6
114,8,6
118,8,6
115,8,6
115,8,6
122,8,6
132,8,6
142,8,6
146,8,6
145,8,6
143,8,6
143,8,6
148,8,6
155,8,6
154,8,6
152,8,6
151,8,6
152,8,6
151,8,6
148,8,6
146,8,6
145,8,6
147,8,6
132,8,6
121,8,6
107,8,6
108,8,6
108,8,6
76,8,6
108,8,6
149,8,6
162,8,6
157,8,6
147,8,6
136,8,6
102,8,6
59,8,6
27,8,6
78,8,6
76,8,6
45,8,6
25,8,6
61,8,6
91,8,6
96,8,6
114,8,6
143,8,6
128,8,6
162,8,6
162,8,6
160,8,6
163,8,6
158,8,6
160,8,6
158,8,6
154,8,6
154,8,6
150,8,6
150,8,6
141,8,6
118,8,6
119,8,6
130,8,6
151,8,6
150,8,6
163,8,6
179,8,6
179,8,6
180,8,6
165,8,6
151,8,6
142,8,6
136,8,6
138,8,6
140,8,6
142,8,6
147,8,6
155,8,6
149,8,6
159,8,6
157,8,6
146,8,6
130,8,6
115,8,6
114,8,6
110,8,6
110,8,6
88,8,6
78,8,6
84,8,6
90,8,6
92,8,6
95,8,6
101,8,6
103,8,6
111,8,6
121,8,6
127,8,6
127,8,6
121,8,6
122,8,6
129,8,6
132,8,6
134,8,6
136,8,6
136,8,6
133,8,6
123,8,6
114,8,6
111,8,6
106,8,6
113,8,6
106,8,6
104,8,6
110,8,6
101,8,6
92,8,6
105,8,6
118,8,6
106,8,6
64,8,6
50,8,6
92,8,6
128,8,6
134,8,6
141,8,6
118,8,6
127,8,6
159,8,6
197,8,6
217,8,6
219,8,6
218,8,6
214,8,6
200,8,6
192,8,6
196,8,6
203,8,6
201,8,6
196,8,6
196,8,6
196,8,6
196,8,6
199,8,6
200,8,6
198,8,6
197,8,6
196,8,6
195,8,6
193,8,6
195,8,6
195,8,6
197,8,6
200,8,6
204,8,6
206,8,6
208,8,6
209,8,6
213,8,6
211,8,6
212,8,6
214,8,6
214,8,6
210,8,6
206,8,6
205,8,6
204,8,6
203,8,6
7,7,5
7,7,5
7,7,5
7,7,5
7,7,5
7,7,5
7,7,5
6,7,5
7,7,5
7,7,5
7,7,5
7,7,5
7,7,5
7,7,5
7,7,5
7,7,5
6,7,5
6,7,5
7,7,5
7,7,5
7,7,5
6,7,5
6,7,5
5,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
5,7,5
5,7,5
5,7,5
5,7,5
6,7,5
6,7,5
6,7,5
5,7,5
3,7,5
3,7,5
4,7,5
6,7,5
8,7,5
9,7,5
11,7,5
11,7,5
10,7,5
11,7,5
11,7,5
13,7,5
23,7,5
37,7,5
44,7,5
44,7,5
43,7,5
39,7,5
32,7,5
30,7,5
35,7,5
42,7,5
46,7,5
53,7,5
61,7,5
66,7,5
71,7,5
74,7,5
79,7,5
86,7,5
91,7,5
93,7,5
101,7,5
107,7,5
113,7,5
120,7,5
121,7,5
117,7,5
119,7,5
124,7,5
138,7,5
146,7,5
148,7,5
145,7,5
142,7,5
142,7,5
148,7,5
157,7,5
155,7,5
154,7,5
153,7,5
153,7,5
152,7,5
149,7,5
148,7,5
147,7,5
152,7,5
139,7,5
128,7,5
111,7,5
107,7,5
105,7,5
78,7,5
113,7,5
159,7,5
162,7,5
153,7,5
147,7,5
137,7,5
106,7,5
67,7,5
37,7,5
53,7,5
50,7,5
31,7,5
36,7,5
84,7,5
122,7,5
129,7,5
142,7,5
157,7,5
147,7,5
161,7,5
161,7,5
164,7,5
157,7,5
151,7,5
149,7,5
153,7,5
151,7,5
146,7,5
152,7,5
138,7,5
138,7,5
114,7,5
116,7,5
131,7,5
162,7,5
162,7,5
163,7,5
173,7,5
177,7,5
176,7,5
160,7,5
149,7,5
143,7,5
140,7,5
143,7,5
145,7,5
144,7,5
146,7,5
151,7,5
149,7,5
155,7,5
148,7,5
136,7,5
123,7,5
113,7,5
114,7,5
109,7,5
105,7,5
85,7,5
77,7,5
85,7,5
93,7,5
95,7,5
97,7,5
99,7,5
101,7,5
109,7,5
122,7,5
130,7,5
130,7,5
124,7,5
121,7,5
123,7,5
132,7,5
137,7,5
137,7,5
134,7,5
133,7,5
131,7,5
128,7,5
126,7,5
119,7,5
119,7,5
107,7,5
96,7,5
92,7,5
91,7,5
90,7,5
97,7,5
112,7,5
112,7,5
81,7,5
52,7,5
69,7,5
108,7,5
128,7,5
136,7,5
126,7,5
122,7,5
147,7,5
185,7,5
212,7,5
224,7,5
221,7,5
208,7,5
204,7,5
194,7,5
196,7,5
202,7,5
201,7,5
195,7,5
192,7,5
190,7,5
194,7,5
197,7,5
199,7,5
199,7,5
198,7,5
198,7,5
197,7,5
195,7,5
193,7,5
192,7,5
191,7,5
195,7,5
202,7,5
206,7,5
210,7,5
211,7,5
214,7,5
217,7,5
217,7,5
213,7,5
210,7,5
210,7,5
209,7,5
208,7,5
203,7,5
202,7,5
7,7,5
7,7,5
7,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
5,7,5
6,7,5
6,7,5
6,7,5
6,7,5
5,7,5
5,7,5
5,7,5
5,7,5
5,7,5
5,7,5
5,7,5
5,7,5
5,7,5
5,7,5
5,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
6,7,5
5,7,5
5,7,5
5,7,5
6,7,5
6,7,5
6,7,5
5,7,5
3,7,5
4,7,5
5,7,5
6,7,5
6,7,5
