R,G,B
43,61,45
40,61,45
41,61,45
45,61,45
47,61,45
43,61,45
38,61,45
35,61,45
36,61,45
36,61,45
36,61,45
34,61,45
33,61,45
31,61,45
31,61,45
30,61,45
28,61,45
26,61,45
25,61,45
25,61,45
25,61,45
25,61,45
24,61,45
22,61,45
20,61,45
20,61,45
19,61,45
19,61,45
20,61,45
20,61,45
20,61,45
20,61,45
16,61,45
17,61,45
20,61,45
20,61,45
19,61,45
19,61,45
19,61,45
19,61,45
18,61,45
21,61,45
23,61,45
20,61,45
18,61,45
18,61,45
16,61,45
17,61,45
23,61,45
25,61,45
30,61,45
30,61,45
27,61,45
28,61,45
32,61,45
34,61,45
36,61,45
36,61,45
36,61,45
37,61,45
39,61,45
42,61,45
45,61,45
46,61,45
44,61,45
44,61,45
40,61,45
37,61,45
41,61,45
45,61,45
52,61,45
60,61,45
67,61,45
77,61,45
87,61,45
96,61,45
108,61,45
115,61,45
123,61,45
129,61,45
134,61,45
137,61,45
142,61,45
145,61,45
148,61,45
151,61,45
152,61,45
150,61,45
150,61,45
148,61,45
148,61,45
151,61,45
155,61,45
157,61,45
160,61,45
159,61,45
156,61,45
156,61,45
156,61,45
157,61,45
158,61,45
160,61,45
163,61,45
166,61,45
166,61,45
166,61,45
167,61,45
169,61,45
167,61,45
167,61,45
167,61,45
167,61,45
170,61,45
172,61,45
170,61,45
167,61,45
164,61,45
166,61,45
164,61,45
161,61,45
159,61,45
157,61,45
154,61,45
151,61,45
149,61,45
148,61,45
148,61,45
149,61,45
150,61,45
147,61,45
149,61,45
153,61,45
158,61,45
159,61,45
160,61,45
163,61,45
166,61,45
169,61,45
170,61,45
170,61,45
171,61,45
175,61,45
172,61,45
167,61,45
169,61,45
168,61,45
164,61,45
161,61,45
158,61,45
156,61,45
154,61,45
152,61,45
150,61,45
152,61,45
154,61,45
157,61,45
158,61,45
163,61,45
167,61,45
170,61,45
171,61,45
171,61,45
172,61,45
173,61,45
173,61,45
174,61,45
173,61,45
170,61,45
171,61,45
173,61,45
177,61,45
180,61,45
182,61,45
185,61,45
188,61,45
190,61,45
195,61,45
197,61,45
198,61,45
199,61,45
202,61,45
204,61,45
204,61,45
203,61,45
200,61,45
199,61,45
195,61,45
193,61,45
190,61,45
186,61,45
182,61,45
179,61,45
178,61,45
175,61,45
173,61,45
171,61,45
166,61,45
164,61,45
162,61,45
159,61,45
158,61,45
155,61,45
151,61,45
151,61,45
154,61,45
155,61,45
154,61,45
156,61,45
153,61,45
155,61,45
160,61,45
158,61,45
155,61,45
155,61,45
156,61,45
155,61,45
157,61,45
157,61,45
146,61,45
141,61,45
151,61,45
175,61,45
204,61,45
216,61,45
216,61,45
195,61,45
183,61,45
191,61,45
194,61,45
183,61,45
176,61,45
180,61,45
174,61,45
170,61,45
165,61,45
161,61,45
160,61,45
161,61,45
164,61,45
167,61,45
160,61,45
145,61,45
132,61,45
130,61,45
135,61,45
143,61,45
157,61,45
168,61,45
172,61,45
174,61,45
45,59,43
41,59,43
40,59,43
43,59,43
43,59,43
39,59,43
36,59,43
35,59,43
36,59,43
35,59,43
34,59,43
33,59,43
32,59,43
31,59,43
