R,G,B
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
3,1,0
39,1,0
162,1,0
165,1,0
169,1,0
171,1,0
171,1,0
170,1,0
168,1,0
167,1,0
168,1,0
168,1,0
168,1,0
168,1,0
168,1,0
168,1,0
168,1,0
168,1,0
168,1,0
169,1,0
169,1,0
169,1,0
168,1,0
166,1,0
166,1,0
167,1,0
168,1,0
167,1,0
168,1,0
168,1,0
168,1,0
167,1,0
165,1,0
165,1,0
165,1,0
162,1,0
162,1,0
162,1,0
161,1,0
161,1,0
161,1,0
161,1,0
162,1,0
162,1,0
162,1,0
162,1,0
163,1,0
164,1,0
163,1,0
162,1,0
160,1,0
158,1,0
157,1,0
157,1,0
157,1,0
158,1,0
159,1,0
159,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
161,1,0
161,1,0
162,1,0
162,1,0
162,1,0
162,1,0
162,1,0
161,1,0
161,1,0
161,1,0
161,1,0
160,1,0
157,1,0
156,1,0
156,1,0
156,1,0
155,1,0
156,1,0
156,1,0
156,1,0
156,1,0
157,1,0
157,1,0
156,1,0
155,1,0
156,1,0
155,1,0
154,1,0
158,1,0
157,1,0
157,1,0
157,1,0
158,1,0
158,1,0
155,1,0
154,1,0
153,1,0
154,1,0
156,1,0
157,1,0
157,1,0
158,1,0
157,1,0
157,1,0
156,1,0
152,1,0
152,1,0
150,1,0
148,1,0
143,1,0
132,1,0
117,1,0
104,1,0
93,1,0
88,1,0
90,1,0
89,1,0
86,1,0
84,1,0
82,1,0
77,1,0
76,1,0
75,1,0
73,1,0
70,1,0
70,1,0
69,1,0
63,1,0
64,1,0
64,1,0
63,1,0
60,1,0
61,1,0
60,1,0
57,1,0
57,1,0
57,1,0
56,1,0
55,1,0
54,1,0
53,1,0
52,1,0
52,1,0
52,1,0
48,1,0
47,1,0
48,1,0
49,1,0
48,1,0
42,1,0
36,1,0
33,1,0
33,1,0
41,1,0
48,1,0
50,1,0
50,1,0
52,1,0
53,1,0
53,1,0
52,1,0
50,1,0
50,1,0
50,1,0
49,1,0
46,1,0
45,1,0
45,1,0
41,1,0
41,1,0
43,1,0
46,1,0
50,1,0
53,1,0
53,1,0
52,1,0
51,1,0
46,1,0
40,1,0
34,1,0
28,1,0
25,1,0
25,1,0
28,1,0
28,1,0
27,1,0
28,1,0
29,1,0
31,1,0
30,1,0
27,1,0
24,1,0
30,1,0
31,1,0
32,1,0
34,1,0
35,1,0
36,1,0
35,1,0
35,1,0
38,1,0
35,1,0
34,1,0
36,1,0
37,1,0
34,1,0
33,1,0
35,1,0
37,1,0
36,1,0
35,1,0
37,1,0
39,1,0
40,1,0
39,1,0
37,1,0
36,1,0
38,1,0
40,1,0
41,1,0
40,1,0
40,1,0
39,1,0
39,1,0
40,1,0
40,1,0
41,1,0
42,1,0
43,1,0
43,1,0
43,1,0
42,1,0
41,1,0
39,1,0
39,1,0
40,1,0
40,1,0
38,1,0
37,1,0
39,1,0
39,1,0
39,1,0
0,2,0
