R,G,B
250,250,250
250,250,250
251,250,250
251,250,250
251,250,250
251,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
250,250,250
250,250,250
251,250,250
250,250,250
248,250,250
249,250,250
252,250,250
250,250,250
248,250,250
244,250,250
241,250,250
225,250,250
190,250,250
167,250,250
170,250,250
167,250,250
170,250,250
169,250,250
163,250,250
161,250,250
161,250,250
167,250,250
176,250,250
180,250,250
180,250,250
189,250,250
198,250,250
200,250,250
199,250,250
200,250,250
202,250,250
201,250,250
204,250,250
206,250,250
207,250,250
204,250,250
192,250,250
181,250,250
177,250,250
175,250,250
183,250,250
194,250,250
208,250,250
206,250,250
202,250,250
207,250,250
205,250,250
208,250,250
214,250,250
203,250,250
199,250,250
206,250,250
209,250,250
209,250,250
204,250,250
203,250,250
197,250,250
193,250,250
193,250,250
190,250,250
181,250,250
179,250,250
185,250,250
184,250,250
172,250,250
166,250,250
165,250,250
160,250,250
160,250,250
161,250,250
157,250,250
157,250,250
164,250,250
167,250,250
168,250,250
171,250,250
173,250,250
171,250,250
169,250,250
164,250,250
166,250,250
167,250,250
169,250,250
174,250,250
179,250,250
178,250,250
175,250,250
165,250,250
174,250,250
177,250,250
177,250,250
183,250,250
186,250,250
181,250,250
178,250,250
190,250,250
195,250,250
177,250,250
176,250,250
176,250,250
167,250,250
171,250,250
160,250,250
156,250,250
154,250,250
152,250,250
154,250,250
154,250,250
155,250,250
157,250,250
160,250,250
154,250,250
156,250,250
154,250,250
153,250,250
155,250,250
160,250,250
161,250,250
161,250,250
160,250,250
160,250,250
157,250,250
157,250,250
155,250,250
151,250,250
147,250,250
144,250,250
153,250,250
153,250,250
153,250,250
152,250,250
151,250,250
150,250,250
146,250,250
142,250,250
142,250,250
138,250,250
137,250,250
136,250,250
135,250,250
133,250,250
134,250,250
137,250,250
137,250,250
139,250,250
136,250,250
133,250,250
131,250,250
127,250,250
127,250,250
132,250,250
127,250,250
123,250,250
117,250,250
112,250,250
102,250,250
85,250,250
64,250,250
49,250,250
20,250,250
14,250,250
9,250,250
8,250,250
10,250,250
12,250,250
10,250,250
9,250,250
8,250,250
8,250,250
12,250,250
15,250,250
13,250,250
12,250,250
15,250,250
15,250,250
15,250,250
13,250,250
13,250,250
15,250,250
14,250,250
10,250,250
10,250,250
13,250,250
16,250,250
17,250,250
17,250,250
19,250,250
23,250,250
31,250,250
39,250,250
45,250,250
48,250,250
47,250,250
45,250,250
45,250,250
45,250,250
46,250,250
47,250,250
48,250,250
49,250,250
48,250,250
44,250,250
42,250,250
44,250,250
42,250,250
41,250,250
44,250,250
43,250,250
41,250,250
43,250,250
46,250,250
49,250,250
48,250,250
44,250,250
42,250,250
44,250,250
36,250,250
34,250,250
46,250,250
71,250,250
97,250,250
109,250,250
107,250,250
93,250,250
82,250,250
78,250,250
82,250,250
83,250,250
81,250,250
84,250,250
87,250,250
101,250,250
113,250,250
250,250,250
250,250,250
251,250,250
251,250,250
251,250,250
251,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
252,250,250
250,250,250
250,250,250
251,250,250
250,250,250
248,250,250
248,250,250
251,250,250
251,250,250
249,250,250
245,250,250
242,250,250
225,250,250
190,250,250
168,250,250
171,250,250
168,250,250
170,250,250
168,250,250
163,250,250
161,250,250
161,250,250
168,250,250
177,250,250
181,250,250
180,250,250
188,250,250
198,250,250
200,250,250
198,250,250
200,250,250
201,250,250
202,250,250
205,250,250
206,250,250
206,250,250
203,250,250
192,250,250
181,250,250
177,250,250
176,250,250
183,250,250
195,250,250
207,250,250
207,250,250
205,250,250
211,250,250
208,250,250
216,250,250
216,250,250
189,250,250
167,250,250
169,250,250
184,250,250
203,250,250
211,250,250
221,250,250
219,250,250
211,250,250
205,250,250
201,250,250
197,250,250
193,250,250
192,250,250
192,250,250
182,250,250
176,250,250
176,250,250
171,250,250
169,250,250
166,250,250
159,250,250
155,250,250
163,250,250
167,250,250
167,250,250
169,250,250
170,250,250
169,250,250
169,250,250
171,250,250
174,250,250
175,250,250
175,250,250
176,250,250
178,250,250
177,250,250
174,250,250
168,250,250
173,250,250
174,250,250
176,250,250
182,250,250
186,250,250
183,250,250
182,250,250
188,250,250
194,250,250
183,250,250
181,250,250
178,250,250
172,250,250
177,250,250
174,250,250
168,250,250
164,250,250
162,250,250
160,250,250
158,250,250
157,250,250
158,250,250
161,250,250
158,250,250
157,250,250
156,250,250
153,250,250
154,250,250
158,250,250
159,250,250
158,250,250
155,250,250
156,250,250
156,250,250
154,250,250
153,250,250
150,250,250
149,250,250
146,250,250
156,250,250
156,250,250
153,250,250
151,250,250
152,250,250
151,250,250
148,250,250
145,250,250
138,250,250
138,250,250
138,250,250
141,250,250
142,250,250
140,250,250
137,250,250
138,250,250
136,250,250
138,250,250
139,250,250
137,250,250
136,250,250
136,250,250
134,250,250
129,250,250
122,250,250
110,250,250
94,250,250
78,250,250
62,250,250
46,250,250
30,250,250
19,250,250
11,250,250
9,250,250
9,250,250
9,250,250
10,250,250
12,250,250
13,250,250
12,250,250
12,250,250
10,250,250
12,250,250
14,250,250
14,250,250
16,250,250
18,250,250
17,250,250
14,250,250
12,250,250
13,250,250
15,250,250
15,250,250
12,250,250
13,250,250
16,250,250
16,250,250
16,250,250
16,250,250
18,250,250
23,250,250
30,250,250
38,250,250
43,250,250
47,250,250
47,250,250
46,250,250
46,250,250
46,250,250
48,250,250
49,250,250
50,250,250
48,250,250
47,250,250
43,250,250
41,250,250
43,250,250
41,250,250
40,250,250
43,250,250
39,250,250
39,250,250
39,250,250
43,250,250
45,250,250
45,250,250
43,250,250
43,250,250
43,250,250
37,250,250
32,250,250
36,250,250
53,250,250
75,250,250
94,250,250
107,250,250
99,250,250
90,250,250
86,250,250
87,250,250
86,250,250
86,250,250
87,250,250
89,250,250
101,250,250
115,250,250
250,251,251
250,251,251
251,251,251
251,251,251
251,251,251
251,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
251,251,251
250,251,251
251,251,251
250,251,251
248,251,251
248,251,251
251,251,251
251,251,251
249,251,251
246,251,251
242,251,251
225,251,251
190,251,251
168,251,251
171,251,251
168,251,251
170,251,251
168,251,251
163,251,251
161,251,251
162,251,251
169,251,251
178,251,251
181,251,251
180,251,251
188,251,251
197,251,251
199,251,251
197,251,251
199,251,251
201,251,251
205,251,251
207,251,251
207,251,251
205,251,251
201,251,251
191,251,251
181,251,251
177,251,251
177,251,251
183,251,251
195,251,251
208,251,251
209,251,251
209,251,251
216,251,251
214,251,251
219,251,251
212,251,251
171,251,251
126,251,251
114,251,251
137,251,251
171,251,251
187,251,251
198,251,251
206,251,251
208,251,251
206,251,251
208,251,251
209,251,251
203,251,251
196,251,251
196,251,251
185,251,251
181,251,251
179,251,251
177,251,251
174,251,251
170,251,251
162,251,251
161,251,251
170,251,251
175,251,251
177,251,251
180,251,251
182,251,251
182,251,251
184,251,251
173,251,251
177,251,251
178,251,251
176,251,251
176,251,251
178,251,251
180,251,251
180,251,251
178,251,251
178,251,251
177,251,251
179,251,251
185,251,251
188,251,251
189,251,251
191,251,251
194,251,251
198,251,251
196,251,251
190,251,251
183,251,251
179,251,251
176,251,251
178,251,251
178,251,251
177,251,251
174,251,251
170,251,251
166,251,251
164,251,251
164,251,251
165,251,251
166,251,251
163,251,251
159,251,251
157,251,251
157,251,251
158,251,251
159,251,251
157,251,251
153,251,251
153,251,251
153,251,251
149,251,251
147,251,251
146,251,251
146,251,251
147,251,251
151,251,251
150,251,251
148,251,251
148,251,251
148,251,251
149,251,251
146,251,251
145,251,251
145,251,251
143,251,251
140,251,251
139,251,251
140,251,251
144,251,251
144,251,251
143,251,251
146,251,251
145,251,251
145,251,251
143,251,251
137,251,251
136,251,251
125,251,251
107,251,251
94,251,251
80,251,251
61,251,251
43,251,251
32,251,251
24,251,251
18,251,251
14,251,251
6,251,251
8,251,251
10,251,251
12,251,251
12,251,251
13,251,251
14,251,251
15,251,251
17,251,251
13,251,251
12,251,251
14,251,251
17,251,251
19,251,251
20,251,251
20,251,251
15,251,251
13,251,251
14,251,251
16,251,251
16,251,251
15,251,251
15,251,251
18,251,251
17,251,251
16,251,251
16,251,251
18,251,251
23,251,251
30,251,251
37,251,251
41,251,251
46,251,251
46,251,251
46,251,251
46,251,251
46,251,251
48,251,251
49,251,251
50,251,251
48,251,251
45,251,251
41,251,251
39,251,251
41,251,251
40,251,251
38,251,251
40,251,251
36,251,251
35,251,251
34,251,251
37,251,251
38,251,251
41,251,251
42,251,251
44,251,251
40,251,251
41,251,251
31,251,251
28,251,251
33,251,251
46,251,251
69,251,251
96,251,251
102,251,251
97,251,251
94,251,251
93,251,251
89,251,251
89,251,251
92,251,251
92,251,251
100,251,251
116,251,251
251,251,251
251,251,251
251,251,251
251,251,251
251,251,251
251,251,251
251,251,251
251,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
251,251,251
251,251,251
251,251,251
250,251,251
248,251,251
248,251,251
250,251,251
250,251,251
249,251,251
245,251,251
241,251,251
223,251,251
189,251,251
168,251,251
170,251,251
168,251,251
169,251,251
164,251,251
161,251,251
160,251,251
162,251,251
169,251,251
178,251,251
180,251,251
181,251,251
188,251,251
197,251,251
198,251,251
196,251,251
198,251,251
201,251,251
205,251,251
206,251,251
206,251,251
205,251,251
203,251,251
191,251,251
181,251,251
177,251,251
177,251,251
186,251,251
197,251,251
211,251,251
212,251,251
212,251,251
219,251,251
215,251,251
217,251,251
211,251,251
160,251,251
102,251,251
79,251,251
98,251,251
128,251,251
138,251,251
146,251,251
160,251,251
173,251,251
179,251,251
190,251,251
200,251,251
203,251,251
202,251,251
202,251,251
195,251,251
191,251,251
190,251,251
186,251,251
185,251,251
182,251,251
179,251,251
172,251,251
178,251,251
182,251,251
182,251,251
184,251,251
185,251,251
184,251,251
185,251,251
189,251,251
190,251,251
187,251,251
183,251,251
182,251,251
184,251,251
186,251,251
186,251,251
185,251,251
184,251,251
182,251,251
185,251,251
188,251,251
189,251,251
190,251,251
193,251,251
195,251,251
195,251,251
196,251,251
190,251,251
185,251,251
183,251,251
172,251,251
172,251,251
179,251,251
180,251,251
179,251,251
179,251,251
177,251,251
175,251,251
175,251,251
174,251,251
177,251,251
174,251,251
170,251,251
168,251,251
166,251,251
167,251,251
164,251,251
161,251,251
161,251,251
159,251,251
155,251,251
152,251,251
152,251,251
152,251,251
152,251,251
153,251,251
153,251,251
153,251,251
153,251,251
154,251,251
156,251,251
156,251,251
155,251,251
154,251,251
153,251,251
152,251,251
147,251,251
146,251,251
147,251,251
150,251,251
150,251,251
147,251,251
145,251,251
136,251,251
132,251,251
127,251,251
112,251,251
102,251,251
87,251,251
64,251,251
47,251,251
38,251,251
28,251,251
19,251,251
15,251,251
16,251,251
18,251,251
18,251,251
10,251,251
11,251,251
15,251,251
16,251,251
15,251,251
14,251,251
14,251,251
16,251,251
18,251,251
15,251,251
17,251,251
18,251,251
18,251,251
19,251,251
21,251,251
21,251,251
17,251,251
17,251,251
17,251,251
17,251,251
17,251,251
17,251,251
17,251,251
18,251,251
19,251,251
18,251,251
18,251,251
21,251,251
26,251,251
33,251,251
38,251,251
41,251,251
44,251,251
45,251,251
45,251,251
45,251,251
45,251,251
45,251,251
46,251,251
47,251,251
46,251,251
43,251,251
39,251,251
38,251,251
39,251,251
38,251,251
37,251,251
38,251,251
34,251,251
35,251,251
34,251,251
35,251,251
37,251,251
37,251,251
40,251,251
43,251,251
37,251,251
41,251,251
34,251,251
27,251,251
26,251,251
27,251,251
45,251,251
76,251,251
93,251,251
95,251,251
98,251,251
95,251,251
89,251,251
91,251,251
95,251,251
95,251,251
99,251,251
116,251,251
251,251,251
251,251,251
251,251,251
251,251,251
251,251,251
251,251,251
251,251,251
251,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
252,251,251
253,251,251
252,251,251
251,251,251
251,251,251
249,251,251
