R,G,B
72,72,64
74,72,64
75,72,64
74,72,64
74,72,64
76,72,64
79,72,64
80,72,64
79,72,64
83,72,64
87,72,64
95,72,64
107,72,64
121,72,64
134,72,64
148,72,64
166,72,64
176,72,64
192,72,64
202,72,64
213,72,64
221,72,64
224,72,64
224,72,64
219,72,64
212,72,64
205,72,64
197,72,64
186,72,64
179,72,64
175,72,64
170,72,64
161,72,64
150,72,64
143,72,64
136,72,64
121,72,64
112,72,64
105,72,64
98,72,64
91,72,64
86,72,64
81,72,64
76,72,64
73,72,64
71,72,64
67,72,64
66,72,64
64,72,64
64,72,64
65,72,64
66,72,64
67,72,64
66,72,64
71,72,64
75,72,64
82,72,64
78,72,64
78,72,64
84,72,64
85,72,64
86,72,64
87,72,64
88,72,64
88,72,64
85,72,64
82,72,64
79,72,64
74,72,64
69,72,64
62,72,64
56,72,64
53,72,64
52,72,64
49,72,64
48,72,64
49,72,64
50,72,64
53,72,64
54,72,64
57,72,64
56,72,64
54,72,64
50,72,64
46,72,64
45,72,64
43,72,64
40,72,64
37,72,64
34,72,64
31,72,64
32,72,64
34,72,64
40,72,64
45,72,64
48,72,64
42,72,64
45,72,64
47,72,64
50,72,64
52,72,64
52,72,64
49,72,64
46,72,64
46,72,64
46,72,64
46,72,64
45,72,64
44,72,64
43,72,64
41,72,64
41,72,64
40,72,64
37,72,64
37,72,64
39,72,64
40,72,64
40,72,64
39,72,64
39,72,64
39,72,64
38,72,64
39,72,64
37,72,64
33,72,64
32,72,64
33,72,64
33,72,64
30,72,64
31,72,64
31,72,64
29,72,64
29,72,64
30,72,64
30,72,64
28,72,64
28,72,64
26,72,64
26,72,64
27,72,64
26,72,64
24,72,64
22,72,64
22,72,64
24,72,64
24,72,64
23,72,64
23,72,64
23,72,64
24,72,64
25,72,64
24,72,64
26,72,64
26,72,64
30,72,64
48,72,64
72,72,64
90,72,64
110,72,64
130,72,64
146,72,64
158,72,64
170,72,64
178,72,64
181,72,64
180,72,64
178,72,64
179,72,64
177,72,64
176,72,64
177,72,64
179,72,64
180,72,64
179,72,64
178,72,64
179,72,64
179,72,64
177,72,64
178,72,64
178,72,64
173,72,64
168,72,64
161,72,64
155,72,64
144,72,64
136,72,64
124,72,64
125,72,64
121,72,64
117,72,64
123,72,64
119,72,64
97,72,64
161,72,64
182,72,64
183,72,64
177,72,64
168,72,64
156,72,64
165,72,64
160,72,64
160,72,64
155,72,64
157,72,64
165,72,64
170,72,64
165,72,64
160,72,64
154,72,64
151,72,64
146,72,64
145,72,64
146,72,64
139,72,64
132,72,64
133,72,64
137,72,64
134,72,64
138,72,64
146,72,64
149,72,64
148,72,64
143,72,64
137,72,64
132,72,64
129,72,64
120,72,64
108,72,64
100,72,64
98,72,64
96,72,64
93,72,64
93,72,64
95,72,64
98,72,64
96,72,64
91,72,64
98,72,64
107,72,64
109,72,64
112,72,64
118,72,64
119,72,64
112,72,64
98,72,64
92,72,64
105,72,64
113,72,64
102,72,64
100,72,64
74,75,67
75,75,67
75,75,67
74,75,67
75,75,67
76,75,67
78,75,67
79,75,67
79,75,67
82,75,67
86,75,67
94,75,67
105,75,67
118,75,67
132,75,67
145,75,67
163,75,67
174,75,67
191,75,67
202,75,67
213,75,67
221,75,67
225,75,67
225,75,67
222,75,67
215,75,67
207,75,67
198,75,67
187,75,67
179,75,67
173,75,67
167,75,67
158,75,67
147,75,67
140,75,67
132,75,67
118,75,67
110,75,67
103,75,67
96,75,67
90,75,67
87,75,67
81,75,67
77,75,67
73,75,67
71,75,67
68,75,67
67,75,67
66,75,67
67,75,67
68,75,67
68,75,67
69,75,67
68,75,67
72,75,67
75,75,67
81,75,67
76,75,67
77,75,67
81,75,67
82,75,67
82,75,67
82,75,67
84,75,67
78,75,67
75,75,67
73,75,67
71,75,67
67,75,67
62,75,67
58,75,67
53,75,67
49,75,67
49,75,67
47,75,67
48,75,67
49,75,67
51,75,67
53,75,67
54,75,67
58,75,67
57,75,67
55,75,67
51,75,67
47,75,67
45,75,67
42,75,67
39,75,67
41,75,67
37,75,67
34,75,67
33,75,67
32,75,67
35,75,67
39,75,67
40,75,67
43,75,67
46,75,67
48,75,67
49,75,67
50,75,67
50,75,67
48,75,67
46,75,67
46,75,67
46,75,67
46,75,67
45,75,67
44,75,67
43,75,67
42,75,67
41,75,67
40,75,67
38,75,67
37,75,67
39,75,67
40,75,67
39,75,67
38,75,67
38,75,67
39,75,67
38,75,67
39,75,67
