R,G,B
0,1,0
0,1,0
0,1,0
3,1,0
1,1,0
0,1,0
0,1,0
20,1,0
67,1,0
55,1,0
45,1,0
35,1,0
22,1,0
14,1,0
14,1,0
17,1,0
25,1,0
30,1,0
39,1,0
46,1,0
47,1,0
43,1,0
32,1,0
21,1,0
10,1,0
1,1,0
1,1,0
5,1,0
5,1,0
3,1,0
5,1,0
8,1,0
13,1,0
20,1,0
33,1,0
47,1,0
60,1,0
70,1,0
69,1,0
64,1,0
52,1,0
47,1,0
50,1,0
53,1,0
45,1,0
28,1,0
14,1,0
8,1,0
18,1,0
34,1,0
54,1,0
68,1,0
68,1,0
65,1,0
55,1,0
41,1,0
28,1,0
23,1,0
14,1,0
11,1,0
9,1,0
9,1,0
8,1,0
9,1,0
9,1,0
15,1,0
25,1,0
36,1,0
44,1,0
56,1,0
61,1,0
54,1,0
50,1,0
47,1,0
56,1,0
66,1,0
64,1,0
59,1,0
45,1,0
27,1,0
19,1,0
7,1,0
1,1,0
3,1,0
6,1,0
11,1,0
20,1,0
25,1,0
33,1,0
42,1,0
50,1,0
56,1,0
63,1,0
65,1,0
51,1,0
34,1,0
25,1,0
17,1,0
6,1,0
0,1,0
0,1,0
0,1,0
5,1,0
13,1,0
24,1,0
35,1,0
36,1,0
33,1,0
36,1,0
46,1,0
55,1,0
65,1,0
76,1,0
86,1,0
87,1,0
85,1,0
97,1,0
122,1,0
152,1,0
172,1,0
183,1,0
187,1,0
191,1,0
197,1,0
200,1,0
204,1,0
208,1,0
211,1,0
211,1,0
206,1,0
206,1,0
211,1,0
217,1,0
216,1,0
211,1,0
208,1,0
209,1,0
210,1,0
212,1,0
211,1,0
208,1,0
207,1,0
207,1,0
208,1,0
209,1,0
211,1,0
208,1,0
209,1,0
208,1,0
199,1,0
195,1,0
202,1,0
223,1,0
249,1,0
235,1,0
230,1,0
221,1,0
229,1,0
224,1,0
222,1,0
224,1,0
221,1,0
224,1,0
223,1,0
222,1,0
227,1,0
231,1,0
230,1,0
225,1,0
225,1,0
226,1,0
225,1,0
226,1,0
225,1,0
222,1,0
220,1,0
224,1,0
215,1,0
214,1,0
214,1,0
214,1,0
215,1,0
213,1,0
204,1,0
199,1,0
163,1,0
116,1,0
79,1,0
64,1,0
66,1,0
66,1,0
59,1,0
60,1,0
64,1,0
65,1,0
65,1,0
71,1,0
73,1,0
74,1,0
75,1,0
75,1,0
75,1,0
74,1,0
72,1,0
80,1,0
126,1,0
162,1,0
187,1,0
186,1,0
191,1,0
194,1,0
195,1,0
197,1,0
203,1,0
206,1,0
205,1,0
201,1,0
201,1,0
199,1,0
202,1,0
204,1,0
205,1,0
205,1,0
207,1,0
209,1,0
210,1,0
210,1,0
210,1,0
210,1,0
210,1,0
210,1,0
212,1,0
213,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
221,1,0
222,1,0
226,1,0
227,1,0
229,1,0
230,1,0
228,1,0
228,1,0
228,1,0
228,1,0
227,1,0
227,1,0
0,2,1
