R,G,B
167,171,157
173,171,157
173,171,157
163,171,157
168,171,157
181,171,157
170,171,157
159,171,157
135,171,157
124,171,157
108,171,157
95,171,157
84,171,157
74,171,157
70,171,157
73,171,157
64,171,157
54,171,157
50,171,157
60,171,157
65,171,157
56,171,157
47,171,157
47,171,157
46,171,157
50,171,157
49,171,157
55,171,157
68,171,157
70,171,157
62,171,157
58,171,157
61,171,157
64,171,157
60,171,157
54,171,157
57,171,157
72,171,157
105,171,157
138,171,157
137,171,157
110,171,157
82,171,157
61,171,157
50,171,157
51,171,157
56,171,157
57,171,157
61,171,157
67,171,157
99,171,157
145,171,157
168,171,157
170,171,157
167,171,157
163,171,157
157,171,157
155,171,157
178,171,157
216,171,157
239,171,157
237,171,157
230,171,157
229,171,157
213,171,157
222,171,157
224,171,157
242,171,157
252,171,157
245,171,157
250,171,157
251,171,157
243,171,157
248,171,157
252,171,157
254,171,157
255,171,157
254,171,157
254,171,157
254,171,157
254,171,157
253,171,157
253,171,157
253,171,157
253,171,157
254,171,157
254,171,157
255,171,157
255,171,157
254,171,157
253,171,157
255,171,157
254,171,157
252,171,157
255,171,157
248,171,157
252,171,157
252,171,157
235,171,157
201,171,157
183,171,157
184,171,157
175,171,157
164,171,157
163,171,157
152,171,157
145,171,157
141,171,157
132,171,157
121,171,157
111,171,157
102,171,157
107,171,157
103,171,157
106,171,157
106,171,157
107,171,157
102,171,157
93,171,157
95,171,157
92,171,157
95,171,157
101,171,157
93,171,157
82,171,157
82,171,157
73,171,157
59,171,157
54,171,157
73,171,157
110,171,157
142,171,157
150,171,157
142,171,157
127,171,157
114,171,157
119,171,157
129,171,157
150,171,157
167,171,157
167,171,157
157,171,157
156,171,157
159,171,157
169,171,157
171,171,157
172,171,157
166,171,157
150,171,157
135,171,157
132,171,157
137,171,157
135,171,157
126,171,157
124,171,157
132,171,157
133,171,157
120,171,157
104,171,157
95,171,157
99,171,157
89,171,157
87,171,157
83,171,157
88,171,157
100,171,157
115,171,157
134,171,157
153,171,157
156,171,157
148,171,157
138,171,157
157,171,157
200,171,157
233,171,157
243,171,157
245,171,157
244,171,157
239,171,157
231,171,157
224,171,157
222,171,157
222,171,157
223,171,157
222,171,157
224,171,157
215,171,157
209,171,157
202,171,157
197,171,157
204,171,157
206,171,157
205,171,157
209,171,157
214,171,157
213,171,157
213,171,157
213,171,157
202,171,157
189,171,157
184,171,157
183,171,157
195,171,157
213,171,157
222,171,157
232,171,157
247,171,157
255,171,157
255,171,157
255,171,157
254,171,157
254,171,157
251,171,157
244,171,157
242,171,157
255,171,157
255,171,157
255,171,157
255,171,157
255,171,157
255,171,157
252,171,157
251,171,157
250,171,157
252,171,157
253,171,157
254,171,157
254,171,157
255,171,157
254,171,157
251,171,157
246,171,157
248,171,157
250,171,157
252,171,157
250,171,157
250,171,157
255,171,157
255,171,157
255,171,157
250,171,157
249,171,157
247,171,157
246,171,157
245,171,157
246,171,157
248,171,157
250,171,157
250,171,157
250,171,157
140,151,140
148,151,140
157,151,140
159,151,140
175,151,140
194,151,140
189,151,140
182,151,140
180,151,140
175,151,140
163,151,140
143,151,140
114,151,140
84,151,140
65,151,140
60,151,140
61,151,140
58,151,140
56,151,140
57,151,140
60,151,140
57,151,140
51,151,140
47,151,140
46,151,140
49,151,140
48,151,140
52,151,140
66,151,140
71,151,140
68,151,140
68,151,140
68,151,140
64,151,140
54,151,140
50,151,140
60,151,140
80,151,140
108,151,140
132,151,140
124,151,140
100,151,140
74,151,140
59,151,140
51,151,140
54,151,140
60,151,140
62,151,140
53,151,140
63,151,140
103,151,140
156,151,140
182,151,140
183,151,140
172,151,140
161,151,140
153,151,140
155,151,140
173,151,140
195,151,140
202,151,140
198,151,140
197,151,140
201,151,140
200,151,140
206,151,140
212,151,140
238,151,140
250,151,140
245,151,140
254,151,140
254,151,140
250,151,140
253,151,140
254,151,140
255,151,140
255,151,140
254,151,140
254,151,140
254,151,140
253,151,140
253,151,140
253,151,140
253,151,140
253,151,140
254,151,140
255,151,140
255,151,140
254,151,140
254,151,140
253,151,140
255,151,140
253,151,140
253,151,140
255,151,140
252,151,140
245,151,140
235,151,140
216,151,140
187,151,140
175,151,140
173,151,140
168,151,140
165,151,140
170,151,140
160,151,140
153,151,140
144,151,140
134,151,140
127,151,140
121,151,140
113,151,140
114,151,140
106,151,140
100,151,140
95,151,140
100,151,140
101,151,140
92,151,140
89,151,140
99,151,140
106,151,140
110,151,140
94,151,140
80,151,140
78,151,140
69,151,140
59,151,140
57,151,140
78,151,140
113,151,140
139,151,140
142,151,140
137,151,140
131,151,140
120,151,140
126,151,140
137,151,140
152,151,140
165,151,140
165,151,140
159,151,140
160,151,140
163,151,140
177,151,140
177,151,140
174,151,140
164,151,140
