R,G,B
219,230,187
216,230,187
219,230,187
222,230,187
220,230,187
220,230,187
219,230,187
214,230,187
217,230,187
216,230,187
214,230,187
215,230,187
214,230,187
202,230,187
191,230,187
191,230,187
199,230,187
214,230,187
224,230,187
222,230,187
221,230,187
224,230,187
224,230,187
221,230,187
223,230,187
224,230,187
224,230,187
224,230,187
225,230,187
228,230,187
227,230,187
226,230,187
220,230,187
223,230,187
225,230,187
226,230,187
226,230,187
225,230,187
221,230,187
221,230,187
216,230,187
215,230,187
214,230,187
217,230,187
220,230,187
223,230,187
226,230,187
229,230,187
226,230,187
222,230,187
222,230,187
224,230,187
224,230,187
221,230,187
220,230,187
219,230,187
216,230,187
215,230,187
215,230,187
215,230,187
216,230,187
213,230,187
211,230,187
213,230,187
223,230,187
224,230,187
223,230,187
221,230,187
221,230,187
219,230,187
218,230,187
220,230,187
222,230,187
223,230,187
222,230,187
223,230,187
224,230,187
226,230,187
226,230,187
226,230,187
229,230,187
229,230,187
228,230,187
226,230,187
225,230,187
222,230,187
221,230,187
219,230,187
219,230,187
218,230,187
218,230,187
219,230,187
220,230,187
222,230,187
222,230,187
223,230,187
223,230,187
223,230,187
223,230,187
223,230,187
223,230,187
223,230,187
223,230,187
223,230,187
220,230,187
220,230,187
221,230,187
222,230,187
223,230,187
223,230,187
222,230,187
222,230,187
224,230,187
221,230,187
223,230,187
222,230,187
215,230,187
190,230,187
146,230,187
120,230,187
120,230,187
137,230,187
147,230,187
144,230,187
139,230,187
138,230,187
145,230,187
156,230,187
168,230,187
167,230,187
159,230,187
140,230,187
112,230,187
86,230,187
75,230,187
74,230,187
68,230,187
66,230,187
66,230,187
68,230,187
70,230,187
72,230,187
79,230,187
88,230,187
102,230,187
109,230,187
116,230,187
116,230,187
115,230,187
120,230,187
122,230,187
119,230,187
115,230,187
107,230,187
99,230,187
93,230,187
91,230,187
90,230,187
93,230,187
98,230,187
102,230,187
100,230,187
100,230,187
102,230,187
108,230,187
116,230,187
115,230,187
107,230,187
107,230,187
113,230,187
119,230,187
123,230,187
126,230,187
128,230,187
128,230,187
126,230,187
126,230,187
128,230,187
131,230,187
129,230,187
124,230,187
121,230,187
124,230,187
128,230,187
125,230,187
124,230,187
120,230,187
122,230,187
124,230,187
118,230,187
112,230,187
112,230,187
106,230,187
108,230,187
111,230,187
112,230,187
109,230,187
104,230,187
103,230,187
105,230,187
104,230,187
100,230,187
98,230,187
101,230,187
106,230,187
103,230,187
99,230,187
100,230,187
100,230,187
102,230,187
102,230,187
99,230,187
96,230,187
95,230,187
95,230,187
96,230,187
106,230,187
115,230,187
113,230,187
100,230,187
92,230,187
91,230,187
88,230,187
84,230,187
83,230,187
83,230,187
83,230,187
85,230,187
85,230,187
86,230,187
86,230,187
87,230,187
88,230,187
91,230,187
93,230,187
94,230,187
95,230,187
97,230,187
96,230,187
94,230,187
85,230,187
79,230,187
82,230,187
88,230,187
86,230,187
84,230,187
86,230,187
87,230,187
90,230,187
95,230,187
212,215,173
208,215,173
208,215,173
209,215,173
207,215,173
212,215,173
217,215,173
217,215,173
213,215,173
217,215,173
217,215,173
212,215,173
197,215,173
167,215,173
137,215,173
123,215,173
144,215,173
173,215,173
199,215,173
213,215,173
223,215,173
223,215,173
217,215,173
214,215,173
219,215,173
221,215,173
223,215,173
225,215,173
225,215,173
226,215,173
225,215,173
225,215,173
221,215,173
225,215,173
224,215,173
224,215,173
224,215,173
222,215,173
219,215,173
218,215,173
217,215,173
215,215,173
215,215,173
216,215,173
218,215,173
218,215,173
221,215,173
224,215,173
226,215,173
225,215,173
224,215,173
227,215,173
227,215,173
221,215,173
218,215,173
217,215,173
221,215,173
219,215,173
215,215,173
214,215,173
217,215,173
219,215,173
220,215,173
224,215,173
221,215,173
223,215,173
223,215,173
223,215,173
223,215,173
220,215,173
220,215,173
222,215,173
219,215,173
219,215,173
222,215,173
223,215,173
223,215,173
224,215,173
224,215,173
226,215,173
228,215,173
228,215,173
226,215,173
225,215,173
223,215,173
222,215,173
221,215,173
219,215,173
219,215,173
218,215,173
219,215,173
219,215,173
220,215,173
222,215,173
222,215,173
222,215,173
223,215,173
223,215,173
223,215,173
223,215,173
223,215,173
223,215,173
223,215,173
223,215,173
221,215,173
221,215,173
221,215,173
222,215,173
223,215,173
224,215,173
223,215,173
222,215,173
224,215,173
220,215,173
221,215,173
216,215,173
207,215,173
182,215,173
142,215,173
120,215,173
127,215,173
138,215,173
146,215,173
147,215,173
146,215,173
146,215,173
155,215,173
169,215,173
178,215,173
160,215,173
134,215,173
109,215,173
90,215,173
78,215,173
73,215,173
72,215,173
67,215,173
67,215,173
68,215,173
71,215,173
74,215,173
80,215,173
90,215,173
97,215,173
109,215,173
116,215,173
123,215,173
122,215,173
119,215,173
118,215,173
117,215,173
114,215,173
102,215,173
97,215,173
93,215,173
92,215,173
93,215,173
94,215,173
97,215,173
100,215,173
107,215,173
108,215,173
110,215,173
111,215,173
114,215,173
119,215,173
117,215,173
111,215,173
113,215,173
117,215,173
119,215,173
121,215,173
123,215,173
126,215,173
129,215,173
130,215,173
128,215,173
127,215,173
125,215,173
123,215,173
121,215,173
120,215,173
123,215,173
126,215,173
127,215,173
125,215,173
120,215,173
120,215,173
120,215,173
114,215,173
109,215,173
109,215,173
102,215,173
105,215,173
108,215,173
109,215,173
107,215,173
104,215,173
106,215,173
110,215,173
110,215,173
106,215,173
101,215,173
103,215,173
105,215,173
102,215,173
98,215,173
97,215,173
99,215,173
101,215,173
102,215,173
100,215,173
98,215,173
97,215,173
98,215,173
98,215,173
109,215,173
116,215,173
113,215,173
100,215,173
92,215,173
92,215,173
90,215,173
88,215,173
83,215,173
83,215,173
83,215,173
84,215,173
84,215,173
83,215,173
84,215,173
85,215,173
87,215,173
90,215,173
93,215,173
96,215,173
99,215,173
101,215,173
101,215,173
99,215,173
90,215,173
85,215,173
86,215,173
92,215,173
91,215,173
89,215,173
90,215,173
90,215,173
91,215,173
95,215,173
176,177,136
176,177,136
179,177,136
182,177,136
185,177,136
194,177,136
204,177,136
209,177,136
209,177,136
214,177,136
213,177,136
200,177,136
176,177,136
139,177,136
104,177,136
87,177,136
99,177,136
139,177,136
173,177,136
192,177,136
206,177,136
208,177,136
204,177,136
210,177,136
219,177,136
222,177,136
223,177,136
222,177,136
223,177,136
223,177,136
223,177,136
222,177,136
222,177,136
222,177,136
220,177,136
217,177,136
216,177,136
215,177,136
211,177,136
212,177,136
209,177,136
207,177,136
205,177,136
207,177,136
206,177,136
205,177,136
205,177,136
205,177,136
196,177,136
197,177,136
202,177,136
208,177,136
212,177,136
214,177,136
215,177,136
216,177,136
222,177,136
221,177,136
219,177,136
221,177,136
223,177,136
221,177,136
217,177,136
217,177,136
224,177,136
226,177,136
224,177,136
221,177,136
221,177,136
217,177,136
216,177,136
218,177,136
219,177,136
221,177,136
224,177,136
225,177,136
224,177,136
224,177,136
226,177,136
226,177,136
225,177,136
225,177,136
223,177,136
223,177,136
222,177,136
221,177,136
221,177,136
219,177,136
219,177,136
219,177,136
219,177,136
219,177,136
220,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
222,177,136
223,177,136
224,177,136
224,177,136
224,177,136
223,177,136
225,177,136
223,177,136
222,177,136
213,177,136
199,177,136
175,177,136
140,177,136
123,177,136
131,177,136
139,177,136
145,177,136
148,177,136
150,177,136
153,177,136
165,177,136
180,177,136
164,177,136
138,177,136
106,177,136
85,177,136
76,177,136
72,177,136
69,177,136
69,177,136
70,177,136
69,177,136
68,177,136
70,177,136
79,177,136
94,177,136
107,177,136
114,177,136
121,177,136
123,177,136
123,177,136
119,177,136
112,177,136
107,177,136
105,177,136
105,177,136
99,177,136
95,177,136
93,177,136
95,177,136
100,177,136
103,177,136
107,177,136
111,177,136
110,177,136
113,177,136
116,177,136
118,177,136
120,177,136
122,177,136
121,177,136
118,177,136
122,177,136
123,177,136
123,177,136
121,177,136
122,177,136
124,177,136
128,177,136
131,177,136
132,177,136
128,177,136
123,177,136
121,177,136
123,177,136
126,177,136
129,177,136
130,177,136
128,177,136
125,177,136
118,177,136
115,177,136
114,177,136
108,177,136
104,177,136
105,177,136
100,177,136
103,177,136
106,177,136
106,177,136
104,177,136
104,177,136
109,177,136
115,177,136
116,177,136
110,177,136
103,177,136
103,177,136
105,177,136
102,177,136
97,177,136
97,177,136
99,177,136
101,177,136
102,177,136
101,177,136
101,177,136
102,177,136
103,177,136
103,177,136
113,177,136
118,177,136
112,177,136
100,177,136
93,177,136
93,177,136
93,177,136
92,177,136
85,177,136
84,177,136
84,177,136
84,177,136
83,177,136
81,177,136
82,177,136
84,177,136
85,177,136
89,177,136
94,177,136
98,177,136
102,177,136
105,177,136
105,177,136
105,177,136
94,177,136
88,177,136
88,177,136
92,177,136
92,177,136
90,177,136
89,177,136
89,177,136
92,177,136
94,177,136
130,152,112
139,152,112
152,152,112
164,152,112
175,152,112
186,152,112
198,152,112
203,152,112
208,152,112
212,152,112
204,152,112
188,152,112
163,152,112
131,152,112
102,152,112
91,152,112
91,152,112
129,152,112
150,152,112
152,152,112
159,152,112
161,152,112
168,152,112
191,152,112
216,152,112
219,152,112
222,152,112
221,152,112
217,152,112
220,152,112
222,152,112
223,152,112
222,152,112
220,152,112
213,152,112
209,152,112
207,152,112
206,152,112
205,152,112
206,152,112
201,152,112
199,152,112
197,152,112
197,152,112
196,152,112
193,152,112
191,152,112
190,152,112
180,152,112
180,152,112
181,152,112
183,152,112
184,152,112
185,152,112
189,152,112
191,152,112
199,152,112
203,152,112
211,152,112
220,152,112
227,152,112
228,152,112
226,152,112
228,152,112
220,152,112
221,152,112
220,152,112
219,152,112
220,152,112
220,152,112
218,152,112
219,152,112
221,152,112
221,152,112
223,152,112
222,152,112
223,152,112
224,152,112
224,152,112
223,152,112
222,152,112
222,152,112
221,152,112
221,152,112
221,152,112
221,152,112
221,152,112
219,152,112
219,152,112
219,152,112
219,152,112
219,152,112
220,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
222,152,112
223,152,112
224,152,112
224,152,112
224,152,112
223,152,112
224,152,112
224,152,112
223,152,112
208,152,112
190,152,112
166,152,112
137,152,112
125,152,112
133,152,112
139,152,112
145,152,112
148,152,112
152,152,112
158,152,112
164,152,112
168,152,112
129,152,112
109,152,112
86,152,112
74,152,112
71,152,112
70,152,112
70,152,112
71,152,112
75,152,112
71,152,112
67,152,112
71,152,112
87,152,112
109,152,112
123,152,112
126,152,112
125,152,112
118,152,112
108,152,112
99,152,112
95,152,112
95,152,112
98,152,112
104,152,112
110,152,112
105,152,112
102,152,112
102,152,112
107,152,112
111,152,112
115,152,112
119,152,112
112,152,112
114,152,112
115,152,112
116,152,112
121,152,112
123,152,112
125,152,112
126,152,112
129,152,112
129,152,112
128,152,112
125,152,112
124,152,112
124,152,112
126,152,112
128,152,112
132,152,112
127,152,112
124,152,112
124,152,112
126,152,112
129,152,112
131,152,112
131,152,112
124,152,112
120,152,112
113,152,112
109,152,112
107,152,112
103,152,112
100,152,112
101,152,112
102,152,112
106,152,112
109,152,112
108,152,112
104,152,112
105,152,112
110,152,112
116,152,112
117,152,112
111,152,112
103,152,112
101,152,112
104,152,112
103,152,112
100,152,112
100,152,112
100,152,112
103,152,112
104,152,112
104,152,112
106,152,112
109,152,112
110,152,112
109,152,112
116,152,112
118,152,112
111,152,112
100,152,112
95,152,112
94,152,112
93,152,112
93,152,112
87,152,112
85,152,112
85,152,112
86,152,112
83,152,112
81,152,112
82,152,112
85,152,112
84,152,112
88,152,112
93,152,112
98,152,112
102,152,112
104,152,112
105,152,112
105,152,112
99,152,112
93,152,112
91,152,112
92,152,112
92,152,112
89,152,112
87,152,112
87,152,112
91,152,112
92,152,112
155,182,142
167,182,142
181,182,142
193,182,142
201,182,142
207,182,142
212,182,142
212,182,142
208,182,142
209,182,142
200,182,142
182,182,142
158,182,142
124,182,142
99,182,142
91,182,142
107,182,142
144,182,142
151,182,142
131,182,142
119,182,142
112,182,142
124,182,142
156,182,142
191,182,142
200,182,142
208,182,142
213,182,142
215,182,142
218,182,142
222,182,142
225,182,142
226,182,142
221,182,142
211,182,142
206,182,142
205,182,142
205,182,142
207,182,142
209,182,142
207,182,142
204,182,142
201,182,142
201,182,142
199,182,142
195,182,142
192,182,142
190,182,142
186,182,142
185,182,142
181,182,142
178,182,142
173,182,142
171,182,142
170,182,142
169,182,142
173,182,142
176,182,142
182,182,142
191,182,142
202,182,142
209,182,142
219,182,142
228,182,142
217,182,142
219,182,142
219,182,142
222,182,142
225,182,142
224,182,142
220,182,142
219,182,142
223,182,142
222,182,142
220,182,142
218,182,142
219,182,142
221,182,142
221,182,142
220,182,142
218,182,142
218,182,142
219,182,142
219,182,142
219,182,142
219,182,142
221,182,142
221,182,142
221,182,142
221,182,142
221,182,142
221,182,142
222,182,142
220,182,142
220,182,142
220,182,142
222,182,142
222,182,142
222,182,142
222,182,142
222,182,142
222,182,142
222,182,142
222,182,142
222,182,142
222,182,142
222,182,142
223,182,142
224,182,142
224,182,142
224,182,142
223,182,142
220,182,142
221,182,142
219,182,142
201,182,142
180,182,142
158,182,142
133,182,142
125,182,142
137,182,142
141,182,142
146,182,142
151,182,142
160,182,142
163,182,142
150,182,142
132,182,142
101,182,142
86,182,142
72,182,142
67,182,142
68,182,142
68,182,142
70,182,142
74,182,142
71,182,142
71,182,142
73,182,142
84,182,142
105,182,142
123,182,142
126,182,142
120,182,142
110,182,142
101,182,142
88,182,142
82,182,142
89,182,142
97,182,142
106,182,142
115,182,142
124,182,142
118,182,142
114,182,142
113,182,142
116,182,142
116,182,142
116,182,142
117,182,142
117,182,142
116,182,142
112,182,142
111,182,142
117,182,142
120,182,142
123,182,142
128,182,142
131,182,142
129,182,142
126,182,142
124,182,142
123,182,142
123,182,142
125,182,142
127,182,142
130,182,142
129,182,142
127,182,142
126,182,142
126,182,142
125,182,142
121,182,142
119,182,142
117,182,142
113,182,142
107,182,142
105,182,142
102,182,142
100,182,142
100,182,142
100,182,142
103,182,142
108,182,142
112,182,142
111,182,142
108,182,142
108,182,142
112,182,142
116,182,142
116,182,142
110,182,142
101,182,142
98,182,142
102,182,142
104,182,142
103,182,142
104,182,142
104,182,142
107,182,142
109,182,142
110,182,142
112,182,142
116,182,142
116,182,142
113,182,142
116,182,142
115,182,142
108,182,142
100,182,142
96,182,142
93,182,142
91,182,142
91,182,142
85,182,142
85,182,142
85,182,142
86,182,142
84,182,142
80,182,142
82,182,142
86,182,142
86,182,142
88,182,142
93,182,142
97,182,142
99,182,142
101,182,142
102,182,142
103,182,142
106,182,142
101,182,142
95,182,142
93,182,142
92,182,142
89,182,142
87,182,142
88,182,142
92,182,142
92,182,142
190,188,151
199,188,151
206,188,151
211,188,151
215,188,151
214,188,151
210,188,151
208,188,151
209,188,151
207,188,151
197,188,151
180,188,151
154,188,151
120,188,151
96,188,151
92,188,151
121,188,151
160,188,151
165,188,151
132,188,151
104,188,151
87,188,151
94,188,151
120,188,151
153,188,151
169,188,151
188,188,151
202,188,151
212,188,151
217,188,151
223,188,151
226,188,151
229,188,151
223,188,151
215,188,151
210,188,151
213,188,151
213,188,151
215,188,151
219,188,151
216,188,151
213,188,151
210,188,151
209,188,151
207,188,151
204,188,151
201,188,151
199,188,151
190,188,151
190,188,151
190,188,151
189,188,151
184,188,151
179,188,151
174,188,151
171,188,151
168,188,151
168,188,151
166,188,151
168,188,151
173,188,151
178,188,151
187,188,151
197,188,151
199,188,151
204,188,151
208,188,151
214,188,151
221,188,151
223,188,151
223,188,151
222,188,151
223,188,151
223,188,151
221,188,151
219,188,151
220,188,151
223,188,151
224,188,151
222,188,151
216,188,151
216,188,151
216,188,151
218,188,151
219,188,151
219,188,151
221,188,151
221,188,151
221,188,151
221,188,151
221,188,151
221,188,151
222,188,151
220,188,151
220,188,151
220,188,151
222,188,151
222,188,151
222,188,151
222,188,151
222,188,151
222,188,151
222,188,151
222,188,151
221,188,151
221,188,151
222,188,151
222,188,151
223,188,151
224,188,151
223,188,151
223,188,151
223,188,151
222,188,151
216,188,151
194,188,151
171,188,151
153,188,151
135,188,151
131,188,151
144,188,151
146,188,151
151,188,151
157,188,151
163,188,151
157,188,151
127,188,151
94,188,151
83,188,151
73,188,151
66,188,151
67,188,151
69,188,151
68,188,151
67,188,151
70,188,151
70,188,151
78,188,151
90,188,151
105,188,151
120,188,151
124,188,151
115,188,151
102,188,151
88,188,151
87,188,151
84,188,151
87,188,151
103,188,151
116,188,151
124,188,151
132,188,151
133,188,151
129,188,151
127,188,151
127,188,151
128,188,151
123,188,151
117,188,151
114,188,151
123,188,151
120,188,151
112,188,151
111,188,151
115,188,151
116,188,151
118,188,151
125,188,151
132,188,151
128,188,151
122,188,151
120,188,151
120,188,151
123,188,151
127,188,151
131,188,151
133,188,151
133,188,151
132,188,151
129,188,151
125,188,151
118,188,151
111,188,151
106,188,151
109,188,151
104,188,151
104,188,151
104,188,151
102,188,151
102,188,151
104,188,151
103,188,151
103,188,151
109,188,151
114,188,151
114,188,151
112,188,151
112,188,151
115,188,151
118,188,151
116,188,151
110,188,151
101,188,151
97,188,151
101,188,151
104,188,151
106,188,151
109,188,151
110,188,151
114,188,151
116,188,151
116,188,151
118,188,151
120,188,151
119,188,151
114,188,151
113,188,151
109,188,151
102,188,151
97,188,151
95,188,151
91,188,151
88,188,151
88,188,151
84,188,151
83,188,151
85,188,151
87,188,151
84,188,151
79,188,151
81,188,151
86,188,151
88,188,151
90,188,151
92,188,151
95,188,151
97,188,151
98,188,151
100,188,151
103,188,151
107,188,151
103,188,151
95,188,151
