R,G,B
0,0,2
1,0,2
1,0,2
1,0,2
1,0,2
1,0,2
1,0,2
0,0,2
0,0,2
0,0,2
0,0,2
1,0,2
3,0,2
30,0,2
43,0,2
36,0,2
33,0,2
37,0,2
42,0,2
53,0,2
65,0,2
77,0,2
88,0,2
97,0,2
103,0,2
113,0,2
124,0,2
131,0,2
138,0,2
143,0,2
148,0,2
150,0,2
149,0,2
150,0,2
151,0,2
151,0,2
151,0,2
152,0,2
153,0,2
153,0,2
154,0,2
152,0,2
151,0,2
149,0,2
147,0,2
146,0,2
145,0,2
145,0,2
143,0,2
142,0,2
143,0,2
144,0,2
146,0,2
147,0,2
147,0,2
145,0,2
148,0,2
147,0,2
148,0,2
146,0,2
144,0,2
139,0,2
121,0,2
97,0,2
65,0,2
45,0,2
43,0,2
54,0,2
75,0,2
94,0,2
108,0,2
120,0,2
127,0,2
136,0,2
144,0,2
147,0,2
148,0,2
149,0,2
148,0,2
147,0,2
144,0,2
131,0,2
124,0,2
119,0,2
105,0,2
70,0,2
32,0,2
25,0,2
21,0,2
28,0,2
32,0,2
32,0,2
38,0,2
51,0,2
50,0,2
34,0,2
27,0,2
19,0,2
13,0,2
9,0,2
3,0,2
4,0,2
14,0,2
24,0,2
27,0,2
69,0,2
110,0,2
108,0,2
71,0,2
38,0,2
22,0,2
13,0,2
12,0,2
21,0,2
66,0,2
88,0,2
93,0,2
83,0,2
69,0,2
46,0,2
37,0,2
20,0,2
12,0,2
20,0,2
22,0,2
13,0,2
16,0,2
28,0,2
22,0,2
16,0,2
15,0,2
18,0,2
18,0,2
21,0,2
23,0,2
21,0,2
12,0,2
24,0,2
43,0,2
72,0,2
72,0,2
36,0,2
20,0,2
28,0,2
34,0,2
34,0,2
49,0,2
31,0,2
10,0,2
1,0,2
5,0,2
2,0,2
14,0,2
29,0,2
29,0,2
62,0,2
111,0,2
175,0,2
201,0,2
184,0,2
180,0,2
181,0,2
186,0,2
194,0,2
205,0,2
208,0,2
205,0,2
201,0,2
198,0,2
197,0,2
193,0,2
190,0,2
186,0,2
183,0,2
182,0,2
184,0,2
182,0,2
179,0,2
174,0,2
171,0,2
163,0,2
148,0,2
126,0,2
110,0,2
100,0,2
104,0,2
109,0,2
110,0,2
105,0,2
105,0,2
107,0,2
108,0,2
108,0,2
102,0,2
108,0,2
108,0,2
113,0,2
113,0,2
100,0,2
102,0,2
76,0,2
54,0,2
28,0,2
13,0,2
11,0,2
5,0,2
0,0,2
0,0,2
3,0,2
3,0,2
3,0,2
3,0,2
2,0,2
2,0,2
2,0,2
2,0,2
2,0,2
1,0,2
2,0,2
2,0,2
2,0,2
9,0,2
17,0,2
18,0,2
5,0,2
4,0,2
10,0,2
11,0,2
14,0,2
17,0,2
15,0,2
19,0,2
28,0,2
35,0,2
38,0,2
24,0,2
39,0,2
93,0,2
151,0,2
203,0,2
213,0,2
205,0,2
189,0,2
178,0,2
186,0,2
202,0,2
206,0,2
199,0,2
198,0,2
198,0,2
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
3,0,0
30,0,0
43,0,0
38,0,0
35,0,0
38,0,0
44,0,0
52,0,0
64,0,0
76,0,0
87,0,0
97,0,0
103,0,0
113,0,0
124,0,0
132,0,0
137,0,0
143,0,0
