R,G,B
79,44,42
79,44,42
81,44,42
81,44,42
81,44,42
81,44,42
81,44,42
81,44,42
81,44,42
81,44,42
81,44,42
82,44,42
82,44,42
82,44,42
83,44,42
84,44,42
80,44,42
80,44,42
80,44,42
80,44,42
80,44,42
80,44,42
81,44,42
82,44,42
82,44,42
81,44,42
80,44,42
79,44,42
79,44,42
79,44,42
80,44,42
80,44,42
75,44,42
73,44,42
73,44,42
73,44,42
73,44,42
72,44,42
73,44,42
74,44,42
72,44,42
73,44,42
73,44,42
73,44,42
73,44,42
73,44,42
73,44,42
74,44,42
73,44,42
73,44,42
74,44,42
75,44,42
77,44,42
78,44,42
79,44,42
79,44,42
80,44,42
80,44,42
81,44,42
82,44,42
84,44,42
85,44,42
86,44,42
86,44,42
85,44,42
91,44,42
95,44,42
96,44,42
99,44,42
99,44,42
99,44,42
100,44,42
101,44,42
102,44,42
103,44,42
107,44,42
114,44,42
119,44,42
125,44,42
130,44,42
137,44,42
141,44,42
147,44,42
153,44,42
160,44,42
167,44,42
172,44,42
177,44,42
183,44,42
187,44,42
190,44,42
193,44,42
197,44,42
203,44,42
206,44,42
206,44,42
212,44,42
213,44,42
216,44,42
221,44,42
222,44,42
223,44,42
224,44,42
228,44,42
229,44,42
232,44,42
234,44,42
234,44,42
233,44,42
234,44,42
233,44,42
232,44,42
238,44,42
237,44,42
237,44,42
238,44,42
241,44,42
241,44,42
243,44,42
245,44,42
245,44,42
247,44,42
246,44,42
248,44,42
248,44,42
248,44,42
248,44,42
247,44,42
247,44,42
247,44,42
244,44,42
242,44,42
241,44,42
238,44,42
239,44,42
240,44,42
237,44,42
239,44,42
241,44,42
234,44,42
228,44,42
237,44,42
239,44,42
228,44,42
185,44,42
201,44,42
238,44,42
237,44,42
184,44,42
134,44,42
117,44,42
106,44,42
79,44,42
65,44,42
73,44,42
90,44,42
91,44,42
95,44,42
128,44,42
164,44,42
199,44,42
215,44,42
231,44,42
238,44,42
243,44,42
249,44,42
255,44,42
255,44,42
255,44,42
249,44,42
243,44,42
238,44,42
221,44,42
207,44,42
204,44,42
205,44,42
194,44,42
173,44,42
145,44,42
146,44,42
181,44,42
213,44,42
232,44,42
248,44,42
255,44,42
243,44,42
255,44,42
216,44,42
174,44,42
142,44,42
183,44,42
224,44,42
246,44,42
251,44,42
251,44,42
243,44,42
224,44,42
218,44,42
219,44,42
205,44,42
187,44,42
195,44,42
216,44,42
226,44,42
237,44,42
252,44,42
246,44,42
246,44,42
239,44,42
237,44,42
235,44,42
232,44,42
231,44,42
229,44,42
228,44,42
226,44,42
223,44,42
223,44,42
222,44,42
222,44,42
223,44,42
223,44,42
224,44,42
224,44,42
217,44,42
216,44,42
216,44,42
217,44,42
217,44,42
216,44,42
218,44,42
218,44,42
217,44,42
216,44,42
218,44,42
218,44,42
219,44,42
219,44,42
217,44,42
216,44,42
219,44,42
219,44,42
218,44,42
218,44,42
217,44,42
216,44,42
216,44,42
215,44,42
215,44,42
215,44,42
80,45,43
80,45,43
82,45,43
82,45,43
82,45,43
82,45,43
82,45,43
82,45,43
82,45,43
82,45,43
82,45,43
83,45,43
82,45,43
82,45,43
83,45,43
84,45,43
80,45,43
80,45,43
81,45,43
80,45,43
80,45,43
80,45,43
81,45,43
82,45,43
82,45,43
81,45,43
80,45,43
79,45,43
79,45,43
79,45,43
79,45,43
80,45,43
75,45,43
75,45,43
73,45,43
73,45,43
73,45,43
72,45,43
73,45,43
74,45,43
72,45,43
73,45,43
73,45,43
73,45,43
73,45,43
73,45,43
73,45,43
74,45,43
73,45,43
73,45,43
74,45,43
77,45,43
78,45,43
80,45,43
78,45,43
79,45,43
80,45,43
80,45,43
82,45,43
82,45,43
84,45,43
84,45,43
86,45,43
87,45,43
85,45,43
90,45,43
94,45,43
96,45,43
99,45,43
99,45,43
99,45,43
100,45,43
101,45,43
102,45,43
103,45,43
107,45,43
114,45,43
119,45,43
125,45,43
130,45,43
137,45,43
141,45,43
147,45,43
153,45,43
160,45,43
167,45,43
172,45,43
177,45,43
183,45,43
187,45,43
190,45,43
193,45,43
197,45,43
203,45,43
206,45,43
206,45,43
212,45,43
213,45,43
216,45,43
221,45,43
222,45,43
223,45,43
224,45,43
228,45,43
229,45,43
232,45,43
234,45,43
235,45,43
233,45,43
234,45,43
233,45,43
233,45,43
238,45,43
237,45,43
237,45,43
238,45,43
241,45,43
241,45,43
243,45,43
245,45,43
245,45,43
247,45,43
246,45,43
248,45,43
248,45,43
249,45,43
248,45,43
247,45,43
247,45,43
247,45,43
244,45,43
242,45,43
241,45,43
240,45,43
239,45,43
240,45,43
238,45,43
239,45,43
242,45,43
233,45,43
227,45,43
231,45,43
232,45,43
224,45,43
195,45,43
195,45,43
223,45,43
230,45,43
217,45,43
162,45,43
137,45,43
127,45,43
116,45,43
100,45,43
92,45,43
90,45,43
87,45,43
89,45,43
106,45,43
125,45,43
161,45,43
188,45,43
215,45,43
227,45,43
233,45,43
241,45,43
251,45,43
254,45,43
253,45,43
241,45,43
236,45,43
227,45,43
208,45,43
197,45,43
199,45,43
202,45,43
197,45,43
175,45,43
159,45,43
167,45,43
193,45,43
229,45,43
250,45,43
252,45,43
234,45,43
210,45,43
211,45,43
184,45,43
160,45,43
134,45,43
175,45,43
214,45,43
234,45,43
242,45,43
246,45,43
243,45,43
227,45,43
219,45,43
219,45,43
208,45,43
199,45,43
203,45,43
220,45,43
228,45,43
239,45,43
249,45,43
244,45,43
243,45,43
239,45,43
237,45,43
235,45,43
232,45,43
229,45,43
229,45,43
228,45,43
226,45,43
223,45,43
223,45,43
223,45,43
222,45,43
224,45,43
224,45,43
224,45,43
224,45,43
219,45,43
218,45,43
218,45,43
218,45,43
217,45,43
218,45,43
219,45,43
219,45,43
218,45,43
220,45,43
219,45,43
219,45,43
219,45,43
218,45,43
217,45,43
216,45,43
218,45,43
218,45,43
217,45,43
217,45,43
216,45,43
215,45,43
215,45,43
214,45,43
214,45,43
214,45,43
82,46,45
82,46,45
84,46,45
84,46,45
84,46,45
84,46,45
84,46,45
84,46,45
84,46,45
84,46,45
84,46,45
84,46,45
83,46,45
82,46,45
83,46,45
83,46,45
80,46,45
81,46,45
81,46,45
80,46,45
80,46,45
80,46,45
81,46,45
82,46,45
82,46,45
81,46,45
79,46,45
78,46,45
77,46,45
78,46,45
78,46,45
78,46,45
74,46,45
75,46,45
75,46,45
73,46,45
73,46,45
73,46,45
73,46,45
74,46,45
72,46,45
72,46,45
73,46,45
72,46,45
72,46,45
73,46,45
74,46,45
74,46,45
73,46,45
73,46,45
76,46,45
77,46,45
78,46,45
79,46,45
78,46,45
79,46,45
79,46,45
79,46,45
81,46,45
82,46,45
83,46,45
84,46,45
85,46,45
87,46,45
84,46,45
89,46,45
93,46,45
96,46,45
98,46,45
99,46,45
100,46,45
101,46,45
101,46,45
102,46,45
103,46,45
107,46,45
114,46,45
119,46,45
125,46,45
130,46,45
137,46,45
141,46,45
147,46,45
153,46,45
160,46,45
167,46,45
172,46,45
177,46,45
183,46,45
187,46,45
190,46,45
193,46,45
197,46,45
203,46,45
206,46,45
206,46,45
212,46,45
213,46,45
216,46,45
221,46,45
222,46,45
223,46,45
224,46,45
228,46,45
230,46,45
233,46,45
234,46,45
235,46,45
234,46,45
234,46,45
233,46,45
233,46,45
238,46,45
237,46,45
237,46,45
238,46,45
241,46,45
241,46,45
243,46,45
245,46,45
245,46,45
247,46,45
247,46,45
248,46,45
248,46,45
249,46,45
248,46,45
248,46,45
248,46,45
247,46,45
245,46,45
242,46,45
241,46,45
240,46,45
240,46,45
240,46,45
238,46,45
241,46,45
243,46,45
236,46,45
227,46,45
226,46,45
226,46,45
222,46,45
209,46,45
195,46,45
202,46,45
213,46,45
239,46,45
188,46,45
158,46,45
150,46,45
166,46,45
154,46,45
131,46,45
106,46,45
98,46,45
97,46,45
94,46,45
93,46,45
122,46,45
156,46,45
193,46,45
212,46,45
221,46,45
231,46,45
235,46,45
236,46,45
238,46,45
233,46,45
228,46,45
215,46,45
193,46,45
180,46,45
183,46,45
186,46,45
195,46,45
179,46,45
168,46,45
173,46,45
194,46,45
222,46,45
232,46,45
229,46,45
204,46,45
182,46,45
185,46,45
173,46,45
