R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
165,0,0
250,0,0
249,0,0
251,0,0
253,0,0
253,0,0
253,0,0
251,0,0
235,0,0
184,0,0
123,0,0
85,0,0
61,0,0
48,0,0
36,0,0
32,0,0
32,0,0
29,0,0
20,0,0
14,0,0
12,0,0
9,0,0
4,0,0
2,0,0
1,0,0
1,0,0
3,0,0
2,0,0
2,0,0
1,0,0
1,0,0
8,0,0
20,0,0
36,0,0
50,0,0
65,0,0
83,0,0
98,0,0
111,0,0
119,0,0
127,0,0
131,0,0
138,0,0
145,0,0
144,0,0
139,0,0
138,0,0
137,0,0
137,0,0
138,0,0
140,0,0
142,0,0
143,0,0
143,0,0
142,0,0
145,0,0
147,0,0
151,0,0
156,0,0
158,0,0
157,0,0
157,0,0
159,0,0
154,0,0
136,0,0
111,0,0
92,0,0
78,0,0
60,0,0
44,0,0
31,0,0
26,0,0
22,0,0
36,0,0
63,0,0
96,0,0
113,0,0
99,0,0
87,0,0
83,0,0
69,0,0
55,0,0
33,0,0
34,0,0
63,0,0
67,0,0
78,0,0
88,0,0
101,0,0
110,0,0
120,0,0
139,0,0
158,0,0
169,0,0
170,0,0
171,0,0
171,0,0
169,0,0
170,0,0
174,0,0
178,0,0
183,0,0
189,0,0
191,0,0
191,0,0
190,0,0
192,0,0
196,0,0
199,0,0
202,0,0
200,0,0
198,0,0
192,0,0
189,0,0
190,0,0
194,0,0
189,0,0
178,0,0
169,0,0
160,0,0
150,0,0
136,0,0
118,0,0
109,0,0
114,0,0
119,0,0
133,0,0
132,0,0
128,0,0
124,0,0
130,0,0
136,0,0
139,0,0
139,0,0
134,0,0
135,0,0
129,0,0
118,0,0
107,0,0
99,0,0
93,0,0
88,0,0
