R,G,B
23,28,22
23,28,22
23,28,22
23,28,22
23,28,22
23,28,22
23,28,22
23,28,22
21,28,22
23,28,22
27,28,22
30,28,22
32,28,22
33,28,22
32,28,22
32,28,22
30,28,22
30,28,22
30,28,22
31,28,22
34,28,22
38,28,22
43,28,22
44,28,22
42,28,22
42,28,22
42,28,22
42,28,22
43,28,22
43,28,22
43,28,22
43,28,22
39,28,22
39,28,22
40,28,22
41,28,22
41,28,22
41,28,22
41,28,22
41,28,22
38,28,22
40,28,22
42,28,22
43,28,22
43,28,22
43,28,22
43,28,22
43,28,22
41,28,22
41,28,22
41,28,22
41,28,22
40,28,22
38,28,22
37,28,22
36,28,22
35,28,22
35,28,22
34,28,22
33,28,22
32,28,22
32,28,22
31,28,22
31,28,22
28,28,22
28,28,22
28,28,22
28,28,22
28,28,22
27,28,22
27,28,22
27,28,22
26,28,22
26,28,22
27,28,22
29,28,22
30,28,22
28,28,22
27,28,22
28,28,22
27,28,22
26,28,22
25,28,22
23,28,22
23,28,22
25,28,22
26,28,22
27,28,22
27,28,22
27,28,22
27,28,22
27,28,22
27,28,22
27,28,22
26,28,22
26,28,22
23,28,22
22,28,22
22,28,22
22,28,22
21,28,22
21,28,22
21,28,22
21,28,22
21,28,22
21,28,22
22,28,22
24,28,22
25,28,22
24,28,22
25,28,22
24,28,22
23,28,22
22,28,22
21,28,22
21,28,22
21,28,22
22,28,22
23,28,22
23,28,22
24,28,22
24,28,22
24,28,22
23,28,22
23,28,22
22,28,22
21,28,22
21,28,22
19,28,22
19,28,22
19,28,22
17,28,22
17,28,22
18,28,22
19,28,22
18,28,22
18,28,22
16,28,22
16,28,22
17,28,22
17,28,22
16,28,22
15,28,22
16,28,22
14,28,22
15,28,22
16,28,22
17,28,22
17,28,22
16,28,22
17,28,22
16,28,22
16,28,22
16,28,22
17,28,22
17,28,22
19,28,22
21,28,22
22,28,22
23,28,22
18,28,22
18,28,22
18,28,22
18,28,22
17,28,22
17,28,22
17,28,22
17,28,22
17,28,22
17,28,22
15,28,22
15,28,22
15,28,22
14,28,22
14,28,22
14,28,22
14,28,22
14,28,22
14,28,22
14,28,22
14,28,22
14,28,22
