R,G,B
0,5,2
0,5,2
0,5,2
3,5,2
3,5,2
75,5,2
56,5,2
32,5,2
27,5,2
24,5,2
19,5,2
19,5,2
20,5,2
20,5,2
25,5,2
31,5,2
26,5,2
25,5,2
24,5,2
21,5,2
18,5,2
18,5,2
17,5,2
15,5,2
15,5,2
16,5,2
16,5,2
19,5,2
20,5,2
22,5,2
19,5,2
16,5,2
21,5,2
21,5,2
23,5,2
23,5,2
22,5,2
23,5,2
26,5,2
31,5,2
43,5,2
63,5,2
82,5,2
100,5,2
124,5,2
140,5,2
155,5,2
173,5,2
177,5,2
187,5,2
188,5,2
184,5,2
189,5,2
197,5,2
205,5,2
212,5,2
210,5,2
204,5,2
195,5,2
192,5,2
192,5,2
189,5,2
174,5,2
156,5,2
161,5,2
130,5,2
98,5,2
60,5,2
34,5,2
25,5,2
19,5,2
15,5,2
15,5,2
15,5,2
17,5,2
19,5,2
19,5,2
18,5,2
18,5,2
22,5,2
19,5,2
15,5,2
16,5,2
17,5,2
17,5,2
17,5,2
19,5,2
22,5,2
15,5,2
22,5,2
23,5,2
22,5,2
24,5,2
28,5,2
28,5,2
22,5,2
26,5,2
23,5,2
20,5,2
29,5,2
79,5,2
121,5,2
162,5,2
187,5,2
198,5,2
202,5,2
202,5,2
196,5,2
190,5,2
190,5,2
192,5,2
196,5,2
196,5,2
183,5,2
165,5,2
147,5,2
124,5,2
93,5,2
56,5,2
31,5,2
24,5,2
20,5,2
23,5,2
26,5,2
25,5,2
26,5,2
29,5,2
26,5,2
25,5,2
25,5,2
30,5,2
31,5,2
29,5,2
33,5,2
44,5,2
47,5,2
52,5,2
45,5,2
41,5,2
36,5,2
23,5,2
28,5,2
41,5,2
35,5,2
38,5,2
35,5,2
30,5,2
29,5,2
25,5,2
18,5,2
19,5,2
30,5,2
48,5,2
50,5,2
46,5,2
39,5,2
49,5,2
57,5,2
39,5,2
20,5,2
85,5,2
148,5,2
203,5,2
235,5,2
249,5,2
248,5,2
239,5,2
226,5,2
222,5,2
230,5,2
234,5,2
236,5,2
239,5,2
240,5,2
235,5,2
236,5,2
232,5,2
232,5,2
232,5,2
234,5,2
234,5,2
234,5,2
234,5,2
234,5,2
234,5,2
234,5,2
234,5,2
236,5,2
237,5,2
238,5,2
237,5,2
236,5,2
241,5,2
241,5,2
241,5,2
240,5,2
240,5,2
240,5,2
240,5,2
241,5,2
242,5,2
242,5,2
245,5,2
246,5,2
246,5,2
246,5,2
246,5,2
246,5,2
248,5,2
246,5,2
245,5,2
244,5,2
243,5,2
243,5,2
243,5,2
