R,G,B
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
67,0,0
199,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
193,0,0
192,0,0
192,0,0
193,0,0
194,0,0
194,0,0
197,0,0
198,0,0
197,0,0
196,0,0
196,0,0
195,0,0
195,0,0
194,0,0
194,0,0
194,0,0
195,0,0
195,0,0
195,0,0
196,0,0
196,0,0
196,0,0
199,0,0
197,0,0
196,0,0
196,0,0
196,0,0
196,0,0
195,0,0
194,0,0
195,0,0
194,0,0
194,0,0
194,0,0
194,0,0
192,0,0
193,0,0
193,0,0
195,0,0
195,0,0
195,0,0
196,0,0
196,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
198,0,0
198,0,0
198,0,0
198,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
197,0,0
197,0,0
197,0,0
196,0,0
197,0,0
197,0,0
195,0,0
196,0,0
198,0,0
198,0,0
198,0,0
198,0,0
198,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
196,0,0
196,0,0
196,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
198,0,0
198,0,0
198,0,0
198,0,0
198,0,0
200,0,0
200,0,0
200,0,0
199,0,0
199,0,0
199,0,0
199,0,0
200,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
202,0,0
202,0,0
202,0,0
201,0,0
201,0,0
201,0,0
201,0,0
200,0,0
200,0,0
200,0,0
200,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
200,0,0
200,0,0
201,0,0
201,0,0
201,0,0
201,0,0
201,0,0
201,0,0
203,0,0
203,0,0
203,0,0
204,0,0
205,0,0
205,0,0
204,0,0
203,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
198,0,0
198,0,0
200,0,0
202,0,0
202,0,0
199,0,0
198,0,0
198,0,0
199,0,0
195,0,0
196,0,0
196,0,0
197,0,0
198,0,0
198,0,0
198,0,0
198,0,0
200,0,0
199,0,0
198,0,0
197,0,0
197,0,0
197,0,0
198,0,0
198,0,0
200,0,0
200,0,0
200,0,0
200,0,0
199,0,0
199,0,0
199,0,0
199,0,0
200,0,0
199,0,0
198,0,0
197,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
201,0,0
202,0,0
202,0,0
200,0,0
199,0,0
198,0,0
198,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
201,0,0
201,0,0
200,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
199,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
65,0,0
195,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
190,0,0
189,0,0
189,0,0
188,0,0
188,0,0
189,0,0
189,0,0
190,0,0
192,0,0
192,0,0
192,0,0
191,0,0
191,0,0
190,0,0
190,0,0
190,0,0
189,0,0
190,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
196,0,0
196,0,0
196,0,0
194,0,0
194,0,0
194,0,0
194,0,0
193,0,0
193,0,0
193,0,0
192,0,0
192,0,0
192,0,0
192,0,0
190,0,0
190,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
195,0,0
195,0,0
195,0,0
195,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
194,0,0
195,0,0
195,0,0
194,0,0
194,0,0
194,0,0
195,0,0
195,0,0
196,0,0
196,0,0
196,0,0
195,0,0
194,0,0
194,0,0
194,0,0
194,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
192,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
195,0,0
195,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
195,0,0
195,0,0
196,0,0
196,0,0
197,0,0
198,0,0
198,0,0
198,0,0
198,0,0
198,0,0
198,0,0
198,0,0
197,0,0
197,0,0
197,0,0
197,0,0
197,0,0
195,0,0
195,0,0
195,0,0
195,0,0
195,0,0
195,0,0
195,0,0
195,0,0
195,0,0
195,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
198,0,0
197,0,0
197,0,0
198,0,0
199,0,0
199,0,0
198,0,0
197,0,0
195,0,0
195,0,0
195,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
194,0,0
196,0,0
196,0,0
195,0,0
194,0,0
194,0,0
195,0,0
190,0,0
191,0,0
193,0,0
195,0,0
197,0,0
198,0,0
198,0,0
198,0,0
196,0,0
195,0,0
194,0,0
193,0,0
193,0,0
193,0,0
194,0,0
194,0,0
197,0,0
197,0,0
197,0,0
197,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
195,0,0
195,0,0
194,0,0
194,0,0
195,0,0
195,0,0
196,0,0
196,0,0
197,0,0
198,0,0
198,0,0
196,0,0
195,0,0
195,0,0
195,0,0
197,0,0
197,0,0
198,0,0
199,0,0
200,0,0
199,0,0
199,0,0
198,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
196,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
62,0,0
189,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
185,0,0
185,0,0
184,0,0
183,0,0
183,0,0
184,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
184,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
187,0,0
187,0,0
187,0,0
190,0,0
190,0,0
190,0,0
190,0,0
188,0,0
189,0,0
189,0,0
189,0,0
188,0,0
188,0,0
188,0,0
188,0,0
187,0,0
187,0,0
187,0,0
187,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
190,0,0
190,0,0
190,0,0
189,0,0
189,0,0
190,0,0
191,0,0
191,0,0
192,0,0
192,0,0
191,0,0
190,0,0
189,0,0
189,0,0
188,0,0
188,0,0
187,0,0
187,0,0
187,0,0
187,0,0
187,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
189,0,0
189,0,0
189,0,0
188,0,0
188,0,0
189,0,0
189,0,0
188,0,0
188,0,0
188,0,0
189,0,0
189,0,0
189,0,0
190,0,0
190,0,0
191,0,0
191,0,0
191,0,0
192,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
193,0,0
192,0,0
192,0,0
192,0,0
192,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
190,0,0
190,0,0
190,0,0
190,0,0
190,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
192,0,0
192,0,0
192,0,0
192,0,0
191,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
189,0,0
186,0,0
188,0,0
189,0,0
189,0,0
188,0,0
188,0,0
188,0,0
188,0,0
185,0,0
186,0,0
189,0,0
192,0,0
194,0,0
194,0,0
194,0,0
193,0,0
191,0,0
191,0,0
190,0,0
189,0,0
189,0,0
189,0,0
189,0,0
190,0,0
191,0,0
191,0,0
191,0,0
191,0,0
191,0,0
190,0,0
190,0,0
190,0,0
190,0,0
189,0,0
189,0,0
188,0,0
188,0,0
189,0,0
189,0,0
190,0,0
190,0,0
190,0,0
191,0,0
191,0,0
190,0,0
190,0,0
190,0,0
190,0,0
191,0,0
192,0,0
192,0,0
193,0,0
193,0,0
193,0,0
193,0,0
192,0,0
190,0,0
190,0,0
190,0,0
190,0,0
190,0,0
190,0,0
190,0,0
190,0,0
190,0,0
190,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
61,0,0
184,0,0
180,0,0
180,0,0
180,0,0
180,0,0
180,0,0
180,0,0
180,0,0
180,0,0
180,0,0
180,0,0
179,0,0
179,0,0
179,0,0
179,0,0
180,0,0
180,0,0
181,0,0
181,0,0
181,0,0
181,0,0
180,0,0
180,0,0
180,0,0
180,0,0
182,0,0
182,0,0
182,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
184,0,0
184,0,0
183,0,0
184,0,0
184,0,0
185,0,0
185,0,0
184,0,0
183,0,0
183,0,0
182,0,0
182,0,0
182,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
182,0,0
182,0,0
182,0,0
181,0,0
181,0,0
181,0,0
181,0,0
181,0,0
181,0,0
181,0,0
182,0,0
182,0,0
182,0,0
182,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
183,0,0
184,0,0
184,0,0
186,0,0
187,0,0
187,0,0
186,0,0
185,0,0
184,0,0
183,0,0
182,0,0
184,0,0
184,0,0
183,0,0
183,0,0
183,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
185,0,0
185,0,0
185,0,0
184,0,0
184,0,0
184,0,0
183,0,0
183,0,0
182,0,0
183,0,0
183,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
184,0,0
185,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
185,0,0
185,0,0
185,0,0
185,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
186,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
185,0,0
186,0,0
186,0,0
185,0,0
185,0,0
185,0,0
185,0,0
184,0,0
185,0,0
186,0,0
188,0,0
189,0,0
188,0,0
188,0,0
187,0,0
188,0,0
188,0,0
187,0,0
187,0,0
186,0,0
187,0,0
187,0,0
187,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
187,0,0
187,0,0
187,0,0
187,0,0
186,0,0
186,0,0
186,0,0
186,0,0
187,0,0
187,0,0
187,0,0
187,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
187,0,0
188,0,0
188,0,0
189,0,0
189,0,0
189,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
188,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
60,0,0
178,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
177,0,0
177,0,0
176,0,0
176,0,0
176,0,0
176,0,0
177,0,0
177,0,0
179,0,0
179,0,0
179,0,0
179,0,0
179,0,0
179,0,0
179,0,0
179,0,0
179,0,0
