R,G,B
16,13,6
16,13,6
13,13,6
7,13,6
7,13,6
11,13,6
12,13,6
9,13,6
7,13,6
16,13,6
19,13,6
17,13,6
23,13,6
31,13,6
27,13,6
18,13,6
3,13,6
4,13,6
9,13,6
6,13,6
6,13,6
13,13,6
15,13,6
21,13,6
31,13,6
37,13,6
54,13,6
78,13,6
100,13,6
119,13,6
140,13,6
155,13,6
161,13,6
161,13,6
160,13,6
163,13,6
164,13,6
165,13,6
168,13,6
169,13,6
170,13,6
170,13,6
172,13,6
174,13,6
174,13,6
173,13,6
173,13,6
175,13,6
176,13,6
176,13,6
183,13,6
192,13,6
193,13,6
189,13,6
189,13,6
193,13,6
196,13,6
196,13,6
197,13,6
198,13,6
201,13,6
203,13,6
203,13,6
201,13,6
193,13,6
191,13,6
196,13,6
199,13,6
194,13,6
191,13,6
191,13,6
192,13,6
194,13,6
194,13,6
191,13,6
190,13,6
192,13,6
190,13,6
191,13,6
199,13,6
208,13,6
213,13,6
215,13,6
211,13,6
203,13,6
192,13,6
185,13,6
186,13,6
185,13,6
189,13,6
191,13,6
192,13,6
190,13,6
189,13,6
192,13,6
198,13,6
204,13,6
206,13,6
205,13,6
201,13,6
197,13,6
194,13,6
193,13,6
193,13,6
191,13,6
194,13,6
197,13,6
195,13,6
192,13,6
191,13,6
190,13,6
189,13,6
189,13,6
187,13,6
188,13,6
190,13,6
192,13,6
190,13,6
187,13,6
186,13,6
188,13,6
190,13,6
188,13,6
186,13,6
189,13,6
193,13,6
194,13,6
189,13,6
189,13,6
186,13,6
167,13,6
147,13,6
128,13,6
97,13,6
83,13,6
138,13,6
157,13,6
174,13,6
176,13,6
177,13,6
177,13,6
171,13,6
162,13,6
149,13,6
150,13,6
183,13,6
212,13,6
208,13,6
201,13,6
198,13,6
154,13,6
88,13,6
88,13,6
133,13,6
160,13,6
177,13,6
173,13,6
172,13,6
170,13,6
171,13,6
164,13,6
161,13,6
166,13,6
171,13,6
172,13,6
172,13,6
176,13,6
175,13,6
181,13,6
182,13,6
183,13,6
184,13,6
181,13,6
174,13,6
166,13,6
160,13,6
159,13,6
153,13,6
152,13,6
151,13,6
139,13,6
119,13,6
89,13,6
61,13,6
57,13,6
57,13,6
71,13,6
92,13,6
105,13,6
111,13,6
113,13,6
111,13,6
105,13,6
99,13,6
96,13,6
107,13,6
115,13,6
119,13,6
121,13,6
113,13,6
119,13,6
117,13,6
131,13,6
178,13,6
204,13,6
199,13,6
208,13,6
216,13,6
228,13,6
228,13,6
228,13,6
229,13,6
231,13,6
232,13,6
233,13,6
234,13,6
236,13,6
235,13,6
234,13,6
233,13,6
234,13,6
236,13,6
240,13,6
241,13,6
248,13,6
224,13,6
178,13,6
141,13,6
143,13,6
176,13,6
198,13,6
200,13,6
202,13,6
195,13,6
187,13,6
181,13,6
180,13,6
182,13,6
186,13,6
191,13,6
196,13,6
195,13,6
189,13,6
183,13,6
180,13,6
171,13,6
157,13,6
146,13,6
129,13,6
104,13,6
14,13,6
16,13,6
15,13,6
10,13,6
7,13,6
9,13,6
12,13,6
13,13,6
13,13,6
13,13,6
11,13,6
12,13,6
18,13,6
20,13,6
15,13,6
12,13,6
7,13,6
6,13,6
11,13,6
9,13,6
9,13,6
14,13,6
14,13,6
21,13,6
32,13,6
44,13,6
65,13,6
88,13,6
107,13,6
124,13,6
143,13,6
157,13,6
162,13,6
161,13,6
160,13,6
162,13,6
164,13,6
164,13,6
167,13,6
168,13,6
170,13,6
170,13,6
172,13,6
174,13,6
175,13,6
174,13,6
174,13,6
175,13,6
175,13,6
176,13,6
183,13,6
192,13,6
193,13,6
189,13,6
190,13,6
193,13,6
196,13,6
195,13,6
194,13,6
195,13,6
197,13,6
200,13,6
200,13,6
199,13,6
192,13,6
190,13,6
192,13,6
196,13,6
192,13,6
189,13,6
191,13,6
193,13,6
195,13,6
197,13,6
193,13,6
191,13,6
192,13,6
192,13,6
194,13,6
203,13,6
215,13,6
219,13,6
216,13,6
209,13,6
202,13,6
191,13,6
185,13,6
187,13,6
187,13,6
189,13,6
190,13,6
190,13,6
189,13,6
190,13,6
191,13,6
193,13,6
196,13,6
196,13,6
195,13,6
194,13,6
194,13,6
195,13,6
195,13,6
193,13,6
191,13,6
194,13,6
196,13,6
196,13,6
194,13,6
193,13,6
191,13,6
189,13,6
191,13,6
190,13,6
189,13,6
193,13,6
196,13,6
195,13,6
193,13,6
193,13,6
196,13,6
197,13,6
195,13,6
193,13,6
196,13,6
200,13,6
199,13,6
192,13,6
190,13,6
188,13,6
174,13,6
156,13,6
134,13,6
105,13,6
89,13,6
132,13,6
168,13,6
177,13,6
184,13,6
190,13,6
184,13,6
168,13,6
155,13,6
139,13,6
135,13,6
166,13,6
183,13,6
185,13,6
188,13,6
187,13,6
151,13,6
88,13,6
113,13,6
144,13,6
154,13,6
171,13,6
172,13,6
165,13,6
159,13,6
162,13,6
162,13,6
159,13,6
164,13,6
168,13,6
168,13,6
170,13,6
174,13,6
175,13,6
180,13,6
181,13,6
181,13,6
182,13,6
180,13,6
175,13,6
169,13,6
165,13,6
166,13,6
161,13,6
161,13,6
161,13,6
152,13,6
135,13,6
109,13,6
84,13,6
60,13,6
54,13,6
62,13,6
81,13,6
99,13,6
112,13,6
117,13,6
113,13,6
108,13,6
105,13,6
103,13,6
110,13,6
115,13,6
119,13,6
120,13,6
112,13,6
115,13,6
139,13,6
180,13,6
206,13,6
215,13,6
220,13,6
221,13,6
220,13,6
233,13,6
233,13,6
232,13,6
232,13,6
233,13,6
232,13,6
233,13,6
233,13,6
234,13,6
234,13,6
235,13,6
235,13,6
235,13,6
235,13,6
237,13,6
236,13,6
235,13,6
245,13,6
248,13,6
232,13,6
212,13,6
202,13,6
199,13,6
199,13,6
207,13,6
204,13,6
202,13,6
201,13,6
201,13,6
195,13,6
189,13,6
186,13,6
198,13,6
204,13,6
204,13,6
203,13,6
208,13,6
215,13,6
214,13,6
210,13,6
203,13,6
188,13,6
11,11,6
13,11,6
14,11,6
13,11,6
10,11,6
8,11,6
9,11,6
10,11,6
13,11,6
15,11,6
13,11,6
12,11,6
15,11,6
17,11,6
14,11,6
12,11,6
13,11,6
10,11,6
14,11,6
13,11,6
12,11,6
14,11,6
12,11,6
20,11,6
29,11,6
43,11,6
64,11,6
83,11,6
99,11,6
119,11,6
142,11,6
155,11,6
162,11,6
160,11,6
160,11,6
161,11,6
163,11,6
165,11,6
165,11,6
167,11,6
168,11,6
169,11,6
171,11,6
174,11,6
176,11,6
176,11,6
175,11,6
174,11,6
176,11,6
177,11,6
184,11,6
192,11,6
192,11,6
188,11,6
190,11,6
193,11,6
194,11,6
193,11,6
192,11,6
191,11,6
193,11,6
197,11,6
198,11,6
197,11,6
191,11,6
189,11,6
190,11,6
192,11,6
189,11,6
187,11,6
189,11,6
192,11,6
194,11,6
197,11,6
196,11,6
194,11,6
192,11,6
194,11,6
201,11,6
209,11,6
217,11,6
219,11,6
215,11,6
206,11,6
196,11,6
188,11,6
184,11,6
185,11,6
187,11,6
187,11,6
188,11,6
190,11,6
191,11,6
193,11,6
192,11,6
193,11,6
191,11,6
190,11,6
188,11,6
188,11,6
192,11,6
195,11,6
195,11,6
193,11,6
190,11,6
190,11,6
191,11,6
192,11,6
194,11,6
195,11,6
192,11,6
189,11,6
191,11,6
187,11,6
188,11,6
194,11,6
197,11,6
195,11,6
195,11,6
198,11,6
197,11,6
197,11,6
195,11,6
196,11,6
201,11,6
205,11,6
198,11,6
190,11,6
187,11,6
181,11,6
170,11,6
158,11,6
140,11,6
112,11,6
92,11,6
125,11,6
179,11,6
176,11,6
182,11,6
190,11,6
178,11,6
161,11,6
156,11,6
142,11,6
140,11,6
171,11,6
178,11,6
181,11,6
187,11,6
188,11,6
163,11,6
103,11,6
118,11,6
146,11,6
148,11,6
165,11,6
170,11,6
164,11,6
155,11,6
163,11,6
162,11,6
162,11,6
163,11,6
166,11,6
167,11,6
169,11,6
173,11,6
175,11,6
178,11,6
179,11,6
181,11,6
181,11,6
180,11,6
178,11,6
175,11,6
173,11,6
168,11,6
163,11,6
161,11,6
159,11,6
152,11,6
141,11,6
122,11,6
101,11,6
70,11,6
57,11,6
53,11,6
67,11,6
87,11,6
109,11,6
121,11,6
119,11,6
116,11,6
115,11,6
114,11,6
111,11,6
115,11,6
120,11,6
122,11,6
119,11,6
124,11,6
164,11,6
215,11,6
219,11,6
214,11,6
226,11,6
226,11,6
223,11,6
236,11,6
235,11,6
234,11,6
233,11,6
234,11,6
233,11,6
233,11,6
232,11,6
234,11,6
235,11,6
235,11,6
236,11,6
236,11,6
236,11,6
237,11,6
236,11,6
243,11,6
240,11,6
240,11,6
244,11,6
242,11,6
232,11,6
226,11,6
224,11,6
207,11,6
205,11,6
206,11,6
208,11,6
210,11,6
208,11,6
205,11,6
202,11,6
201,11,6
207,11,6
212,11,6
212,11,6
210,11,6
209,11,6
208,11,6
207,11,6
209,11,6
215,11,6
8,12,7
9,12,7
12,12,7
15,12,7
14,12,7
9,12,7
5,12,7
4,12,7
12,12,7
25,12,7
26,12,7
15,12,7
15,12,7
24,12,7
25,12,7
20,12,7
18,12,7
13,12,7
16,12,7
16,12,7
15,12,7
14,12,7
10,12,7
18,12,7
30,12,7
46,12,7
67,12,7
85,12,7
101,12,7
122,12,7
145,12,7
157,12,7
163,12,7
160,12,7
160,12,7
160,12,7
161,12,7
163,12,7
164,12,7
166,12,7
166,12,7
167,12,7
170,12,7
173,12,7
174,12,7
175,12,7
174,12,7
174,12,7
176,12,7
179,12,7
184,12,7
191,12,7
191,12,7
188,12,7
190,12,7
193,12,7
194,12,7
194,12,7
192,12,7
191,12,7
193,12,7
196,12,7
196,12,7
195,12,7
190,12,7
188,12,7
189,12,7
190,12,7
188,12,7
185,12,7
187,12,7
190,12,7
192,12,7
194,12,7
194,12,7
194,12,7
196,12,7
197,12,7
204,12,7
210,12,7
213,12,7
214,12,7
208,12,7
199,12,7
190,12,7
185,12,7
181,12,7
182,12,7
183,12,7
185,12,7
188,12,7
191,12,7
192,12,7
194,12,7
194,12,7
193,12,7
187,12,7
186,12,7
184,12,7
183,12,7
186,12,7
189,12,7
189,12,7
187,12,7
188,12,7
186,12,7
185,12,7
184,12,7
188,12,7
191,12,7
189,12,7
185,12,7
186,12,7
180,12,7
182,12,7
187,12,7
189,12,7
187,12,7
191,12,7
194,12,7
192,12,7
192,12,7
193,12,7
198,12,7
205,12,7
206,12,7
197,12,7
186,12,7
185,12,7
175,12,7
161,12,7
157,12,7
145,12,7
116,12,7
93,12,7
130,12,7
190,12,7
188,12,7
187,12,7
191,12,7
183,12,7
168,12,7
161,12,7
151,12,7
146,12,7
182,12,7
188,12,7
