R,G,B
29,140,89
28,140,89
28,140,89
28,140,89
29,140,89
31,140,89
32,140,89
32,140,89
30,140,89
31,140,89
31,140,89
32,140,89
31,140,89
31,140,89
30,140,89
29,140,89
29,140,89
29,140,89
28,140,89
25,140,89
24,140,89
25,140,89
25,140,89
25,140,89
26,140,89
27,140,89
27,140,89
27,140,89
26,140,89
25,140,89
28,140,89
28,140,89
28,140,89
28,140,89
28,140,89
29,140,89
32,140,89
33,140,89
34,140,89
34,140,89
33,140,89
32,140,89
32,140,89
31,140,89
32,140,89
32,140,89
33,140,89
33,140,89
29,140,89
29,140,89
29,140,89
29,140,89
30,140,89
29,140,89
29,140,89
29,140,89
29,140,89
30,140,89
30,140,89
31,140,89
31,140,89
31,140,89
31,140,89
31,140,89
36,140,89
33,140,89
29,140,89
24,140,89
20,140,89
16,140,89
17,140,89
19,140,89
25,140,89
31,140,89
36,140,89
37,140,89
36,140,89
36,140,89
34,140,89
35,140,89
24,140,89
27,140,89
29,140,89
32,140,89
35,140,89
35,140,89
35,140,89
34,140,89
31,140,89
29,140,89
27,140,89
24,140,89
24,140,89
25,140,89
27,140,89
27,140,89
42,140,89
42,140,89
42,140,89
40,140,89
36,140,89
34,140,89
32,140,89
30,140,89
29,140,89
27,140,89
28,140,89
30,140,89
36,140,89
37,140,89
40,140,89
44,140,89
44,140,89
47,140,89
42,140,89
34,140,89
28,140,89
25,140,89
26,140,89
31,140,89
41,140,89
62,140,89
87,140,89
112,140,89
135,140,89
153,140,89
161,140,89
162,140,89
179,140,89
182,140,89
182,140,89
180,140,89
179,140,89
181,140,89
180,140,89
176,140,89
172,140,89
168,140,89
164,140,89
157,140,89
150,140,89
147,140,89
149,140,89
147,140,89
156,140,89
157,140,89
156,140,89
154,140,89
150,140,89
147,140,89
148,140,89
149,140,89
149,140,89
149,140,89
142,140,89
135,140,89
126,140,89
122,140,89
121,140,89
122,140,89
121,140,89
116,140,89
111,140,89
111,140,89
111,140,89
110,140,89
108,140,89
107,140,89
103,140,89
104,140,89
103,140,89
99,140,89
97,140,89
98,140,89
102,140,89
103,140,89
108,140,89
103,140,89
100,140,89
98,140,89
94,140,89
97,140,89
99,140,89
96,140,89
89,140,89
81,140,89
81,140,89
96,140,89
126,140,89
164,140,89
209,140,89
241,140,89
254,140,89
255,140,89
251,140,89
234,140,89
188,140,89
164,140,89
162,140,89
181,140,89
187,140,89
191,140,89
194,140,89
188,140,89
176,140,89
169,140,89
163,140,89
154,140,89
147,140,89
140,140,89
132,140,89
127,140,89
123,140,89
124,140,89
126,140,89
124,140,89
125,140,89
122,140,89
119,140,89
115,140,89
111,140,89
110,140,89
109,140,89
107,140,89
111,140,89
110,140,89
108,140,89
107,140,89
105,140,89
104,140,89
106,140,89
106,140,89
109,140,89
110,140,89
112,140,89
113,140,89
111,140,89
110,140,89
111,140,89
109,140,89
95,140,89
93,140,89
92,140,89
95,140,89
96,140,89
91,140,89
80,140,89
66,140,89
57,140,89
57,140,89
30,139,89
31,139,89
29,139,89
27,139,89
29,139,89
29,139,89
30,139,89
30,139,89
29,139,89
30,139,89
30,139,89
30,139,89
31,139,89
29,139,89
29,139,89
29,139,89
29,139,89
28,139,89
28,139,89
25,139,89
25,139,89
25,139,89
25,139,89
25,139,89
25,139,89
26,139,89
27,139,89
27,139,89
26,139,89
26,139,89
28,139,89
28,139,89
28,139,89
27,139,89
27,139,89
30,139,89
31,139,89
33,139,89
33,139,89
34,139,89
32,139,89
32,139,89
31,139,89
30,139,89
31,139,89
32,139,89
33,139,89
33,139,89
29,139,89
29,139,89
29,139,89
29,139,89
29,139,89
30,139,89
30,139,89
30,139,89
29,139,89
28,139,89
29,139,89
30,139,89
31,139,89
31,139,89
31,139,89
31,139,89
36,139,89
34,139,89
30,139,89
24,139,89
21,139,89
19,139,89
20,139,89
23,139,89
26,139,89
30,139,89
33,139,89
34,139,89
34,139,89
32,139,89
32,139,89
31,139,89
25,139,89
25,139,89
28,139,89
29,139,89
30,139,89
31,139,89
30,139,89
30,139,89
30,139,89
29,139,89
27,139,89
