R,G,B
158,222,232
154,222,232
149,222,232
142,222,232
127,222,232
95,222,232
51,222,232
17,222,232
0,222,232
0,222,232
20,222,232
40,222,232
53,222,232
58,222,232
68,222,232
89,222,232
87,222,232
100,222,232
100,222,232
95,222,232
88,222,232
84,222,232
76,222,232
57,222,232
19,222,232
3,222,232
5,222,232
23,222,232
43,222,232
64,222,232
81,222,232
101,222,232
110,222,232
121,222,232
130,222,232
134,222,232
124,222,232
115,222,232
102,222,232
81,222,232
61,222,232
33,222,232
8,222,232
1,222,232
2,222,232
4,222,232
3,222,232
0,222,232
7,222,232
6,222,232
5,222,232
5,222,232
7,222,232
8,222,232
10,222,232
10,222,232
10,222,232
10,222,232
7,222,232
7,222,232
6,222,232
6,222,232
5,222,232
5,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
7,222,232
7,222,232
8,222,232
9,222,232
9,222,232
10,222,232
10,222,232
10,222,232
10,222,232
10,222,232
9,222,232
9,222,232
8,222,232
6,222,232
6,222,232
6,222,232
7,222,232
8,222,232
9,222,232
9,222,232
9,222,232
8,222,232
8,222,232
8,222,232
8,222,232
7,222,232
7,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
6,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
5,222,232
5,222,232
5,222,232
5,222,232
5,222,232
5,222,232
6,222,232
6,222,232
5,222,232
5,222,232
4,222,232
3,222,232
4,222,232
5,222,232
6,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
8,222,232
8,222,232
8,222,232
8,222,232
8,222,232
9,222,232
9,222,232
9,222,232
9,222,232
8,222,232
7,222,232
6,222,232
6,222,232
7,222,232
7,222,232
8,222,232
7,222,232
7,222,232
7,222,232
8,222,232
8,222,232
8,222,232
7,222,232
8,222,232
7,222,232
7,222,232
8,222,232
7,222,232
7,222,232
7,222,232
7,222,232
7,222,232
6,222,232
6,222,232
7,222,232
8,222,232
10,222,232
11,222,232
12,222,232
12,222,232
12,222,232
9,222,232
