R,G,B
0,4,6
0,4,6
0,4,6
0,4,6
5,4,6
1,4,6
3,4,6
6,4,6
4,4,6
5,4,6
5,4,6
4,4,6
6,4,6
11,4,6
8,4,6
8,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
1,4,6
1,4,6
1,4,6
1,4,6
1,4,6
1,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
1,4,6
3,4,6
5,4,6
1,4,6
1,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
1,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
1,4,6
1,4,6
1,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,4,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
1,3,6
7,3,6
1,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
2,3,6
3,3,6
8,3,6
6,3,6
6,3,6
6,3,6
6,3,6
7,3,6
7,3,6
7,3,6
6,3,6
6,3,6
6,3,6
6,3,6
6,3,6
6,3,6
6,3,6
6,3,6
6,3,6
4,3,6
4,3,6
4,3,6
5,3,6
5,3,6
4,3,6
4,3,6
4,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
4,3,6
4,3,6
4,3,6
4,3,6
4,3,6
5,3,6
5,3,6
5,3,6
5,3,6
4,3,6
4,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
5,3,6
6,3,6
6,3,6
6,3,6
6,3,6
6,3,6
6,3,6
4,3,6
4,3,6
5,3,6
4,3,6
4,3,6
4,3,6
4,3,6
5,3,6
4,3,6
4,3,6
4,3,6
4,3,6
6,3,6
6,3,6
6,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
6,3,6
6,3,6
6,3,6
5,3,6
5,3,6
5,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
6,3,6
6,3,6
6,3,6
6,3,6
4,3,6
4,3,6
4,3,6
5,3,6
5,3,6
5,3,6
7,3,6
7,3,6
8,3,6
8,3,6
7,3,6
6,3,6
6,3,6
7,3,6
7,3,6
7,3,6
4,3,6
4,3,6
4,3,6
4,3,6
4,3,6
4,3,6
6,3,6
7,3,6
7,3,6
7,3,6
6,3,6
6,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
7,3,6
6,3,6
6,3,6
7,3,6
7,3,6
8,3,6
6,3,6
6,3,6
7,3,6
8,3,6
8,3,6
9,3,6
9,3,6
8,3,6
6,3,6
4,3,6
3,3,6
4,3,6
5,3,6
7,3,6
8,3,6
8,3,6
0,3,6
0,3,6
1,3,6
2,3,6
1,3,6
1,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
1,3,6
3,3,6
4,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
1,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
1,3,6
2,3,6
2,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
1,3,6
0,3,6
0,3,6
0,3,6
1,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,3,6
0,1,0
0,1,0
0,1,0
3,1,0
0,1,0
0,1,0
5,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
8,1,0
8,1,0
8,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
8,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
8,1,0
8,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
8,1,0
8,1,0
8,1,0
7,1,0
7,1,0
8,1,0
8,1,0
8,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
6,1,0
6,1,0
6,1,0
7,1,0
7,1,0
7,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
9,1,0
8,1,0
8,1,0
9,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
6,1,0
6,1,0
6,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
6,1,0
8,1,0
8,1,0
9,1,0
9,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
9,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
9,1,0
9,1,0
7,1,0
8,1,0
8,1,0
10,1,0
10,1,0
11,1,0
11,1,0
9,1,0
7,1,0
6,1,0
6,1,0
6,1,0
7,1,0
8,1,0
11,1,0
11,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
3,1,0
4,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
4,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
