R,G,B
170,166,141
172,166,141
175,166,141
174,166,141
174,166,141
177,166,141
181,166,141
184,166,141
184,166,141
187,166,141
192,166,141
200,166,141
204,166,141
204,166,141
198,166,141
193,166,141
177,166,141
164,166,141
145,166,141
126,166,141
111,166,141
105,166,141
109,166,141
118,166,141
130,166,141
141,166,141
151,166,141
156,166,141
159,166,141
160,166,141
158,166,141
157,166,141
151,166,141
143,166,141
135,166,141
126,166,141
116,166,141
106,166,141
98,166,141
90,166,141
83,166,141
75,166,141
68,166,141
66,166,141
65,166,141
67,166,141
67,166,141
63,166,141
62,166,141
61,166,141
60,166,141
56,166,141
53,166,141
49,166,141
45,166,141
45,166,141
44,166,141
41,166,141
40,166,141
37,166,141
33,166,141
28,166,141
26,166,141
23,166,141
25,166,141
28,166,141
33,166,141
36,166,141
35,166,141
31,166,141
29,166,141
28,166,141
32,166,141
33,166,141
36,166,141
40,166,141
44,166,141
47,166,141
51,166,141
55,166,141
52,166,141
54,166,141
56,166,141
55,166,141
52,166,141
49,166,141
45,166,141
42,166,141
41,166,141
41,166,141
39,166,141
36,166,141
31,166,141
30,166,141
32,166,141
34,166,141
30,166,141
32,166,141
35,166,141
38,166,141
44,166,141
50,166,141
52,166,141
56,166,141
59,166,141
55,166,141
53,166,141
61,166,141
86,166,141
126,166,141
172,166,141
203,166,141
227,166,141
227,166,141
236,166,141
243,166,141
244,166,141
242,166,141
236,166,141
228,166,141
218,166,141
218,166,141
223,166,141
233,166,141
239,166,141
240,166,141
236,166,141
234,166,141
239,166,141
239,166,141
245,166,141
247,166,141
244,166,141
241,166,141
238,166,141
230,166,141
222,166,141
210,166,141
197,166,141
190,166,141
185,166,141
180,166,141
182,166,141
188,166,141
188,166,141
188,166,141
188,166,141
188,166,141
187,166,141
186,166,141
184,166,141
184,166,141
184,166,141
183,166,141
180,166,141
179,166,141
179,166,141
180,166,141
179,166,141
181,166,141
185,166,141
186,166,141
188,166,141
187,166,141
187,166,141
187,166,141
187,166,141
189,166,141
188,166,141
186,166,141
183,166,141
182,166,141
177,166,141
176,166,141
179,166,141
185,166,141
174,166,141
