R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
3,0,0
0,0,0
0,0,0
8,0,0
171,0,0
176,0,0
172,0,0
170,0,0
173,0,0
173,0,0
166,0,0
164,0,0
172,0,0
183,0,0
179,0,0
179,0,0
180,0,0
182,0,0
183,0,0
183,0,0
184,0,0
186,0,0
186,0,0
185,0,0
185,0,0
186,0,0
186,0,0
185,0,0
185,0,0
186,0,0
184,0,0
184,0,0
183,0,0
182,0,0
181,0,0
181,0,0
181,0,0
181,0,0
181,0,0
181,0,0
180,0,0
180,0,0
181,0,0
182,0,0
182,0,0
182,0,0
185,0,0
186,0,0
187,0,0
186,0,0
186,0,0
188,0,0
188,0,0
188,0,0
189,0,0
186,0,0
185,0,0
186,0,0
189,0,0
189,0,0
190,0,0
192,0,0
190,0,0
190,0,0
189,0,0
188,0,0
187,0,0
186,0,0
185,0,0
185,0,0
187,0,0
188,0,0
188,0,0
187,0,0
189,0,0
189,0,0
188,0,0
190,0,0
192,0,0
192,0,0
194,0,0
195,0,0
192,0,0
191,0,0
192,0,0
194,0,0
192,0,0
194,0,0
197,0,0
197,0,0
199,0,0
200,0,0
202,0,0
201,0,0
202,0,0
203,0,0
203,0,0
204,0,0
205,0,0
203,0,0
202,0,0
205,0,0
204,0,0
201,0,0
200,0,0
201,0,0
201,0,0
201,0,0
201,0,0
198,0,0
198,0,0
199,0,0
200,0,0
199,0,0
200,0,0
201,0,0
201,0,0
200,0,0
200,0,0
199,0,0
199,0,0
200,0,0
200,0,0
200,0,0
200,0,0
201,0,0
199,0,0
200,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
202,0,0
204,0,0
204,0,0
205,0,0
208,0,0
207,0,0
205,0,0
203,0,0
205,0,0
203,0,0
204,0,0
207,0,0
206,0,0
207,0,0
210,0,0
211,0,0
211,0,0
214,0,0
213,0,0
210,0,0
209,0,0
206,0,0
203,0,0
200,0,0
198,0,0
197,0,0
192,0,0
187,0,0
186,0,0
187,0,0
187,0,0
190,0,0
194,0,0
