R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
5,0,0
27,0,0
43,0,0
42,0,0
44,0,0
44,0,0
41,0,0
41,0,0
40,0,0
38,0,0
39,0,0
38,0,0
40,0,0
40,0,0
41,0,0
41,0,0
41,0,0
42,0,0
40,0,0
39,0,0
39,0,0
38,0,0
38,0,0
38,0,0
38,0,0
37,0,0
36,0,0
34,0,0
34,0,0
33,0,0
31,0,0
30,0,0
29,0,0
27,0,0
24,0,0
23,0,0
23,0,0
22,0,0
16,0,0
14,0,0
12,0,0
10,0,0
8,0,0
5,0,0
5,0,0
5,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
6,0,0
13,0,0
23,0,0
32,0,0
39,0,0
47,0,0
55,0,0
62,0,0
67,0,0
73,0,0
81,0,0
87,0,0
91,0,0
94,0,0
93,0,0
95,0,0
95,0,0
95,0,0
93,0,0
92,0,0
94,0,0
94,0,0
92,0,0
94,0,0
94,0,0
95,0,0
95,0,0
97,0,0
96,0,0
96,0,0
93,0,0
94,0,0
94,0,0
93,0,0
94,0,0
94,0,0
93,0,0
93,0,0
93,0,0
92,0,0
93,0,0
92,0,0
92,0,0
92,0,0
91,0,0
90,0,0
89,0,0
91,0,0
91,0,0
90,0,0
92,0,0
92,0,0
91,0,0
92,0,0
93,0,0
93,0,0
92,0,0
92,0,0
93,0,0
93,0,0
90,0,0
89,0,0
91,0,0
91,0,0
92,0,0
92,0,0
93,0,0
93,0,0
91,0,0
91,0,0
91,0,0
94,0,0
95,0,0
95,0,0
96,0,0
97,0,0
99,0,0
102,0,0
102,0,0
103,0,0
104,0,0
104,0,0
103,0,0
103,0,0
103,0,0
104,0,0
103,0,0
103,0,0
103,0,0
102,0,0
103,0,0
103,0,0
102,0,0
100,0,0
99,0,0
98,0,0
96,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
92,0,0
93,0,0
92,0,0
95,0,0
97,0,0
96,0,0
98,0,0
101,0,0
106,0,0
111,0,0
116,0,0
119,0,0
121,0,0
123,0,0
125,0,0
128,0,0
