R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
21,0,0
23,0,0
25,0,0
22,0,0
23,0,0
22,0,0
22,0,0
22,0,0
22,0,0
21,0,0
20,0,0
18,0,0
18,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
17,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
17,0,0
18,0,0
20,0,0
19,0,0
18,0,0
19,0,0
20,0,0
23,0,0
17,0,0
20,0,0
34,0,0
34,0,0
30,0,0
49,0,0
80,0,0
120,0,0
146,0,0
150,0,0
156,0,0
150,0,0
143,0,0
123,0,0
104,0,0
100,0,0
110,0,0
118,0,0
126,0,0
140,0,0
152,0,0
156,0,0
150,0,0
145,0,0
137,0,0
134,0,0
134,0,0
132,0,0
132,0,0
134,0,0
134,0,0
133,0,0
132,0,0
130,0,0
131,0,0
133,0,0
134,0,0
134,0,0
135,0,0
131,0,0
132,0,0
131,0,0
132,0,0
132,0,0
131,0,0
131,0,0
130,0,0
128,0,0
127,0,0
128,0,0
129,0,0
129,0,0
131,0,0
134,0,0
137,0,0
134,0,0
138,0,0
139,0,0
129,0,0
109,0,0
88,0,0
84,0,0
94,0,0
114,0,0
124,0,0
114,0,0
98,0,0
107,0,0
123,0,0
134,0,0
141,0,0
135,0,0
130,0,0
128,0,0
129,0,0
134,0,0
138,0,0
141,0,0
142,0,0
139,0,0
135,0,0
134,0,0
130,0,0
124,0,0
126,0,0
131,0,0
130,0,0
131,0,0
134,0,0
139,0,0
143,0,0
146,0,0
145,0,0
122,0,0
85,0,0
43,0,0
42,0,0
36,0,0
32,0,0
37,0,0
37,0,0
36,0,0
38,0,0
32,0,0
33,0,0
35,0,0
34,0,0
34,0,0
34,0,0
35,0,0
35,0,0
35,0,0
33,0,0
33,0,0
32,0,0
30,0,0
29,0,0
28,0,0
28,0,0
33,0,0
32,0,0
32,0,0
32,0,0
31,0,0
31,0,0
31,0,0
31,0,0
