R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
108,0,0
201,0,0
191,0,0
197,0,0
198,0,0
201,0,0
216,0,0
215,0,0
217,0,0
218,0,0
216,0,0
210,0,0
201,0,0
197,0,0
193,0,0
187,0,0
177,0,0
174,0,0
172,0,0
175,0,0
182,0,0
191,0,0
198,0,0
203,0,0
208,0,0
214,0,0
214,0,0
208,0,0
201,0,0
193,0,0
176,0,0
161,0,0
143,0,0
133,0,0
141,0,0
155,0,0
170,0,0
181,0,0
187,0,0
196,0,0
196,0,0
187,0,0
176,0,0
157,0,0
140,0,0
124,0,0
105,0,0
104,0,0
122,0,0
139,0,0
156,0,0
167,0,0
176,0,0
179,0,0
183,0,0
186,0,0
189,0,0
186,0,0
185,0,0
179,0,0
170,0,0
163,0,0
153,0,0
146,0,0
129,0,0
129,0,0
130,0,0
132,0,0
131,0,0
133,0,0
132,0,0
129,0,0
130,0,0
130,0,0
131,0,0
135,0,0
140,0,0
144,0,0
145,0,0
144,0,0
141,0,0
141,0,0
140,0,0
140,0,0
140,0,0
141,0,0
141,0,0
140,0,0
135,0,0
139,0,0
136,0,0
132,0,0
138,0,0
143,0,0
141,0,0
136,0,0
126,0,0
136,0,0
140,0,0
137,0,0
137,0,0
143,0,0
141,0,0
135,0,0
119,0,0
108,0,0
101,0,0
104,0,0
113,0,0
115,0,0
112,0,0
106,0,0
102,0,0
104,0,0
104,0,0
102,0,0
99,0,0
97,0,0
93,0,0
87,0,0
97,0,0
103,0,0
115,0,0
124,0,0
118,0,0
109,0,0
97,0,0
85,0,0
55,0,0
52,0,0
51,0,0
58,0,0
63,0,0
64,0,0
64,0,0
64,0,0
64,0,0
59,0,0
57,0,0
54,0,0
52,0,0
52,0,0
53,0,0
58,0,0
63,0,0
61,0,0
61,0,0
61,0,0
63,0,0
62,0,0
62,0,0
61,0,0
