R,G,B
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
23,0,0
113,0,0
161,0,0
161,0,0
159,0,0
160,0,0
160,0,0
160,0,0
160,0,0
161,0,0
162,0,0
162,0,0
163,0,0
163,0,0
164,0,0
165,0,0
165,0,0
165,0,0
166,0,0
167,0,0
167,0,0
167,0,0
168,0,0
169,0,0
169,0,0
169,0,0
170,0,0
170,0,0
170,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
172,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
172,0,0
173,0,0
173,0,0
174,0,0
174,0,0
174,0,0
173,0,0
173,0,0
173,0,0
173,0,0
173,0,0
173,0,0
173,0,0
173,0,0
173,0,0
173,0,0
176,0,0
176,0,0
175,0,0
175,0,0
174,0,0
173,0,0
172,0,0
170,0,0
170,0,0
170,0,0
170,0,0
169,0,0
168,0,0
169,0,0
169,0,0
170,0,0
169,0,0
169,0,0
169,0,0
169,0,0
170,0,0
171,0,0
174,0,0
174,0,0
177,0,0
179,0,0
178,0,0
177,0,0
177,0,0
177,0,0
177,0,0
177,0,0
174,0,0
175,0,0
175,0,0
175,0,0
175,0,0
175,0,0
174,0,0
174,0,0
173,0,0
173,0,0
172,0,0
172,0,0
171,0,0
170,0,0
170,0,0
170,0,0
170,0,0
170,0,0
170,0,0
170,0,0
170,0,0
171,0,0
171,0,0
170,0,0
170,0,0
171,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
177,0,0
177,0,0
177,0,0
177,0,0
177,0,0
177,0,0
177,0,0
177,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
175,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
176,0,0
175,0,0
178,0,0
178,0,0
178,0,0
177,0,0
176,0,0
175,0,0
175,0,0
173,0,0
173,0,0
173,0,0
173,0,0
172,0,0
172,0,0
171,0,0
171,0,0
171,0,0
170,0,0
170,0,0
170,0,0
168,0,0
169,0,0
169,0,0
169,0,0
169,0,0
170,0,0
169,0,0
169,0,0
168,0,0
167,0,0
166,0,0
167,0,0
168,0,0
170,0,0
171,0,0
174,0,0
175,0,0
169,0,0
157,0,0
135,0,0
117,0,0
102,0,0
101,0,0
105,0,0
112,0,0
116,0,0
112,0,0
110,0,0
111,0,0
109,0,0
107,0,0
102,0,0
99,0,0
99,0,0
101,0,0
105,0,0
106,0,0
106,0,0
108,0,0
109,0,0
110,0,0
110,0,0
112,0,0
112,0,0
112,0,0
106,0,0
106,0,0
106,0,0
105,0,0
104,0,0
103,0,0
102,0,0
101,0,0
99,0,0
101,0,0
102,0,0
97,0,0
91,0,0
91,0,0
94,0,0
92,0,0
95,0,0
93,0,0
91,0,0
91,0,0
93,0,0
96,0,0
97,0,0
97,0,0
97,0,0
97,0,0
1,1,1
1,1,1
0,1,1
0,1,1
0,1,1
0,1,1
23,1,1
113,1,1
161,1,1
161,1,1
160,1,1
160,1,1
161,1,1
160,1,1
161,1,1
161,1,1
162,1,1
163,1,1
163,1,1
164,1,1
165,1,1
165,1,1
166,1,1
166,1,1
166,1,1
166,1,1
167,1,1
167,1,1
168,1,1
168,1,1
169,1,1
169,1,1
170,1,1
170,1,1
170,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
172,1,1
172,1,1
172,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
176,1,1
175,1,1
175,1,1
175,1,1
173,1,1
173,1,1
172,1,1
171,1,1
170,1,1
171,1,1
171,1,1
170,1,1
170,1,1
170,1,1
170,1,1
171,1,1
169,1,1
169,1,1
169,1,1
170,1,1
171,1,1
172,1,1
174,1,1
175,1,1
177,1,1
179,1,1
178,1,1
177,1,1
177,1,1
178,1,1
178,1,1
178,1,1
177,1,1
177,1,1
177,1,1
177,1,1
177,1,1
177,1,1
176,1,1
176,1,1
175,1,1
175,1,1
174,1,1
174,1,1
173,1,1
172,1,1
172,1,1
172,1,1
171,1,1
171,1,1
171,1,1
171,1,1
171,1,1
172,1,1
172,1,1
173,1,1
171,1,1
171,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
177,1,1
177,1,1
177,1,1
177,1,1
177,1,1
177,1,1
177,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
176,1,1
178,1,1
178,1,1
178,1,1
177,1,1
176,1,1
175,1,1
175,1,1
176,1,1
173,1,1
173,1,1
173,1,1
173,1,1
172,1,1
172,1,1
171,1,1
171,1,1
170,1,1
170,1,1
170,1,1
170,1,1
169,1,1
169,1,1
169,1,1
170,1,1
169,1,1
169,1,1
168,1,1
168,1,1
167,1,1
167,1,1
167,1,1
167,1,1
171,1,1
170,1,1
173,1,1
174,1,1
167,1,1
154,1,1
133,1,1
116,1,1
104,1,1
103,1,1
106,1,1
113,1,1
116,1,1
113,1,1
112,1,1
113,1,1
112,1,1
110,1,1
108,1,1
106,1,1
106,1,1
106,1,1
108,1,1
109,1,1
109,1,1
110,1,1
110,1,1
109,1,1
109,1,1
111,1,1
111,1,1
112,1,1
108,1,1
108,1,1
108,1,1
108,1,1
107,1,1
105,1,1
104,1,1
103,1,1
105,1,1
107,1,1
108,1,1
104,1,1
99,1,1
100,1,1
102,1,1
100,1,1
97,1,1
96,1,1
95,1,1
96,1,1
98,1,1
101,1,1
102,1,1
102,1,1
99,1,1
99,1,1
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
23,0,0
113,0,0
162,0,0
162,0,0
160,0,0
161,0,0
161,0,0
161,0,0
161,0,0
161,0,0
163,0,0
163,0,0
164,0,0
164,0,0
165,0,0
166,0,0
166,0,0
166,0,0
166,0,0
166,0,0
167,0,0
167,0,0
168,0,0
168,0,0
169,0,0
169,0,0
170,0,0
170,0,0
170,0,0
170,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
172,0,0
172,0,0
172,0,0
172,0,0
171,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
175,0,0
175,0,0
174,0,0
174,0,0
172,0,0
173,0,0
172,0,0
172,0,0
171,0,0
171,0,0
172,0,0
172,0,0
171,0,0
171,0,0
171,0,0
172,0,0
169,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
175,0,0
175,0,0
177,0,0
179,0,0
178,0,0
178,0,0
178,0,0
179,0,0
179,0,0
179,0,0
177,0,0
178,0,0
178,0,0
178,0,0
178,0,0
177,0,0
177,0,0
176,0,0
175,0,0
175,0,0
174,0,0
174,0,0
173,0,0
173,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
173,0,0
173,0,0
174,0,0
173,0,0
174,0,0
174,0,0
174,0,0
175,0,0
174,0,0
175,0,0
176,0,0
179,0,0
179,0,0
179,0,0
179,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
177,0,0
176,0,0
176,0,0
176,0,0
176,0,0
174,0,0
174,0,0
173,0,0
173,0,0
173,0,0
173,0,0
172,0,0
172,0,0
171,0,0
171,0,0
170,0,0
170,0,0
170,0,0
170,0,0
171,0,0
170,0,0
168,0,0
169,0,0
170,0,0
171,0,0
170,0,0
167,0,0
167,0,0
167,0,0
169,0,0
169,0,0
171,0,0
171,0,0
163,0,0
150,0,0
130,0,0
114,0,0
106,0,0
105,0,0
109,0,0
115,0,0
117,0,0
114,0,0
114,0,0
114,0,0
115,0,0
114,0,0
113,0,0
113,0,0
112,0,0
111,0,0
112,0,0
111,0,0
111,0,0
112,0,0
110,0,0
109,0,0
109,0,0
111,0,0
112,0,0
112,0,0
111,0,0
112,0,0
112,0,0
113,0,0
113,0,0
112,0,0
110,0,0
109,0,0
109,0,0
110,0,0
111,0,0
109,0,0
105,0,0
106,0,0
108,0,0
106,0,0
107,0,0
106,0,0
105,0,0
105,0,0
107,0,0
107,0,0
107,0,0
107,0,0
102,0,0
102,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
23,0,0
113,0,0
161,0,0
162,0,0
160,0,0
161,0,0
161,0,0
161,0,0
161,0,0
161,0,0
163,0,0
163,0,0
164,0,0
164,0,0
165,0,0
165,0,0
166,0,0
166,0,0
166,0,0
166,0,0
167,0,0
167,0,0
168,0,0
168,0,0
169,0,0
169,0,0
170,0,0
170,0,0
170,0,0
170,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
172,0,0
175,0,0
174,0,0
174,0,0
173,0,0
172,0,0
172,0,0
173,0,0
173,0,0
171,0,0
172,0,0
173,0,0
173,0,0
172,0,0
172,0,0
171,0,0
171,0,0
168,0,0
170,0,0
170,0,0
171,0,0
172,0,0
174,0,0
176,0,0
176,0,0
178,0,0
177,0,0
179,0,0
179,0,0
178,0,0
178,0,0
177,0,0
177,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
177,0,0
177,0,0
175,0,0
175,0,0
174,0,0
174,0,0
174,0,0
173,0,0
173,0,0
173,0,0
173,0,0
173,0,0
172,0,0
172,0,0
173,0,0
173,0,0
174,0,0
174,0,0
174,0,0
174,0,0
174,0,0
175,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
178,0,0
178,0,0
178,0,0
177,0,0
177,0,0
177,0,0
176,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
179,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
178,0,0
177,0,0
176,0,0
176,0,0
177,0,0
176,0,0
174,0,0
174,0,0
174,0,0
173,0,0
173,0,0
173,0,0
173,0,0
173,0,0
172,0,0
171,0,0
170,0,0
170,0,0
170,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
170,0,0
170,0,0
169,0,0
169,0,0
169,0,0
168,0,0
168,0,0
170,0,0
169,0,0
159,0,0
145,0,0
125,0,0
111,0,0
106,0,0
107,0,0
112,0,0
118,0,0
120,0,0
118,0,0
114,0,0
114,0,0
115,0,0
115,0,0
115,0,0
115,0,0
114,0,0
115,0,0
114,0,0
113,0,0
112,0,0
112,0,0
112,0,0
111,0,0
111,0,0
112,0,0
112,0,0
112,0,0
107,0,0
108,0,0
109,0,0
109,0,0
110,0,0
109,0,0
107,0,0
105,0,0
106,0,0
107,0,0
109,0,0
108,0,0
107,0,0
109,0,0
111,0,0
110,0,0
112,0,0
111,0,0
109,0,0
108,0,0
108,0,0
107,0,0
106,0,0
104,0,0
104,0,0
104,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
23,0,0
113,0,0
161,0,0
161,0,0
160,0,0
160,0,0
161,0,0
160,0,0
161,0,0
161,0,0
163,0,0
163,0,0
163,0,0
164,0,0
164,0,0
165,0,0
165,0,0
165,0,0
166,0,0
166,0,0
167,0,0
167,0,0
168,0,0
168,0,0
168,0,0
169,0,0
170,0,0
170,0,0
170,0,0
170,0,0
170,0,0
171,0,0
171,0,0
171,0,0
171,0,0
