R,G,B
192,103,63
200,103,63
200,103,63
190,103,63
188,103,63
198,103,63
201,103,63
177,103,63
230,103,63
245,103,63
246,103,63
255,103,63
255,103,63
254,103,63
249,103,63
243,103,63
254,103,63
250,103,63
254,103,63
255,103,63
249,103,63
247,103,63
250,103,63
245,103,63
197,103,63
30,103,63
37,103,63
37,103,63
64,103,63
72,103,63
49,103,63
47,103,63
63,103,63
113,103,63
126,103,63
114,103,63
108,103,63
100,103,63
69,103,63
75,103,63
102,103,63
123,103,63
136,103,63
175,103,63
212,103,63
176,103,63
128,103,63
136,103,63
159,103,63
143,103,63
89,103,63
59,103,63
82,103,63
112,103,63
136,103,63
154,103,63
159,103,63
143,103,63
140,103,63
134,103,63
118,103,63
102,103,63
84,103,63
70,103,63
72,103,63
66,103,63
79,103,63
98,103,63
100,103,63
91,103,63
88,103,63
86,103,63
78,103,63
63,103,63
59,103,63
58,103,63
55,103,63
65,103,63
76,103,63
76,103,63
81,103,63
80,103,63
79,103,63
79,103,63
80,103,63
71,103,63
60,103,63
54,103,63
56,103,63
57,103,63
57,103,63
63,103,63
73,103,63
80,103,63
93,103,63
110,103,63
105,103,63
114,103,63
116,103,63
103,103,63
105,103,63
134,103,63
150,103,63
137,103,63
134,103,63
135,103,63
142,103,63
145,103,63
133,103,63
156,103,63
164,103,63
148,103,63
105,103,63
75,103,63
88,103,63
76,103,63
96,103,63
97,103,63
173,103,63
251,103,63
246,103,63
247,103,63
248,103,63
249,103,63
248,103,63
248,103,63
248,103,63
246,103,63
245,103,63
245,103,63
244,103,63
242,103,63
244,103,63
245,103,63
246,103,63
245,103,63
244,103,63
237,103,63
239,103,63
236,103,63
239,103,63
169,103,63
180,103,63
186,103,63
187,103,63
187,103,63
187,103,63
187,103,63
187,103,63
186,103,63
185,103,63
185,103,63
186,103,63
186,103,63
186,103,63
184,103,63
184,103,63
184,103,63
183,103,63
183,103,63
184,103,63
182,103,63
181,103,63
179,103,63
179,103,63
180,103,63
180,103,63
179,103,63
178,103,63
178,103,63
178,103,63
177,103,63
175,103,63
172,103,63
173,103,63
172,103,63
176,103,63
175,103,63
174,103,63
173,103,63
173,103,63
172,103,63
171,103,63
172,103,63
172,103,63
171,103,63
171,103,63
169,103,63
168,103,63
169,103,63
168,103,63
167,103,63
165,103,63
165,103,63
164,103,63
163,103,63
163,103,63
163,103,63
163,103,63
163,103,63
163,103,63
161,103,63
161,103,63
161,103,63
163,103,63
163,103,63
162,103,63
161,103,63
160,103,63
160,103,63
159,103,63
159,103,63
158,103,63
157,103,63
157,103,63
157,103,63
157,103,63
157,103,63
158,103,63
158,103,63
158,103,63
159,103,63
158,103,63
157,103,63
154,103,63
154,103,63
153,103,63
154,103,63
154,103,63
156,103,63
155,103,63
154,103,63
155,103,63
154,103,63
154,103,63
153,103,63
156,103,63
156,103,63
155,103,63
154,103,63
154,103,63
154,103,63
155,103,63
154,103,63
154,103,63
154,103,63
154,103,63
154,103,63
153,103,63
153,103,63
193,95,66
199,95,66
200,95,66
192,95,66
187,95,66
197,95,66
200,95,66
177,95,66
228,95,66
245,95,66
248,95,66
255,95,66
255,95,66
254,95,66
248,95,66
243,95,66
254,95,66
250,95,66
253,95,66
255,95,66
251,95,66
250,95,66
250,95,66
246,95,66
205,95,66
34,95,66
40,95,66
47,95,66
67,95,66
64,95,66
44,95,66
45,95,66
55,95,66
76,95,66
83,95,66
94,95,66
109,95,66
109,95,66
77,95,66
72,95,66
88,95,66
102,95,66
128,95,66
162,95,66
160,95,66
111,95,66
93,95,66
127,95,66
129,95,66
114,95,66
78,95,66
55,95,66
58,95,66
84,95,66
134,95,66
174,95,66
189,95,66
159,95,66
145,95,66
130,95,66
113,95,66
100,95,66
82,95,66
73,95,66
73,95,66
72,95,66
93,95,66
112,95,66
108,95,66
101,95,66
100,95,66
93,95,66
84,95,66
71,95,66
63,95,66
56,95,66
53,95,66
63,95,66
73,95,66
69,95,66
62,95,66
64,95,66
66,95,66
71,95,66
76,95,66
71,95,66
61,95,66
54,95,66
55,95,66
54,95,66
52,95,66
52,95,66
56,95,66
60,95,66
68,95,66
80,95,66
108,95,66
106,95,66
90,95,66
82,95,66
101,95,66
120,95,66
132,95,66
146,95,66
142,95,66
148,95,66
147,95,66
144,95,66
131,95,66
142,95,66
154,95,66
162,95,66
123,95,66
80,95,66
86,95,66
83,95,66
110,95,66
114,95,66
184,95,66
252,95,66
247,95,66
248,95,66
248,95,66
249,95,66
248,95,66
248,95,66
246,95,66
246,95,66
247,95,66
246,95,66
244,95,66
244,95,66
244,95,66
245,95,66
246,95,66
245,95,66
243,95,66
239,95,66
239,95,66
237,95,66
240,95,66
169,95,66
179,95,66
186,95,66
188,95,66
188,95,66
187,95,66
187,95,66
185,95,66
184,95,66
184,95,66
184,95,66
186,95,66
186,95,66
185,95,66
184,95,66
183,95,66
185,95,66
183,95,66
181,95,66
186,95,66
183,95,66
181,95,66
180,95,66
180,95,66
179,95,66
177,95,66
176,95,66
175,95,66
176,95,66
176,95,66
175,95,66
174,95,66
172,95,66
172,95,66
172,95,66
175,95,66
174,95,66
173,95,66
171,95,66
172,95,66
172,95,66
170,95,66
171,95,66
171,95,66
170,95,66
170,95,66
169,95,66
167,95,66
168,95,66
167,95,66
166,95,66
164,95,66
165,95,66
163,95,66
162,95,66
162,95,66
161,95,66
162,95,66
162,95,66
162,95,66
161,95,66
160,95,66
162,95,66
162,95,66
162,95,66
161,95,66
160,95,66
160,95,66
160,95,66
159,95,66
159,95,66
158,95,66
157,95,66
158,95,66
157,95,66
157,95,66
157,95,66
158,95,66
158,95,66
159,95,66
159,95,66
158,95,66
157,95,66
154,95,66
154,95,66
154,95,66
154,95,66
154,95,66
156,95,66
155,95,66
154,95,66
155,95,66
154,95,66
154,95,66
154,95,66
156,95,66
156,95,66
155,95,66
154,95,66
154,95,66
154,95,66
154,95,66
154,95,66
153,95,66
153,95,66
153,95,66
153,95,66
152,95,66
152,95,66
193,93,70
199,93,70
202,93,70
193,93,70
189,93,70
198,93,70
200,93,70
178,93,70
225,93,70
243,93,70
250,93,70
255,93,70
255,93,70
255,93,70
250,93,70
243,93,70
253,93,70
250,93,70
253,93,70
255,93,70
252,93,70
251,93,70
251,93,70
247,93,70
211,93,70
45,93,70
43,93,70
52,93,70
58,93,70
53,93,70
41,93,70
43,93,70
47,93,70
53,93,70
58,93,70
73,93,70
81,93,70
82,93,70
60,93,70
63,93,70
76,93,70
83,93,70
101,93,70
119,93,70
118,93,70
104,93,70
102,93,70
115,93,70
133,93,70
123,93,70
81,93,70
54,93,70
67,93,70
104,93,70
155,93,70
194,93,70
215,93,70
182,93,70
167,93,70
138,93,70
111,93,70
98,93,70
78,93,70
78,93,70
77,93,70
77,93,70
97,93,70
114,93,70
107,93,70
103,93,70
101,93,70
89,93,70
81,93,70
69,93,70
62,93,70
55,93,70
50,93,70
59,93,70
67,93,70
60,93,70
54,93,70
56,93,70
59,93,70
63,93,70
71,93,70
68,93,70
59,93,70
51,93,70
54,93,70
55,93,70
52,93,70
48,93,70
49,93,70
52,93,70
56,93,70
61,93,70
72,93,70
91,93,70
115,93,70
109,93,70
93,93,70
111,93,70
132,93,70
125,93,70
134,93,70
148,93,70
152,93,70
159,93,70
151,93,70
145,93,70
142,93,70
158,93,70
127,93,70
78,93,70
83,93,70
93,93,70
118,93,70
121,93,70
186,93,70
244,93,70
248,93,70
249,93,70
248,93,70
248,93,70
246,93,70
245,93,70
246,93,70
246,93,70
249,93,70
248,93,70
245,93,70
243,93,70
244,93,70
246,93,70
248,93,70
248,93,70
244,93,70
239,93,70
238,93,70
238,93,70
240,93,70
168,93,70
179,93,70
186,93,70
187,93,70
187,93,70
187,93,70
186,93,70
184,93,70
184,93,70
184,93,70
184,93,70
184,93,70
185,93,70
186,93,70
184,93,70
184,93,70
184,93,70
182,93,70
180,93,70
184,93,70
183,93,70
180,93,70
180,93,70
179,93,70
178,93,70
176,93,70
175,93,70
174,93,70
175,93,70
175,93,70
174,93,70
172,93,70
173,93,70
172,93,70
172,93,70
174,93,70
173,93,70
171,93,70
172,93,70
171,93,70
170,93,70
170,93,70
170,93,70
169,93,70
168,93,70
168,93,70
167,93,70
166,93,70
167,93,70
165,93,70
164,93,70
165,93,70
164,93,70
162,93,70
161,93,70
161,93,70
160,93,70
161,93,70
160,93,70
161,93,70
160,93,70
159,93,70
161,93,70
161,93,70
161,93,70
160,93,70
159,93,70
160,93,70
159,93,70
159,93,70
158,93,70
158,93,70
157,93,70
158,93,70
158,93,70
158,93,70
157,93,70
159,93,70
158,93,70
159,93,70
159,93,70
158,93,70
157,93,70
154,93,70
154,93,70
154,93,70
154,93,70
156,93,70
156,93,70
155,93,70
154,93,70
155,93,70
155,93,70
154,93,70
154,93,70
156,93,70
156,93,70
155,93,70
154,93,70
154,93,70
153,93,70
153,93,70
153,93,70
152,93,70
152,93,70
152,93,70
152,93,70
151,93,70
151,93,70
195,97,70
200,97,70
202,97,70
195,97,70
190,97,70
197,97,70
199,97,70
178,97,70
220,97,70
239,97,70
252,97,70
255,97,70
255,97,70
255,97,70
250,97,70
246,97,70
253,97,70
250,97,70
253,97,70
255,97,70
254,97,70
252,97,70
252,97,70
248,97,70
211,97,70
59,97,70
48,97,70
52,97,70
51,97,70
47,97,70
45,97,70
44,97,70
62,97,70
56,97,70
44,97,70
52,97,70
69,97,70
78,97,70
56,97,70
51,97,70
62,97,70
83,97,70
102,97,70
115,97,70
125,97,70
123,97,70
119,97,70
123,97,70
160,97,70
175,97,70
124,97,70
76,97,70
102,97,70
157,97,70
203,97,70
232,97,70
238,97,70
208,97,70
191,97,70
156,97,70
120,97,70
102,97,70
77,97,70
77,97,70
89,97,70
83,97,70
99,97,70
113,97,70
107,97,70
109,97,70
108,97,70
89,97,70
75,97,70
65,97,70
61,97,70
60,97,70
56,97,70
59,97,70
61,97,70
56,97,70
59,97,70
58,97,70
56,97,70
56,97,70
64,97,70
66,97,70
61,97,70
57,97,70
55,97,70
55,97,70
52,97,70
46,97,70
46,97,70
