R,G,B
149,81,42
142,81,42
132,81,42
118,81,42
104,81,42
88,81,42
76,81,42
69,81,42
69,81,42
70,81,42
70,81,42
76,81,42
87,81,42
98,81,42
106,81,42
113,81,42
130,81,42
135,81,42
139,81,42
144,81,42
148,81,42
151,81,42
154,81,42
154,81,42
151,81,42
148,81,42
144,81,42
140,81,42
137,81,42
135,81,42
130,81,42
128,81,42
118,81,42
117,81,42
114,81,42
113,81,42
112,81,42
111,81,42
109,81,42
107,81,42
107,81,42
107,81,42
106,81,42
106,81,42
110,81,42
115,81,42
116,81,42
115,81,42
103,81,42
98,81,42
99,81,42
106,81,42
116,81,42
121,81,42
126,81,42
133,81,42
147,81,42
162,81,42
182,81,42
218,81,42
249,81,42
252,81,42
248,81,42
246,81,42
253,81,42
237,81,42
211,81,42
184,81,42
156,81,42
134,81,42
134,81,42
133,81,42
130,81,42
137,81,42
153,81,42
166,81,42
180,81,42
190,81,42
193,81,42
190,81,42
182,81,42
170,81,42
165,81,42
160,81,42
158,81,42
158,81,42
155,81,42
158,81,42
162,81,42
164,81,42
168,81,42
166,81,42
161,81,42
156,81,42
150,81,42
146,81,42
139,81,42
135,81,42
137,81,42
144,81,42
149,81,42
154,81,42
158,81,42
157,81,42
151,81,42
139,81,42
124,81,42
104,81,42
81,81,42
59,81,42
40,81,42
28,81,42
24,81,42
21,81,42
20,81,42
19,81,42
22,81,42
23,81,42
24,81,42
22,81,42
19,81,42
14,81,42
9,81,42
6,81,42
8,81,42
6,81,42
9,81,42
12,81,42
10,81,42
10,81,42
11,81,42
12,81,42
15,81,42
16,81,42
16,81,42
16,81,42
15,81,42
16,81,42
17,81,42
19,81,42
19,81,42
19,81,42
19,81,42
19,81,42
15,81,42
15,81,42
14,81,42
13,81,42
10,81,42
9,81,42
8,81,42
7,81,42
8,81,42
11,81,42
18,81,42
24,81,42
31,81,42
36,81,42
42,81,42
46,81,42
61,81,42
72,81,42
93,81,42
115,81,42
136,81,42
155,81,42
174,81,42
189,81,42
203,81,42
219,81,42
233,81,42
238,81,42
236,81,42
231,81,42
222,81,42
220,81,42
216,81,42
214,81,42
206,81,42
197,81,42
194,81,42
195,81,42
197,81,42
201,81,42
206,81,42
210,81,42
217,81,42
222,81,42
222,81,42
215,81,42
208,81,42
205,81,42
204,81,42
205,81,42
208,81,42
210,81,42
208,81,42
206,81,42
210,81,42
217,81,42
224,81,42
229,81,42
233,81,42
234,81,42
230,81,42
222,81,42
212,81,42
203,81,42
199,81,42
200,81,42
202,81,42
202,81,42
200,81,42
198,81,42
197,81,42
196,81,42
196,81,42
193,81,42
189,81,42
188,81,42
188,81,42
189,81,42
187,81,42
184,81,42
180,81,42
176,81,42
172,81,42
174,81,42
179,81,42
184,81,42
190,81,42
192,81,42
184,81,42
178,81,42
166,81,42
156,81,42
156,81,42
162,81,42
167,81,42
169,81,42
167,81,42
159,81,42
150,81,42
142,81,42
134,81,42
130,81,42
136,81,42
146,81,42
162,81,42
170,81,42
151,79,41
144,79,41
134,79,41
121,79,41
106,79,41
90,79,41
77,79,41
70,79,41
67,79,41
67,79,41
68,79,41
73,79,41
84,79,41
95,79,41
103,79,41
110,79,41
128,79,41
133,79,41
138,79,41
143,79,41
147,79,41
151,79,41
154,79,41
153,79,41
150,79,41
147,79,41
142,79,41
138,79,41
135,79,41
134,79,41
130,79,41
129,79,41
118,79,41
117,79,41
115,79,41
114,79,41
113,79,41
111,79,41
110,79,41
107,79,41
107,79,41
107,79,41
105,79,41
105,79,41
109,79,41
114,79,41
117,79,41
116,79,41
105,79,41
101,79,41
99,79,41
103,79,41
111,79,41
114,79,41
122,79,41
131,79,41
146,79,41
164,79,41
185,79,41
223,79,41
252,79,41
253,79,41
249,79,41
249,79,41
252,79,41
236,79,41
210,79,41
185,79,41
160,79,41
142,79,41
141,79,41
141,79,41
141,79,41
150,79,41
163,79,41
177,79,41
189,79,41
200,79,41
200,79,41
193,79,41
184,79,41
169,79,41
162,79,41
157,79,41
154,79,41
157,79,41
155,79,41
158,79,41
163,79,41
165,79,41
167,79,41
166,79,41
161,79,41
156,79,41
150,79,41
143,79,41
137,79,41
135,79,41
137,79,41
145,79,41
151,79,41
157,79,41
160,79,41
157,79,41
150,79,41
140,79,41
122,79,41
101,79,41
79,79,41
57,79,41
39,79,41
28,79,41
24,79,41
22,79,41
20,79,41
19,79,41
21,79,41
23,79,41
24,79,41
25,79,41
20,79,41
15,79,41
11,79,41
9,79,41
8,79,41
9,79,41
10,79,41
13,79,41
10,79,41
11,79,41
12,79,41
14,79,41
16,79,41
18,79,41
18,79,41
18,79,41
18,79,41
18,79,41
19,79,41
19,79,41
20,79,41
20,79,41
20,79,41
20,79,41
16,79,41
15,79,41
14,79,41
14,79,41
12,79,41
10,79,41
10,79,41
9,79,41
8,79,41
11,79,41
16,79,41
22,79,41
28,79,41
32,79,41
37,79,41
42,79,41
56,79,41
69,79,41
90,79,41
112,79,41
134,79,41
154,79,41
176,79,41
194,79,41
206,79,41
221,79,41
235,79,41
237,79,41
235,79,41
229,79,41
218,79,41
215,79,41
210,79,41
207,79,41
199,79,41
195,79,41
199,79,41
203,79,41
204,79,41
206,79,41
210,79,41
211,79,41
215,79,41
218,79,41
217,79,41
213,79,41
209,79,41
208,79,41
208,79,41
211,79,41
215,79,41
215,79,41
212,79,41
211,79,41
214,79,41
219,79,41
220,79,41
223,79,41
225,79,41
225,79,41
223,79,41
217,79,41
209,79,41
201,79,41
196,79,41
198,79,41
200,79,41
200,79,41
199,79,41
197,79,41
196,79,41
195,79,41
194,79,41
190,79,41
185,79,41
184,79,41
183,79,41
184,79,41
183,79,41
180,79,41
178,79,41
175,79,41
173,79,41
176,79,41
182,79,41
188,79,41
195,79,41
197,79,41
187,79,41
180,79,41
169,79,41
162,79,41
164,79,41
168,79,41
169,79,41
168,79,41
164,79,41
155,79,41
145,79,41
138,79,41
132,79,41
131,79,41
139,79,41
149,79,41
165,79,41
172,79,41
151,76,39
146,76,39
138,76,39
123,76,39
108,76,39
93,76,39
79,76,39
70,76,39
64,76,39
64,76,39
64,76,39
70,76,39
81,76,39
92,76,39
100,76,39
106,76,39
124,76,39
129,76,39
135,76,39
140,76,39
146,76,39
149,76,39
152,76,39
151,76,39
148,76,39
144,76,39
139,76,39
135,76,39
132,76,39
132,76,39
130,76,39
129,76,39
120,76,39
119,76,39
117,76,39
116,76,39
115,76,39
112,76,39
111,76,39
108,76,39
107,76,39
107,76,39
105,76,39
105,76,39
109,76,39
114,76,39
119,76,39
119,76,39
110,76,39
107,76,39
102,76,39
101,76,39
104,76,39
107,76,39
116,76,39
128,76,39
145,76,39
164,76,39
188,76,39
227,76,39
255,76,39
253,76,39
251,76,39
250,76,39
252,76,39
233,76,39
208,76,39
186,76,39
168,76,39
159,76,39
156,76,39
