R,G,B
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
50,79,152
51,79,152
51,79,152
50,79,152
49,79,152
48,79,152
47,79,152
47,79,152
47,79,152
48,79,152
48,79,152
49,79,152
49,79,152
49,79,152
48,79,152
47,79,152
46,79,152
47,79,152
47,79,152
50,79,152
51,79,152
53,79,152
54,79,152
54,79,152
52,79,152
51,79,152
49,79,152
50,79,152
50,79,152
50,79,152
50,79,152
50,79,152
50,79,152
50,79,152
50,79,152
51,79,152
50,79,152
49,79,152
49,79,152
48,79,152
48,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
50,79,152
50,79,152
50,79,152
50,79,152
50,79,152
51,79,152
51,79,152
51,79,152
52,79,152
52,79,152
52,79,152
52,79,152
52,79,152
51,79,152
51,79,152
50,79,152
50,79,152
49,79,152
49,79,152
49,79,152
49,79,152
51,79,152
51,79,152
51,79,152
51,79,152
50,79,152
50,79,152
50,79,152
51,79,152
52,79,152
53,79,152
53,79,152
52,79,152
51,79,152
52,79,152
52,79,152
52,79,152
52,79,152
52,79,152
51,79,152
52,79,152
54,79,152
54,79,152
53,79,152
52,79,152
52,79,152
53,79,152
54,79,152
54,79,152
53,79,152
53,79,152
53,79,152
53,79,152
52,79,152
52,79,152
52,79,152
52,79,152
52,79,152
52,79,152
52,79,152
52,79,152
53,79,152
52,79,152
52,79,152
52,79,152
51,79,152
51,79,152
51,79,152
51,79,152
50,79,152
50,79,152
51,79,152
51,79,152
51,79,152
51,79,152
51,79,152
51,79,152
51,79,152
51,79,152
51,79,152
51,79,152
50,79,152
50,79,152
48,79,152
49,79,152
49,79,152
48,79,152
48,79,152
48,79,152
48,79,152
49,79,152
49,79,152
49,79,152
48,79,152
48,79,152
48,79,152
48,79,152
48,79,152
48,79,152
48,79,152
48,79,152
51,79,152
51,79,152
50,79,152
50,79,152
49,79,152
49,79,152
49,79,152
50,79,152
50,79,152
50,79,152
49,79,152
48,79,152
48,79,152
48,79,152
48,79,152
49,79,152
48,79,152
48,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
49,79,152
50,79,152
50,79,152
50,79,152
51,79,152
51,79,152
51,79,152
52,79,152
52,79,152
52,79,152
52,79,152
51,79,152
51,79,152
51,79,152
51,79,152
50,79,152
50,79,152
51,79,152
51,79,152
52,79,152
51,79,152
51,79,152
51,79,152
51,79,152
51,79,152
48,79,152
48,79,152
46,79,152
47,79,152
48,79,152
50,79,152
53,79,152
56,79,152
56,79,152
55,79,152
52,79,152
50,79,152
48,79,152
45,79,152
