R,G,B
147,150,131
146,150,131
144,150,131
138,150,131
130,150,131
125,150,131
126,150,131
130,150,131
136,150,131
141,150,131
149,150,131
157,150,131
163,150,131
165,150,131
167,150,131
168,150,131
172,150,131
173,150,131
174,150,131
175,150,131
175,150,131
172,150,131
168,150,131
165,150,131
160,150,131
155,150,131
147,150,131
139,150,131
134,150,131
129,150,131
124,150,131
121,150,131
116,150,131
116,150,131
117,150,131
119,150,131
119,150,131
118,150,131
120,150,131
123,150,131
127,150,131
134,150,131
142,150,131
149,150,131
159,150,131
169,150,131
179,150,131
188,150,131
195,150,131
199,150,131
202,150,131
207,150,131
214,150,131
221,150,131
231,150,131
241,150,131
245,150,131
248,150,131
253,150,131
255,150,131
255,150,131
253,150,131
253,150,131
255,150,131
253,150,131
251,150,131
252,150,131
254,150,131
255,150,131
252,150,131
250,150,131
250,150,131
248,150,131
248,150,131
247,150,131
247,150,131
246,150,131
245,150,131
244,150,131
244,150,131
241,150,131
241,150,131
240,150,131
239,150,131
239,150,131
237,150,131
234,150,131
232,150,131
232,150,131
232,150,131
231,150,131
231,150,131
226,150,131
223,150,131
219,150,131
217,150,131
213,150,131
211,150,131
208,150,131
204,150,131
201,150,131
198,150,131
197,150,131
197,150,131
198,150,131
196,150,131
195,150,131
193,150,131
193,150,131
194,150,131
195,150,131
197,150,131
195,150,131
195,150,131
196,150,131
197,150,131
199,150,131
200,150,131
202,150,131
202,150,131
202,150,131
202,150,131
202,150,131
203,150,131
204,150,131
206,150,131
207,150,131
207,150,131
206,150,131
205,150,131
204,150,131
202,150,131
201,150,131
201,150,131
200,150,131
200,150,131
198,150,131
198,150,131
197,150,131
197,150,131
196,150,131
195,150,131
194,150,131
194,150,131
194,150,131
195,150,131
196,150,131
198,150,131
199,150,131
199,150,131
199,150,131
199,150,131
200,150,131
200,150,131
200,150,131
201,150,131
201,150,131
201,150,131
201,150,131
200,150,131
199,150,131
199,150,131
199,150,131
198,150,131
198,150,131
198,150,131
198,150,131
198,150,131
199,150,131
202,150,131
203,150,131
201,150,131
201,150,131
201,150,131
201,150,131
200,150,131
197,150,131
198,150,131
202,150,131
206,150,131
206,150,131
203,150,131
197,150,131
191,150,131
177,150,131
123,150,131
79,150,131
64,150,131
63,150,131
66,150,131
72,150,131
