R,G,B
0,0,2
0,0,2
3,0,2
4,0,2
3,0,2
1,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
26,0,2
21,0,2
14,0,2
16,0,2
16,0,2
16,0,2
16,0,2
15,0,2
15,0,2
15,0,2
15,0,2
16,0,2
16,0,2
16,0,2
16,0,2
17,0,2
17,0,2
17,0,2
17,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
15,0,2
15,0,2
15,0,2
15,0,2
15,0,2
14,0,2
14,0,2
14,0,2
14,0,2
14,0,2
14,0,2
13,0,2
15,0,2
15,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
14,0,2
14,0,2
14,0,2
20,0,2
18,0,2
17,0,2
16,0,2
15,0,2
13,0,2
13,0,2
12,0,2
13,0,2
12,0,2
9,0,2
10,0,2
12,0,2
13,0,2
13,0,2
17,0,2
18,0,2
15,0,2
9,0,2
6,0,2
6,0,2
8,0,2
10,0,2
13,0,2
12,0,2
9,0,2
13,0,2
22,0,2
32,0,2
41,0,2
54,0,2
62,0,2
71,0,2
78,0,2
90,0,2
96,0,2
101,0,2
113,0,2
129,0,2
142,0,2
149,0,2
154,0,2
154,0,2
154,0,2
164,0,2
170,0,2
172,0,2
176,0,2
171,0,2
162,0,2
154,0,2
145,0,2
132,0,2
105,0,2
76,0,2
54,0,2
28,0,2
19,0,2
14,0,2
16,0,2
14,0,2
7,0,2
5,0,2
10,0,2
13,0,2
13,0,2
13,0,2
13,0,2
13,0,2
13,0,2
13,0,2
13,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
16,0,2
15,0,2
15,0,2
15,0,2
15,0,2
15,0,2
16,0,2
17,0,2
17,0,2
17,0,2
17,0,2
18,0,2
18,0,2
17,0,2
16,0,2
14,0,2
13,0,2
13,0,2
13,0,2
12,0,2
13,0,2
13,0,2
13,0,2
12,0,2
12,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
11,0,2
11,0,2
10,0,2
10,0,2
10,0,2
10,0,2
11,0,2
11,0,2
11,0,2
11,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
14,0,2
14,0,2
15,0,2
15,0,2
15,0,2
15,0,2
15,0,2
14,0,2
15,0,2
14,0,2
15,0,2
15,0,2
15,0,2
15,0,2
15,0,2
14,0,2
17,0,2
17,0,2
15,0,2
13,0,2
12,0,2
12,0,2
13,0,2
14,0,2
17,0,2
15,0,2
17,0,2
20,0,2
17,0,2
15,0,2
14,0,2
15,0,2
29,0,2
22,0,2
15,0,2
6,0,2
0,0,2
0,0,2
4,0,2
6,0,2
7,0,2
9,0,2
8,0,2
7,0,2
6,0,2
6,0,2
7,0,2
5,0,2
9,0,2
9,0,2
9,0,2
10,0,2
11,0,2
11,0,2
12,0,2
14,0,2
14,0,2
14,0,2
0,0,0
0,0,0
3,0,0
4,0,0
3,0,0
1,0,0
0,0,0
0,0,0
0,0,0
