R,G,B
158,52,38
155,52,38
156,52,38
157,52,38
157,52,38
154,52,38
148,52,38
143,52,38
134,52,38
121,52,38
112,52,38
107,52,38
105,52,38
100,52,38
98,52,38
98,52,38
105,52,38
111,52,38
117,52,38
121,52,38
125,52,38
126,52,38
125,52,38
125,52,38
123,52,38
124,52,38
128,52,38
131,52,38
130,52,38
132,52,38
132,52,38
129,52,38
138,52,38
147,52,38
154,52,38
154,52,38
145,52,38
129,52,38
123,52,38
113,52,38
106,52,38
96,52,38
81,52,38
69,52,38
62,52,38
58,52,38
56,52,38
53,52,38
57,52,38
61,52,38
67,52,38
71,52,38
72,52,38
71,52,38
81,52,38
95,52,38
114,52,38
130,52,38
136,52,38
136,52,38
139,52,38
135,52,38
129,52,38
129,52,38
133,52,38
142,52,38
151,52,38
152,52,38
145,52,38
137,52,38
126,52,38
116,52,38
112,52,38
111,52,38
115,52,38
115,52,38
113,52,38
109,52,38
103,52,38
95,52,38
88,52,38
79,52,38
73,52,38
68,52,38
60,52,38
56,52,38
51,52,38
42,52,38
42,52,38
45,52,38
49,52,38
52,52,38
56,52,38
61,52,38
67,52,38
68,52,38
71,52,38
73,52,38
74,52,38
79,52,38
86,52,38
84,52,38
82,52,38
87,52,38
84,52,38
79,52,38
84,52,38
92,52,38
100,52,38
106,52,38
88,52,38
59,52,38
45,52,38
34,52,38
43,52,38
48,52,38
44,52,38
41,52,38
35,52,38
36,52,38
36,52,38
35,52,38
34,52,38
34,52,38
36,52,38
40,52,38
47,52,38
51,52,38
53,52,38
52,52,38
46,52,38
40,52,38
38,52,38
42,52,38
49,52,38
52,52,38
56,52,38
56,52,38
55,52,38
52,52,38
52,52,38
55,52,38
56,52,38
56,52,38
56,52,38
56,52,38
56,52,38
55,52,38
55,52,38
55,52,38
55,52,38
52,52,38
53,52,38
53,52,38
53,52,38
53,52,38
53,52,38
53,52,38
52,52,38
52,52,38
51,52,38
51,52,38
51,52,38
53,52,38
54,52,38
55,52,38
59,52,38
59,52,38
60,52,38
60,52,38
61,52,38
59,52,38
59,52,38
58,52,38
57,52,38
56,52,38
56,52,38
56,52,38
55,52,38
55,52,38
55,52,38
54,52,38
53,52,38
52,52,38
49,52,38
50,52,38
50,52,38
48,52,38
44,52,38
42,52,38
39,52,38
37,52,38
37,52,38
37,52,38
39,52,38
42,52,38
45,52,38
48,52,38
53,52,38
57,52,38
59,52,38
58,52,38
60,52,38
62,52,38
64,52,38
64,52,38
66,52,38
68,52,38
69,52,38
70,52,38
68,52,38
68,52,38
68,52,38
68,52,38
69,52,38
70,52,38
70,52,38
69,52,38
68,52,38
66,52,38
66,52,38
66,52,38
67,52,38
67,52,38
70,52,38
71,52,38
71,52,38
71,52,38
70,52,38
68,52,38
68,52,38
68,52,38
68,52,38
68,52,38
68,52,38
68,52,38
67,52,38
66,52,38
65,52,38
64,52,38
62,52,38
61,52,38
59,52,38
58,52,38
58,52,38
57,52,38
56,52,38
55,52,38
57,52,38
57,52,38
154,48,33
151,48,33
150,48,33
149,48,33
147,48,33
142,48,33
137,48,33
132,48,33
125,48,33
118,48,33
113,48,33
111,48,33
110,48,33
111,48,33
115,48,33
122,48,33
121,48,33
127,48,33
135,48,33
142,48,33
146,48,33
148,48,33
147,48,33
144,48,33
142,48,33
142,48,33
141,48,33
142,48,33
142,48,33
142,48,33
140,48,33
135,48,33
138,48,33
148,48,33
153,48,33
154,48,33
144,48,33
129,48,33
124,48,33
113,48,33
107,48,33
94,48,33
79,48,33
70,48,33
63,48,33
59,48,33
55,48,33
54,48,33
57,48,33
62,48,33
66,48,33
69,48,33
69,48,33
71,48,33
80,48,33
94,48,33
112,48,33
128,48,33
135,48,33
136,48,33
138,48,33
134,48,33
129,48,33
130,48,33
133,48,33
142,48,33
150,48,33
150,48,33
145,48,33
137,48,33
126,48,33
116,48,33
112,48,33
111,48,33
114,48,33
115,48,33
114,48,33
109,48,33
102,48,33
94,48,33
87,48,33
78,48,33
72,48,33
68,48,33
60,48,33
56,48,33
52,48,33
44,48,33
44,48,33
49,48,33
54,48,33
59,48,33
66,48,33
71,48,33
74,48,33
75,48,33
78,48,33
79,48,33
83,48,33
87,48,33
91,48,33
89,48,33
86,48,33
90,48,33
89,48,33
85,48,33
85,48,33
93,48,33
104,48,33
108,48,33
92,48,33
63,48,33
49,48,33
38,48,33
45,48,33
50,48,33
47,48,33
45,48,33
40,48,33
40,48,33
38,48,33
37,48,33
36,48,33
36,48,33
37,48,33
40,48,33
45,48,33
50,48,33
51,48,33
48,48,33
43,48,33
39,48,33
38,48,33
43,48,33
48,48,33
53,48,33
57,48,33
56,48,33
55,48,33
52,48,33
52,48,33
54,48,33
56,48,33
56,48,33
55,48,33
55,48,33
55,48,33
55,48,33
55,48,33
55,48,33
55,48,33
53,48,33
53,48,33
53,48,33
54,48,33
54,48,33
54,48,33
54,48,33
54,48,33
53,48,33
52,48,33
52,48,33
53,48,33
54,48,33
55,48,33
56,48,33
59,48,33
60,48,33
61,48,33
61,48,33
62,48,33
60,48,33
60,48,33
59,48,33
57,48,33
57,48,33
57,48,33
57,48,33
56,48,33
56,48,33
56,48,33
55,48,33
54,48,33
53,48,33
50,48,33
51,48,33
51,48,33
48,48,33
46,48,33
44,48,33
41,48,33
38,48,33
37,48,33
36,48,33
37,48,33
41,48,33
44,48,33
48,48,33
52,48,33
57,48,33
59,48,33
61,48,33
63,48,33
64,48,33
64,48,33
64,48,33
65,48,33
65,48,33
68,48,33
67,48,33
67,48,33
68,48,33
68,48,33
68,48,33
68,48,33
69,48,33
67,48,33
68,48,33
69,48,33
68,48,33
68,48,33
66,48,33
66,48,33
65,48,33
68,48,33
69,48,33
69,48,33
69,48,33
68,48,33
67,48,33
67,48,33
67,48,33
69,48,33
69,48,33
69,48,33
69,48,33
68,48,33
67,48,33
67,48,33
66,48,33
64,48,33
63,48,33
61,48,33
60,48,33
60,48,33
59,48,33
58,48,33
58,48,33
58,48,33
58,48,33
140,33,14
138,33,14
136,33,14
131,33,14
126,33,14
121,33,14
117,33,14
114,33,14
109,33,14
108,33,14
110,33,14
112,33,14
115,33,14
120,33,14
132,33,14
144,33,14
154,33,14
161,33,14
171,33,14
179,33,14
184,33,14
184,33,14
183,33,14
181,33,14
175,33,14
171,33,14
167,33,14
163,33,14
158,33,14
153,33,14
147,33,14
138,33,14
144,33,14
152,33,14
158,33,14
158,33,14
144,33,14
128,33,14
122,33,14
113,33,14
106,33,14
92,33,14
79,33,14
71,33,14
66,33,14
60,33,14
57,33,14
57,33,14
58,33,14
63,33,14
66,33,14
68,33,14
68,33,14
69,33,14
78,33,14
93,33,14
112,33,14
126,33,14
133,33,14
136,33,14
135,33,14
132,33,14
129,33,14
131,33,14
134,33,14
142,33,14
149,33,14
148,33,14
144,33,14
136,33,14
124,33,14
115,33,14
111,33,14
110,33,14
113,33,14
115,33,14
115,33,14
111,33,14
103,33,14
94,33,14
86,33,14
78,33,14
72,33,14
69,33,14
61,33,14
57,33,14
53,33,14
50,33,14
51,33,14
57,33,14
67,33,14
74,33,14
80,33,14
84,33,14
87,33,14
87,33,14
92,33,14
93,33,14
94,33,14
98,33,14
101,33,14
98,33,14
97,33,14
99,33,14
100,33,14
93,33,14
93,33,14
98,33,14
108,33,14
114,33,14
99,33,14
74,33,14
55,33,14
43,33,14
47,33,14
49,33,14
47,33,14
46,33,14
41,33,14
41,33,14
40,33,14
38,33,14
36,33,14
36,33,14
36,33,14
40,33,14
44,33,14
48,33,14
47,33,14
44,33,14
39,33,14
36,33,14
38,33,14
44,33,14
49,33,14
54,33,14
57,33,14
57,33,14
55,33,14
52,33,14
52,33,14
53,33,14
55,33,14
58,33,14
55,33,14
54,33,14
54,33,14
54,33,14
54,33,14
55,33,14
56,33,14
54,33,14
53,33,14
54,33,14
55,33,14
55,33,14
56,33,14
56,33,14
56,33,14
56,33,14
55,33,14
55,33,14
55,33,14
56,33,14
57,33,14
57,33,14
60,33,14
61,33,14
62,33,14
63,33,14
61,33,14
62,33,14
62,33,14
61,33,14
59,33,14
58,33,14
59,33,14
58,33,14
58,33,14
57,33,14
57,33,14
57,33,14
55,33,14
54,33,14
52,33,14
52,33,14
51,33,14
50,33,14
49,33,14
48,33,14
45,33,14
41,33,14
39,33,14
38,33,14
37,33,14
