R,G,B
81,68,59
72,68,59
73,68,59
86,68,59
127,68,59
169,68,59
206,68,59
217,68,59
211,68,59
198,68,59
196,68,59
199,68,59
197,68,59
197,68,59
197,68,59
193,68,59
191,68,59
192,68,59
188,68,59
185,68,59
186,68,59
189,68,59
190,68,59
189,68,59
189,68,59
184,68,59
180,68,59
173,68,59
168,68,59
167,68,59
169,68,59
169,68,59
160,68,59
163,68,59
164,68,59
169,68,59
177,68,59
175,68,59
175,68,59
180,68,59
179,68,59
171,68,59
173,68,59
186,68,59
202,68,59
214,68,59
214,68,59
204,68,59
205,68,59
218,68,59
223,68,59
212,68,59
204,68,59
208,68,59
211,68,59
212,68,59
210,68,59
206,68,59
204,68,59
204,68,59
203,68,59
203,68,59
200,68,59
194,68,59
177,68,59
159,68,59
138,68,59
122,68,59
109,68,59
101,68,59
96,68,59
92,68,59
93,68,59
91,68,59
84,68,59
74,68,59
66,68,59
61,68,59
58,68,59
55,68,59
57,68,59
63,68,59
72,68,59
79,68,59
80,68,59
76,68,59
69,68,59
63,68,59
62,68,59
57,68,59
54,68,59
57,68,59
60,68,59
62,68,59
64,68,59
66,68,59
67,68,59
63,68,59
64,68,59
68,68,59
69,68,59
80,68,59
116,68,59
158,68,59
147,68,59
81,68,59
49,68,59
61,68,59
58,68,59
55,68,59
48,68,59
53,68,59
47,68,59
47,68,59
50,68,59
52,68,59
54,68,59
52,68,59
54,68,59
56,68,59
56,68,59
58,68,59
56,68,59
51,68,59
52,68,59
57,68,59
58,68,59
58,68,59
64,68,59
66,68,59
64,68,59
59,68,59
58,68,59
61,68,59
65,68,59
66,68,59
66,68,59
67,68,59
67,68,59
64,68,59
61,68,59
60,68,59
61,68,59
62,68,59
67,68,59
67,68,59
69,68,59
69,68,59
68,68,59
69,68,59
71,68,59
74,68,59
75,68,59
69,68,59
65,68,59
64,68,59
63,68,59
59,68,59
62,68,59
66,68,59
60,68,59
61,68,59
63,68,59
67,68,59
67,68,59
67,68,59
65,68,59
65,68,59
65,68,59
67,68,59
69,68,59
69,68,59
68,68,59
67,68,59
68,68,59
69,68,59
70,68,59
69,68,59
67,68,59
66,68,59
65,68,59
64,68,59
63,68,59
62,68,59
62,68,59
64,68,59
64,68,59
63,68,59
65,68,59
69,68,59
69,68,59
67,68,59
65,68,59
61,68,59
60,68,59
60,68,59
61,68,59
60,68,59
59,68,59
57,68,59
58,68,59
58,68,59
59,68,59
58,68,59
55,68,59
55,68,59
55,68,59
52,68,59
55,68,59
58,68,59
59,68,59
58,68,59
56,68,59
54,68,59
50,68,59
46,68,59
42,68,59
36,68,59
30,68,59
27,68,59
26,68,59
25,68,59
23,68,59
22,68,59
20,68,59
16,68,59
15,68,59
16,68,59
20,68,59
36,68,59
57,68,59
67,68,59
65,68,59
63,68,59
55,68,59
44,68,59
38,68,59
40,68,59
42,68,59
41,68,59
33,68,59
31,68,59
28,68,59
26,68,59
26,68,59
24,68,59
22,68,59
21,68,59
33,68,59
32,68,59
83,66,57
79,66,57
86,66,57
99,66,57
134,66,57
165,66,57
192,66,57
197,66,57
195,66,57
193,66,57
196,66,57
200,66,57
199,66,57
196,66,57
195,66,57
194,66,57
188,66,57
186,66,57
181,66,57
176,66,57
174,66,57
177,66,57
180,66,57
181,66,57
179,66,57
176,66,57
172,66,57
167,66,57
163,66,57
162,66,57
162,66,57
160,66,57
155,66,57
152,66,57
155,66,57
166,66,57
174,66,57
168,66,57
169,66,57
180,66,57
186,66,57
177,66,57
172,66,57
175,66,57
184,66,57
199,66,57
209,66,57
211,66,57
208,66,57
218,66,57
223,66,57
215,66,57
211,66,57
214,66,57
216,66,57
216,66,57
213,66,57
207,66,57
203,66,57
202,66,57
202,66,57
200,66,57
195,66,57
189,66,57
177,66,57
155,66,57
132,66,57
118,66,57
110,66,57
105,66,57
97,66,57
90,66,57
89,66,57
83,66,57
76,66,57
70,66,57
65,66,57
61,66,57
61,66,57
63,66,57
73,66,57
76,66,57
79,66,57
80,66,57
77,66,57
70,66,57
63,66,57
58,66,57
56,66,57
61,66,57
61,66,57
57,66,57
57,66,57
63,66,57
73,66,57
79,66,57
74,66,57
62,66,57
64,66,57
65,66,57
69,66,57
103,66,57
136,66,57
135,66,57
98,66,57
64,66,57
49,66,57
52,66,57
58,66,57
51,66,57
43,66,57
48,66,57
49,66,57
50,66,57
55,66,57
59,66,57
59,66,57
59,66,57
61,66,57
63,66,57
63,66,57
63,66,57
60,66,57
57,66,57
55,66,57
56,66,57
57,66,57
59,66,57
64,66,57
64,66,57
61,66,57
58,66,57
58,66,57
60,66,57
63,66,57
64,66,57
67,66,57
66,66,57
64,66,57
61,66,57
60,66,57
60,66,57
64,66,57
66,66,57
69,66,57
70,66,57
71,66,57
69,66,57
68,66,57
67,66,57
69,66,57
70,66,57
70,66,57
67,66,57
66,66,57
68,66,57
64,66,57
61,66,57
62,66,57
67,66,57
63,66,57
64,66,57
65,66,57
68,66,57
67,66,57
67,66,57
65,66,57
64,66,57
66,66,57
68,66,57
70,66,57
69,66,57
67,66,57
67,66,57
69,66,57
71,66,57
72,66,57
71,66,57
68,66,57
66,66,57
65,66,57
64,66,57
62,66,57
61,66,57
64,66,57
66,66,57
66,66,57
64,66,57
66,66,57
69,66,57
69,66,57
66,66,57
64,66,57
61,66,57
60,66,57
60,66,57
60,66,57
60,66,57
59,66,57
57,66,57
56,66,57
56,66,57
58,66,57
58,66,57
57,66,57
58,66,57
58,66,57
55,66,57
57,66,57
59,66,57
59,66,57
58,66,57
55,66,57
52,66,57
48,66,57
44,66,57
39,66,57
33,66,57
27,66,57
26,66,57
26,66,57
25,66,57
23,66,57
22,66,57
20,66,57
16,66,57
16,66,57
17,66,57
19,66,57
33,66,57
51,66,57
62,66,57
63,66,57
61,66,57
53,66,57
43,66,57
38,66,57
40,66,57
42,66,57
41,66,57
33,66,57
30,66,57
29,66,57
27,66,57
27,66,57
26,66,57
26,66,57
24,66,57
33,66,57
32,66,57
88,106,94
95,106,94
116,106,94
137,106,94
167,106,94
186,106,94
200,106,94
197,106,94
191,106,94
199,106,94
204,106,94
201,106,94
197,106,94
190,106,94
183,106,94
182,106,94
184,106,94
181,106,94
175,106,94
166,106,94
160,106,94
161,106,94
165,106,94
168,106,94
165,106,94
161,106,94
158,106,94
155,106,94
154,106,94
156,106,94
156,106,94
151,106,94
145,106,94
143,106,94
147,106,94
158,106,94
166,106,94
167,106,94
170,106,94
180,106,94
189,106,94
184,106,94
179,106,94
174,106,94
173,106,94
185,106,94
201,106,94
212,106,94
213,106,94
220,106,94
225,106,94
220,106,94
218,106,94
218,106,94
220,106,94
217,106,94
213,106,94
205,106,94
198,106,94
196,106,94
193,106,94
191,106,94
186,106,94
181,106,94
171,106,94
150,106,94
127,106,94
114,106,94
108,106,94
104,106,94
98,106,94
91,106,94
81,106,94
71,106,94
64,106,94
66,106,94
67,106,94
66,106,94
66,106,94
72,106,94
77,106,94
76,106,94
73,106,94
70,106,94
69,106,94
66,106,94
65,106,94
64,106,94
62,106,94
65,106,94
63,106,94
58,106,94
59,106,94
65,106,94
65,106,94
59,106,94
49,106,94
45,106,94
57,106,94
73,106,94
95,106,94
132,106,94
138,106,94
105,106,94
59,106,94
56,106,94
56,106,94
42,106,94
