R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
74,0,0
95,0,0
94,0,0
91,0,0
92,0,0
89,0,0
90,0,0
89,0,0
89,0,0
88,0,0
88,0,0
88,0,0
89,0,0
89,0,0
89,0,0
90,0,0
89,0,0
88,0,0
87,0,0
86,0,0
86,0,0
88,0,0
90,0,0
90,0,0
91,0,0
92,0,0
93,0,0
93,0,0
93,0,0
92,0,0
92,0,0
92,0,0
93,0,0
94,0,0
94,0,0
96,0,0
98,0,0
99,0,0
99,0,0
99,0,0
98,0,0
97,0,0
96,0,0
96,0,0
96,0,0
97,0,0
98,0,0
98,0,0
98,0,0
99,0,0
100,0,0
100,0,0
100,0,0
100,0,0
100,0,0
101,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
106,0,0
105,0,0
105,0,0
105,0,0
105,0,0
105,0,0
104,0,0
104,0,0
104,0,0
104,0,0
105,0,0
107,0,0
109,0,0
108,0,0
106,0,0
106,0,0
108,0,0
106,0,0
106,0,0
108,0,0
106,0,0
99,0,0
89,0,0
73,0,0
58,0,0
41,0,0
30,0,0
26,0,0
35,0,0
48,0,0
64,0,0
82,0,0
93,0,0
104,0,0
109,0,0
111,0,0
111,0,0
112,0,0
113,0,0
112,0,0
113,0,0
111,0,0
111,0,0
110,0,0
110,0,0
109,0,0
109,0,0
110,0,0
110,0,0
111,0,0
111,0,0
111,0,0
112,0,0
112,0,0
113,0,0
113,0,0
113,0,0
114,0,0
114,0,0
113,0,0
113,0,0
113,0,0
114,0,0
116,0,0
118,0,0
116,0,0
116,0,0
117,0,0
117,0,0
116,0,0
115,0,0
114,0,0
113,0,0
115,0,0
116,0,0
117,0,0
117,0,0
117,0,0
117,0,0
117,0,0
118,0,0
119,0,0
119,0,0
118,0,0
118,0,0
119,0,0
120,0,0
119,0,0
117,0,0
118,0,0
121,0,0
116,0,0
94,0,0
58,0,0
28,0,0
16,0,0
17,0,0
