R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
0,0,0
1,0,0
37,0,0
161,0,0
161,0,0
168,0,0
170,0,0
179,0,0
181,0,0
186,0,0
188,0,0
190,0,0
194,0,0
197,0,0
199,0,0
197,0,0
200,0,0
202,0,0
202,0,0
200,0,0
200,0,0
201,0,0
203,0,0
204,0,0
205,0,0
207,0,0
208,0,0
212,0,0
219,0,0
228,0,0
234,0,0
236,0,0
242,0,0
250,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
254,0,0
255,0,0
254,0,0
255,0,0
255,0,0
254,0,0
254,0,0
253,0,0
253,0,0
254,0,0
254,0,0
254,0,0
252,0,0
251,0,0
252,0,0
252,0,0
253,0,0
254,0,0
254,0,0
252,0,0
251,0,0
250,0,0
254,0,0
254,0,0
253,0,0
252,0,0
251,0,0
250,0,0
250,0,0
249,0,0
251,0,0
251,0,0
251,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
251,0,0
253,0,0
253,0,0
252,0,0
252,0,0
252,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
252,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
252,0,0
252,0,0
252,0,0
252,0,0
251,0,0
251,0,0
251,0,0
251,0,0
251,0,0
250,0,0
250,0,0
249,0,0
249,0,0
249,0,0
250,0,0
250,0,0
250,0,0
251,0,0
252,0,0
253,0,0
253,0,0
252,0,0
251,0,0
250,0,0
250,0,0
251,0,0
253,0,0
254,0,0
254,0,0
253,0,0
252,0,0
251,0,0
253,0,0
253,0,0
252,0,0
252,0,0
251,0,0
250,0,0
250,0,0
250,0,0
250,0,0
249,0,0
249,0,0
249,0,0
249,0,0
248,0,0
248,0,0
248,0,0
248,0,0
248,0,0
248,0,0
247,0,0
247,0,0
247,0,0
247,0,0
247,0,0
