R,G,B
138,101,95
139,101,95
142,101,95
139,101,95
131,101,95
122,101,95
116,101,95
113,101,95
112,101,95
116,101,95
109,101,95
95,101,95
85,101,95
84,101,95
82,101,95
79,101,95
89,101,95
90,101,95
90,101,95
90,101,95
90,101,95
92,101,95
96,101,95
101,101,95
106,101,95
111,101,95
119,101,95
126,101,95
133,101,95
140,101,95
146,101,95
152,101,95
152,101,95
148,101,95
140,101,95
127,101,95
112,101,95
105,101,95
108,101,95
115,101,95
120,101,95
126,101,95
130,101,95
130,101,95
128,101,95
128,101,95
127,101,95
126,101,95
122,101,95
120,101,95
113,101,95
106,101,95
106,101,95
107,101,95
110,101,95
114,101,95
115,101,95
114,101,95
114,101,95
116,101,95
115,101,95
112,101,95
108,101,95
103,101,95
101,101,95
104,101,95
105,101,95
108,101,95
110,101,95
109,101,95
106,101,95
103,101,95
98,101,95
94,101,95
93,101,95
93,101,95
91,101,95
89,101,95
87,101,95
87,101,95
83,101,95
83,101,95
82,101,95
79,101,95
78,101,95
78,101,95
78,101,95
78,101,95
82,101,95
86,101,95
88,101,95
90,101,95
96,101,95
105,101,95
113,101,95
120,101,95
136,101,95
159,101,95
185,101,95
216,101,95
233,101,95
239,101,95
242,101,95
235,101,95
231,101,95
232,101,95
234,101,95
237,101,95
235,101,95
230,101,95
220,101,95
213,101,95
188,101,95
159,101,95
130,101,95
131,101,95
160,101,95
194,101,95
210,101,95
213,101,95
213,101,95
221,101,95
227,101,95
228,101,95
233,101,95
236,101,95
236,101,95
236,101,95
234,101,95
230,101,95
229,101,95
227,101,95
225,101,95
225,101,95
226,101,95
224,101,95
222,101,95
223,101,95
224,101,95
223,101,95
224,101,95
225,101,95
224,101,95
223,101,95
212,101,95
183,101,95
141,101,95
111,101,95
100,101,95
97,101,95
100,101,95
107,101,95
107,101,95
113,101,95
116,101,95
116,101,95
116,101,95
115,101,95
115,101,95
117,101,95
118,101,95
121,101,95
123,101,95
124,101,95
128,101,95
133,101,95
134,101,95
134,101,95
132,101,95
133,101,95
134,101,95
132,101,95
117,101,95
94,101,95
68,101,95
52,101,95
49,101,95
50,101,95
51,101,95
49,101,95
47,101,95
44,101,95
42,101,95
41,101,95
41,101,95
42,101,95
40,101,95
36,101,95
35,101,95
35,101,95
35,101,95
33,101,95
28,101,95
28,101,95
28,101,95
28,101,95
25,101,95
25,101,95
24,101,95
24,101,95
22,101,95
22,101,95
21,101,95
21,101,95
21,101,95
21,101,95
22,101,95
22,101,95
23,101,95
23,101,95
23,101,95
23,101,95
23,101,95
22,101,95
21,101,95
21,101,95
21,101,95
21,101,95
20,101,95
19,101,95
19,101,95
20,101,95
21,101,95
22,101,95
23,101,95
23,101,95
23,101,95
22,101,95
20,101,95
19,101,95
19,101,95
20,101,95
21,101,95
20,101,95
20,101,95
20,101,95
20,101,95
21,101,95
22,101,95
22,101,95
24,101,95
22,101,95
19,101,95
17,101,95
16,101,95
17,101,95
19,101,95
20,101,95
23,101,95
23,101,95
138,106,100
143,106,100
145,106,100
143,106,100
134,106,100
126,106,100
119,106,100
118,106,100
119,106,100
120,106,100
116,106,100
109,106,100
104,106,100
98,106,100
91,106,100
84,106,100
92,106,100
92,106,100
94,106,100
94,106,100
94,106,100
96,106,100
98,106,100
101,106,100
104,106,100
107,106,100
114,106,100
123,106,100
130,106,100
139,106,100
146,106,100
153,106,100
157,106,100
150,106,100
141,106,100
127,106,100
113,106,100
106,106,100
107,106,100
112,106,100
118,106,100
122,106,100
127,106,100
128,106,100
128,106,100
127,106,100
125,106,100
122,106,100
121,106,100
118,106,100
111,106,100
105,106,100
104,106,100
106,106,100
109,106,100
113,106,100
114,106,100
114,106,100
115,106,100
118,106,100
118,106,100
113,106,100
108,106,100
102,106,100
100,106,100
103,106,100
104,106,100
107,106,100
108,106,100
107,106,100
104,106,100
102,106,100
98,106,100
93,106,100
92,106,100
91,106,100
90,106,100
87,106,100
85,106,100
84,106,100
83,106,100
83,106,100
83,106,100
80,106,100
79,106,100
79,106,100
78,106,100
79,106,100
87,106,100
89,106,100
90,106,100
91,106,100
97,106,100
105,106,100
115,106,100
123,106,100
147,106,100
171,106,100
199,106,100
224,106,100
235,106,100
240,106,100
243,106,100
236,106,100
232,106,100
232,106,100
233,106,100
235,106,100
236,106,100
232,106,100
226,106,100
220,106,100
206,106,100
188,106,100
169,106,100
168,106,100
185,106,100
204,106,100
216,106,100
218,106,100
217,106,100
224,106,100
227,106,100
230,106,100
235,106,100
238,106,100
237,106,100
237,106,100
231,106,100
229,106,100
230,106,100
229,106,100
227,106,100
227,106,100
227,106,100
226,106,100
226,106,100
226,106,100
226,106,100
224,106,100
223,106,100
224,106,100
224,106,100
222,106,100
216,106,100
194,106,100
157,106,100
125,106,100
109,106,100
101,106,100
98,106,100
100,106,100
110,106,100
114,106,100
116,106,100
115,106,100
116,106,100
116,106,100
117,106,100
119,106,100
120,106,100
122,106,100
125,106,100
127,106,100
131,106,100
133,106,100
132,106,100
129,106,100
133,106,100
134,106,100
133,106,100
125,106,100
107,106,100
85,106,100
65,106,100
53,106,100
51,106,100
51,106,100
49,106,100
46,106,100
43,106,100
40,106,100
39,106,100
39,106,100
40,106,100
40,106,100
38,106,100
35,106,100
34,106,100
34,106,100
34,106,100
33,106,100
28,106,100
28,106,100
28,106,100
27,106,100
24,106,100
24,106,100
22,106,100
22,106,100
22,106,100
22,106,100
20,106,100
21,106,100
21,106,100
21,106,100
21,106,100
22,106,100
23,106,100
23,106,100
23,106,100
23,106,100
22,106,100
21,106,100
20,106,100
20,106,100
20,106,100
20,106,100
19,106,100
19,106,100
19,106,100
20,106,100
21,106,100
22,106,100
23,106,100
23,106,100
23,106,100
22,106,100
21,106,100
20,106,100
19,106,100
20,106,100
21,106,100
20,106,100
20,106,100
20,106,100
20,106,100
21,106,100
22,106,100
22,106,100
23,106,100
21,106,100
19,106,100
17,106,100
17,106,100
18,106,100
20,106,100
21,106,100
25,106,100
25,106,100
140,115,109
145,115,109
152,115,109
149,115,109
140,115,109
132,115,109
127,115,109
123,115,109
123,115,109
124,115,109
128,115,109
130,115,109
131,115,109
123,115,109
107,115,109
93,115,109
97,115,109
98,115,109
99,115,109
100,115,109
100,115,109
100,115,109
100,115,109
101,115,109
105,115,109
107,115,109
113,115,109
122,115,109
130,115,109
138,115,109
149,115,109
156,115,109
157,115,109
150,115,109
138,115,109
125,115,109
113,115,109
107,115,109
107,115,109
111,115,109
118,115,109
120,115,109
122,115,109
125,115,109
127,115,109
126,115,109
122,115,109
118,115,109
119,115,109
117,115,109
109,115,109
103,115,109
102,115,109
103,115,109
106,115,109
112,115,109
111,115,109
114,115,109
117,115,109
121,115,109
120,115,109
115,115,109
109,115,109
102,115,109
99,115,109
101,115,109
102,115,109
105,115,109
105,115,109
104,115,109
101,115,109
100,115,109
94,115,109
92,115,109
90,115,109
90,115,109
88,115,109
87,115,109
85,115,109
84,115,109
82,115,109
83,115,109
83,115,109
80,115,109
80,115,109
79,115,109
79,115,109
80,115,109
89,115,109
91,115,109
91,115,109
92,115,109
99,115,109
108,115,109
119,115,109
130,115,109
155,115,109
184,115,109
212,115,109
232,115,109
236,115,109
234,115,109
238,115,109
234,115,109
234,115,109
232,115,109
231,115,109
233,115,109
236,115,109
235,115,109
233,115,109
230,115,109
223,115,109
216,115,109
208,115,109
204,115,109
206,115,109
212,115,109
219,115,109
223,115,109
225,115,109
228,115,109
231,115,109
232,115,109
237,115,109
238,115,109
237,115,109
235,115,109
228,115,109
228,115,109
231,115,109
231,115,109
229,115,109
228,115,109
229,115,109
227,115,109
230,115,109
229,115,109
227,115,109
224,115,109
223,115,109
224,115,109
223,115,109
222,115,109
225,115,109
206,115,109
170,115,109
135,115,109
111,115,109
101,115,109
97,115,109
99,115,109
111,115,109
114,115,109
115,115,109
114,115,109
116,115,109
118,115,109
119,115,109
123,115,109
123,115,109
125,115,109
128,115,109
131,115,109
134,115,109
135,115,109
129,115,109
124,115,109
126,115,109
132,115,109
133,115,109
121,115,109
97,115,109
75,115,109
57,115,109
46,115,109
50,115,109
48,115,109
44,115,109
40,115,109
37,115,109
36,115,109
37,115,109
38,115,109
38,115,109
38,115,109
36,115,109
33,115,109
32,115,109
32,115,109
32,115,109
31,115,109
28,115,109
28,115,109
27,115,109
24,115,109
23,115,109
22,115,109
21,115,109
21,115,109
21,115,109
21,115,109
20,115,109
21,115,109
21,115,109
21,115,109
21,115,109
21,115,109
22,115,109
22,115,109
22,115,109
22,115,109
21,115,109
20,115,109
19,115,109
19,115,109
19,115,109
19,115,109
19,115,109
19,115,109
19,115,109
20,115,109
21,115,109
22,115,109
23,115,109
23,115,109
23,115,109
22,115,109
20,115,109
19,115,109
19,115,109
19,115,109
20,115,109
20,115,109
20,115,109
20,115,109
20,115,109
21,115,109
22,115,109
22,115,109
22,115,109
21,115,109
19,115,109
18,115,109
18,115,109
19,115,109
21,115,109
22,115,109
26,115,109
26,115,109
141,117,111
147,117,111
153,117,111
152,117,111
147,117,111
139,117,111
132,117,111
126,117,111
128,117,111
132,117,111
146,117,111
161,117,111
163,117,111
150,117,111
126,117,111
106,117,111
103,117,111
102,117,111
102,117,111
102,117,111
101,117,111
101,117,111
99,117,111
99,117,111
102,117,111
105,117,111
111,117,111
118,117,111
128,117,111
135,117,111
145,117,111
151,117,111
150,117,111
144,117,111
132,117,111
120,117,111
109,117,111
105,117,111
110,117,111
114,117,111
120,117,111
120,117,111
121,117,111
122,117,111
124,117,111
123,117,111
121,117,111
119,117,111
119,117,111
115,117,111
108,117,111
101,117,111
99,117,111
99,117,111
102,117,111
108,117,111
110,117,111
114,117,111
118,117,111
121,117,111
121,117,111
116,117,111
111,117,111
104,117,111
100,117,111
100,117,111
101,117,111
101,117,111
102,117,111
101,117,111
98,117,111
96,117,111
90,117,111
90,117,111
89,117,111
90,117,111
91,117,111
89,117,111
86,117,111
84,117,111
81,117,111
82,117,111
81,117,111
80,117,111
80,117,111
79,117,111
79,117,111
80,117,111
85,117,111
89,117,111
91,117,111
92,117,111
98,117,111
107,117,111
124,117,111
140,117,111
167,117,111
196,117,111
220,117,111
235,117,111
235,117,111
232,117,111
233,117,111
232,117,111
234,117,111
232,117,111
232,117,111
233,117,111
236,117,111
237,117,111
237,117,111
235,117,111
230,117,111
230,117,111
227,117,111
221,117,111
217,117,111
217,117,111
220,117,111
226,117,111
229,117,111
233,117,111
233,117,111
234,117,111
237,117,111
237,117,111
233,117,111
231,117,111
227,117,111
228,117,111
231,117,111
232,117,111
229,117,111
228,117,111
229,117,111
228,117,111
230,117,111
229,117,111
227,117,111
224,117,111
223,117,111
224,117,111
224,117,111
223,117,111
229,117,111
217,117,111
186,117,111
146,117,111
118,117,111
103,117,111
97,117,111
97,117,111
108,117,111
111,117,111
113,117,111
113,117,111
117,117,111
118,117,111
120,117,111
122,117,111
124,117,111
128,117,111
133,117,111
134,117,111
136,117,111
135,117,111
130,117,111
123,117,111
124,117,111
132,117,111
131,117,111
111,117,111
85,117,111
63,117,111
50,117,111
44,117,111
46,117,111
43,117,111
39,117,111
36,117,111
33,117,111
33,117,111
34,117,111
35,117,111
35,117,111
34,117,111
32,117,111
31,117,111
31,117,111
29,117,111
29,117,111
28,117,111
27,117,111
27,117,111
24,117,111
24,117,111
23,117,111
21,117,111
21,117,111
21,117,111
21,117,111
21,117,111
19,117,111
20,117,111
21,117,111
21,117,111
21,117,111
20,117,111
21,117,111
21,117,111
21,117,111
21,117,111
21,117,111
21,117,111
20,117,111
20,117,111
19,117,111
19,117,111
19,117,111
19,117,111
20,117,111
21,117,111
22,117,111
22,117,111
23,117,111
23,117,111
22,117,111
21,117,111
20,117,111
19,117,111
18,117,111
18,117,111
19,117,111
19,117,111
20,117,111
20,117,111
21,117,111
21,117,111
22,117,111
23,117,111
23,117,111
22,117,111
21,117,111
19,117,111
19,117,111
20,117,111
21,117,111
22,117,111
26,117,111
26,117,111
143,116,110
147,116,110
152,116,110
153,116,110
151,116,110
144,116,110
135,116,110
127,116,110
132,116,110
140,116,110
163,116,110
