R,G,B
0,0,2
0,0,2
0,0,2
1,0,2
1,0,2
1,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
3,0,2
4,0,2
86,0,2
200,0,2
207,0,2
201,0,2
202,0,2
206,0,2
207,0,2
206,0,2
208,0,2
210,0,2
214,0,2
207,0,2
194,0,2
176,0,2
157,0,2
151,0,2
144,0,2
131,0,2
121,0,2
115,0,2
112,0,2
109,0,2
104,0,2
108,0,2
112,0,2
110,0,2
101,0,2
89,0,2
78,0,2
76,0,2
79,0,2
82,0,2
88,0,2
93,0,2
101,0,2
102,0,2
106,0,2
112,0,2
117,0,2
120,0,2
124,0,2
128,0,2
127,0,2
128,0,2
123,0,2
116,0,2
112,0,2
110,0,2
111,0,2
115,0,2
118,0,2
116,0,2
117,0,2
123,0,2
132,0,2
135,0,2
128,0,2
117,0,2
130,0,2
128,0,2
131,0,2
121,0,2
126,0,2
142,0,2
132,0,2
121,0,2
127,0,2
138,0,2
135,0,2
136,0,2
145,0,2
142,0,2
134,0,2
137,0,2
132,0,2
129,0,2
126,0,2
133,0,2
147,0,2
154,0,2
149,0,2
142,0,2
149,0,2
157,0,2
159,0,2
158,0,2
164,0,2
167,0,2
167,0,2
163,0,2
170,0,2
157,0,2
157,0,2
166,0,2
170,0,2
173,0,2
182,0,2
188,0,2
180,0,2
174,0,2
169,0,2
171,0,2
174,0,2
176,0,2
178,0,2
182,0,2
184,0,2
183,0,2
182,0,2
180,0,2
175,0,2
172,0,2
174,0,2
178,0,2
178,0,2
178,0,2
179,0,2
181,0,2
181,0,2
179,0,2
176,0,2
175,0,2
179,0,2
179,0,2
181,0,2
182,0,2
179,0,2
174,0,2
175,0,2
179,0,2
182,0,2
179,0,2
176,0,2
174,0,2
174,0,2
171,0,2
168,0,2
165,0,2
164,0,2
167,0,2
166,0,2
167,0,2
174,0,2
176,0,2
173,0,2
171,0,2
172,0,2
175,0,2
175,0,2
174,0,2
173,0,2
169,0,2
169,0,2
172,0,2
170,0,2
167,0,2
165,0,2
163,0,2
161,0,2
157,0,2
156,0,2
156,0,2
154,0,2
161,0,2
165,0,2
162,0,2
159,0,2
159,0,2
159,0,2
159,0,2
158,0,2
158,0,2
156,0,2
155,0,2
155,0,2
152,0,2
151,0,2
150,0,2
153,0,2
159,0,2
164,0,2
168,0,2
176,0,2
181,0,2
185,0,2
187,0,2
188,0,2
187,0,2
189,0,2
191,0,2
192,0,2
200,0,2
172,0,2
100,0,2
27,0,2
15,0,2
22,0,2
28,0,2
23,0,2
19,0,2
14,0,2
18,0,2
13,0,2
19,0,2
23,0,2
22,0,2
20,0,2
16,0,2
13,0,2
14,0,2
18,0,2
16,0,2
15,0,2
16,0,2
17,0,2
18,0,2
18,0,2
17,0,2
21,0,2
19,0,2
16,0,2
17,0,2
17,0,2
17,0,2
11,0,2
4,0,2
16,0,2
15,0,2
29,0,2
29,0,2
24,0,2
26,0,2
21,0,2
18,0,2
21,0,2
22,0,2
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
