R,G,B
250,207,188
251,207,188
251,207,188
251,207,188
251,207,188
251,207,188
252,207,188
252,207,188
251,207,188
251,207,188
251,207,188
251,207,188
251,207,188
251,207,188
251,207,188
251,207,188
250,207,188
251,207,188
251,207,188
251,207,188
251,207,188
250,207,188
248,207,188
247,207,188
246,207,188
246,207,188
246,207,188
247,207,188
247,207,188
250,207,188
253,207,188
252,207,188
251,207,188
250,207,188
248,207,188
246,207,188
244,207,188
243,207,188
245,207,188
247,207,188
250,207,188
248,207,188
244,207,188
238,207,188
232,207,188
229,207,188
233,207,188
236,207,188
242,207,188
249,207,188
251,207,188
251,207,188
249,207,188
248,207,188
246,207,188
243,207,188
239,207,188
238,207,188
236,207,188
237,207,188
239,207,188
240,207,188
244,207,188
245,207,188
241,207,188
242,207,188
244,207,188
247,207,188
247,207,188
245,207,188
242,207,188
239,207,188
236,207,188
235,207,188
237,207,188
243,207,188
242,207,188
244,207,188
243,207,188
237,207,188
246,207,188
240,207,188
230,207,188
225,207,188
222,207,188
221,207,188
217,207,188
215,207,188
216,207,188
215,207,188
213,207,188
212,207,188
209,207,188
208,207,188
213,207,188
221,207,188
224,207,188
234,207,188
240,207,188
243,207,188
242,207,188
243,207,188
242,207,188
241,207,188
241,207,188
240,207,188
239,207,188
239,207,188
240,207,188
240,207,188
241,207,188
241,207,188
238,207,188
238,207,188
238,207,188
238,207,188
239,207,188
240,207,188
240,207,188
241,207,188
240,207,188
239,207,188
238,207,188
237,207,188
236,207,188
234,207,188
231,207,188
231,207,188
233,207,188
233,207,188
233,207,188
234,207,188
235,207,188
235,207,188
237,207,188
237,207,188
235,207,188
235,207,188
234,207,188
231,207,188
224,207,188
215,207,188
203,207,188
197,207,188
183,207,188
183,207,188
183,207,188
188,207,188
195,207,188
203,207,188
210,207,188
213,207,188
217,207,188
219,207,188
224,207,188
228,207,188
231,207,188
232,207,188
232,207,188
232,207,188
235,207,188
232,207,188
231,207,188
225,207,188
215,207,188
198,207,188
175,207,188
158,207,188
141,207,188
147,207,188
162,207,188
184,207,188
204,207,188
218,207,188
226,207,188
229,207,188
234,207,188
233,207,188
230,207,188
228,207,188
227,207,188
225,207,188
224,207,188
224,207,188
224,207,188
223,207,188
224,207,188
224,207,188
218,207,188
214,207,188
214,207,188
216,207,188
221,207,188
221,207,188
221,207,188
222,207,188
222,207,188
223,207,188
223,207,188
224,207,188
220,207,188
215,207,188
213,207,188
211,207,188
208,207,188
206,207,188
202,207,188
196,207,188
191,207,188
184,207,188
175,207,188
169,207,188
163,207,188
153,207,188
140,207,188
133,207,188
125,207,188
115,207,188
104,207,188
95,207,188
88,207,188
85,207,188
83,207,188
83,207,188
83,207,188
86,207,188
82,207,188
77,207,188
78,207,188
78,207,188
77,207,188
79,207,188
76,207,188
79,207,188
82,207,188
82,207,188
82,207,188
85,207,188
85,207,188
84,207,188
69,207,188
54,207,188
39,207,188
32,207,188
31,207,188
36,207,188
37,207,188
34,207,188
35,207,188
34,207,188
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
250,208,189
251,208,189
251,208,189
251,208,189
251,208,189
250,208,189
248,208,189
247,208,189
246,208,189
246,208,189
246,208,189
246,208,189
249,208,189
249,208,189
252,208,189
252,208,189
251,208,189
250,208,189
248,208,189
246,208,189
244,208,189
243,208,189
244,208,189
246,208,189
247,208,189
246,208,189
242,208,189
237,208,189
233,208,189
231,208,189
235,208,189
240,208,189
243,208,189
250,208,189
253,208,189
253,208,189
252,208,189
251,208,189
249,208,189
246,208,189
244,208,189
243,208,189
242,208,189
241,208,189
242,208,189
243,208,189
245,208,189
247,208,189
243,208,189
244,208,189
247,208,189
246,208,189
247,208,189
245,208,189
241,208,189
238,208,189
235,208,189
234,208,189
237,208,189
241,208,189
243,208,189
245,208,189
242,208,189
239,208,189
249,208,189
242,208,189
236,208,189
230,208,189
229,208,189
227,208,189
224,208,189
221,208,189
221,208,189
219,208,189
217,208,189
217,208,189
214,208,189
214,208,189
219,208,189
225,208,189
228,208,189
236,208,189
244,208,189
244,208,189
242,208,189
244,208,189
243,208,189
240,208,189
241,208,189
239,208,189
239,208,189
239,208,189
241,208,189
241,208,189
242,208,189
242,208,189
240,208,189
240,208,189
240,208,189
240,208,189
241,208,189
241,208,189
241,208,189
241,208,189
241,208,189
239,208,189
238,208,189
236,208,189
235,208,189
234,208,189
231,208,189
231,208,189
233,208,189
233,208,189
234,208,189
234,208,189
235,208,189
235,208,189
237,208,189
237,208,189
236,208,189
236,208,189
234,208,189
231,208,189
226,208,189
219,208,189
210,208,189
206,208,189
195,208,189
196,208,189
199,208,189
205,208,189
212,208,189
217,208,189
219,208,189
222,208,189
225,208,189
226,208,189
230,208,189
232,208,189
233,208,189
236,208,189
236,208,189
236,208,189
236,208,189
233,208,189
232,208,189
227,208,189
215,208,189
199,208,189
176,208,189
158,208,189
142,208,189
147,208,189
162,208,189
185,208,189
206,208,189
220,208,189
227,208,189
232,208,189
232,208,189
231,208,189
229,208,189
228,208,189
226,208,189
224,208,189
223,208,189
223,208,189
223,208,189
223,208,189
223,208,189
223,208,189
218,208,189
215,208,189
214,208,189
217,208,189
219,208,189
219,208,189
220,208,189
221,208,189
221,208,189
221,208,189
221,208,189
219,208,189
219,208,189
214,208,189
212,208,189
209,208,189
205,208,189
201,208,189
196,208,189
190,208,189
182,208,189
174,208,189
165,208,189
158,208,189
150,208,189
138,208,189
127,208,189
119,208,189
110,208,189
102,208,189
92,208,189
86,208,189
81,208,189
80,208,189
81,208,189
82,208,189
84,208,189
86,208,189
82,208,189
78,208,189
78,208,189
78,208,189
77,208,189
79,208,189
77,208,189
80,208,189
82,208,189
81,208,189
82,208,189
84,208,189
84,208,189
83,208,189
67,208,189
52,208,189
37,208,189
32,208,189
33,208,189
37,208,189
38,208,189
33,208,189
33,208,189
33,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
250,208,189
250,208,189
250,208,189
250,208,189
250,208,189
250,208,189
251,208,189
251,208,189
251,208,189
251,208,189
251,208,189
250,208,189
251,208,189
251,208,189
251,208,189
251,208,189
250,208,189
248,208,189
247,208,189
246,208,189
246,208,189
245,208,189
246,208,189
248,208,189
249,208,189
252,208,189
252,208,189
250,208,189
250,208,189
248,208,189
246,208,189
244,208,189
243,208,189
243,208,189
245,208,189
246,208,189
245,208,189
245,208,189
240,208,189
236,208,189
236,208,189
239,208,189
245,208,189
243,208,189
249,208,189
254,208,189
255,208,189
253,208,189
253,208,189
252,208,189
248,208,189
248,208,189
247,208,189
246,208,189
246,208,189
245,208,189
246,208,189
246,208,189
247,208,189
245,208,189
244,208,189
246,208,189
247,208,189
246,208,189
244,208,189
240,208,189
237,208,189
235,208,189
234,208,189
236,208,189
241,208,189
242,208,189
243,208,189
243,208,189
239,208,189
252,208,189
248,208,189
243,208,189
240,208,189
238,208,189
238,208,189
234,208,189
230,208,189
229,208,189
226,208,189
226,208,189
225,208,189
224,208,189
222,208,189
226,208,189
232,208,189
234,208,189
241,208,189
247,208,189
247,208,189
246,208,189
245,208,189
242,208,189
240,208,189
239,208,189
239,208,189
239,208,189
240,208,189
240,208,189
242,208,189
243,208,189
242,208,189
241,208,189
241,208,189
241,208,189
242,208,189
242,208,189
242,208,189
241,208,189
241,208,189
241,208,189
239,208,189
238,208,189
236,208,189
235,208,189
233,208,189
231,208,189
230,208,189
233,208,189
233,208,189
234,208,189
234,208,189
235,208,189
235,208,189
237,208,189
237,208,189
236,208,189
235,208,189
233,208,189
231,208,189
227,208,189
224,208,189
219,208,189
217,208,189
211,208,189
213,208,189
219,208,189
225,208,189
231,208,189
232,208,189
231,208,189
229,208,189
230,208,189
233,208,189
234,208,189
237,208,189
237,208,189
238,208,189
239,208,189
239,208,189
236,208,189
234,208,189
233,208,189
227,208,189
215,208,189
199,208,189
175,208,189
157,208,189
141,208,189
148,208,189
163,208,189
186,208,189
207,208,189
221,208,189
230,208,189
232,208,189
231,208,189
230,208,189
228,208,189
226,208,189
224,208,189
223,208,189
222,208,189
222,208,189
223,208,189
223,208,189
223,208,189
223,208,189
218,208,189
216,208,189
216,208,189
216,208,189
220,208,189
220,208,189
221,208,189
221,208,189
220,208,189
217,208,189
216,208,189
215,208,189
213,208,189
207,208,189
203,208,189
200,208,189
194,208,189
188,208,189
182,208,189
175,208,189
166,208,189
158,208,189
148,208,189
140,208,189
130,208,189
120,208,189
109,208,189
103,208,189
94,208,189
88,208,189
81,208,189
76,208,189
76,208,189
77,208,189
80,208,189
82,208,189
84,208,189
85,208,189
82,208,189
78,208,189
79,208,189
78,208,189
78,208,189
78,208,189
78,208,189
80,208,189
80,208,189
81,208,189
81,208,189
84,208,189
83,208,189
81,208,189
64,208,189
48,208,189
35,208,189
31,208,189
34,208,189
38,208,189
36,208,189
33,208,189
31,208,189
32,208,189
251,207,188
251,207,188
250,207,188
250,207,188
250,207,188
250,207,188
250,207,188
250,207,188
249,207,188
250,207,188
250,207,188
250,207,188
251,207,188
251,207,188
251,207,188
251,207,188
250,207,188
250,207,188
251,207,188
251,207,188
251,207,188
251,207,188
250,207,188
248,207,188
247,207,188
246,207,188
245,207,188
246,207,188
249,207,188
249,207,188
252,207,188
252,207,188
251,207,188
251,207,188
250,207,188
248,207,188
244,207,188
244,207,188
243,207,188
244,207,188
246,207,188
248,207,188
247,207,188
244,207,188
241,207,188
240,207,188
244,207,188
249,207,188
242,207,188
248,207,188
253,207,188
254,207,188
255,207,188
254,207,188
252,207,188
250,207,188
248,207,188
248,207,188
246,207,188
246,207,188
246,207,188
246,207,188
245,207,188
245,207,188
243,207,188
244,207,188
245,207,188
246,207,188
245,207,188
244,207,188
240,207,188
237,207,188
237,207,188
235,207,188
237,207,188
239,207,188
240,207,188
241,207,188
242,207,188
239,207,188
252,207,188
250,207,188
248,207,188
247,207,188
246,207,188
245,207,188
242,207,188
240,207,188
238,207,188
235,207,188
235,207,188
234,207,188
232,207,188
231,207,188
235,207,188
239,207,188
239,207,188
245,207,188
249,207,188
248,207,188
247,207,188
244,207,188
242,207,188
239,207,188
238,207,188
239,207,188
240,207,188
