R,G,B
30,20,21
30,20,21
30,20,21
30,20,21
30,20,21
29,20,21
29,20,21
29,20,21
29,20,21
27,20,21
27,20,21
26,20,21
26,20,21
26,20,21
25,20,21
25,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
24,20,21
24,20,21
24,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
26,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
24,20,21
23,20,21
23,20,21
23,20,21
22,20,21
22,20,21
22,20,21
22,20,21
22,20,21
22,20,21
22,20,21
22,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
23,20,21
24,20,21
26,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
25,20,21
23,20,21
23,20,21
23,20,21
23,20,21
22,20,21
22,20,21
22,20,21
22,20,21
21,20,21
21,20,21
21,20,21
21,20,21
20,20,21
18,20,21
18,20,21
17,20,21
17,20,21
16,20,21
14,20,21
11,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
9,20,21
6,20,21
3,20,21
3,20,21
6,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
8,20,21
7,20,21
7,20,21
8,20,21
8,20,21
8,20,21
8,20,21
9,20,21
9,20,21
10,20,21
10,20,21
10,20,21
9,20,21
9,20,21
9,20,21
8,20,21
8,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
9,20,21
10,20,21
10,20,21
10,20,21
10,20,21
10,20,21
10,20,21
10,20,21
10,20,21
10,20,21
10,20,21
31,21,22
31,21,22
31,21,22
30,21,22
30,21,22
29,21,22
29,21,22
29,21,22
29,21,22
27,21,22
27,21,22
27,21,22
26,21,22
26,21,22
25,21,22
25,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
26,21,22
