R,G,B
108,79,63
111,79,63
116,79,63
121,79,63
125,79,63
126,79,63
125,79,63
123,79,63
118,79,63
119,79,63
122,79,63
124,79,63
126,79,63
126,79,63
125,79,63
125,79,63
123,79,63
126,79,63
131,79,63
133,79,63
130,79,63
127,79,63
128,79,63
132,79,63
137,79,63
135,79,63
136,79,63
141,79,63
144,79,63
146,79,63
146,79,63
143,79,63
147,79,63
146,79,63
138,79,63
138,79,63
143,79,63
133,79,63
123,79,63
129,79,63
143,79,63
179,79,63
212,79,63
224,79,63
222,79,63
221,79,63
222,79,63
226,79,63
224,79,63
223,79,63
220,79,63
218,79,63
214,79,63
208,79,63
206,79,63
207,79,63
203,79,63
197,79,63
191,79,63
192,79,63
199,79,63
209,79,63
213,79,63
213,79,63
215,79,63
215,79,63
218,79,63
224,79,63
225,79,63
222,79,63
220,79,63
220,79,63
220,79,63
222,79,63
222,79,63
214,79,63
207,79,63
215,79,63
223,79,63
222,79,63
207,79,63
164,79,63
130,79,63
121,79,63
133,79,63
139,79,63
135,79,63
137,79,63
134,79,63
136,79,63
140,79,63
148,79,63
159,79,63
170,79,63
177,79,63
181,79,63
175,79,63
170,79,63
167,79,63
169,79,63
168,79,63
158,79,63
144,79,63
135,79,63
137,79,63
147,79,63
149,79,63
144,79,63
129,79,63
113,79,63
107,79,63
93,79,63
71,79,63
57,79,63
40,79,63
33,79,63
40,79,63
59,79,63
74,79,63
80,79,63
65,79,63
39,79,63
43,79,63
58,79,63
70,79,63
79,79,63
79,79,63
86,79,63
110,79,63
120,79,63
113,79,63
106,79,63
117,79,63
124,79,63
124,79,63
127,79,63
128,79,63
124,79,63
123,79,63
123,79,63
121,79,63
120,79,63
120,79,63
121,79,63
117,79,63
118,79,63
119,79,63
119,79,63
117,79,63
111,79,63
104,79,63
99,79,63
92,79,63
89,79,63
85,79,63
80,79,63
81,79,63
83,79,63
82,79,63
80,79,63
80,79,63
83,79,63
84,79,63
85,79,63
86,79,63
81,79,63
74,79,63
75,79,63
79,79,63
78,79,63
70,79,63
56,79,63
44,79,63
40,79,63
44,79,63
49,79,63
51,79,63
56,79,63
65,79,63
86,79,63
115,79,63
141,79,63
153,79,63
157,79,63
153,79,63
151,79,63
155,79,63
155,79,63
149,79,63
147,79,63
147,79,63
143,79,63
146,79,63
144,79,63
142,79,63
146,79,63
149,79,63
150,79,63
150,79,63
151,79,63
152,79,63
151,79,63
150,79,63
149,79,63
148,79,63
149,79,63
150,79,63
150,79,63
151,79,63
152,79,63
153,79,63
153,79,63
149,79,63
146,79,63
144,79,63
142,79,63
144,79,63
