R,G,B
99,62,53
99,62,53
101,62,53
103,62,53
103,62,53
104,62,53
103,62,53
102,62,53
106,62,53
106,62,53
106,62,53
106,62,53
106,62,53
107,62,53
108,62,53
109,62,53
106,62,53
106,62,53
106,62,53
107,62,53
109,62,53
110,62,53
110,62,53
108,62,53
109,62,53
107,62,53
108,62,53
106,62,53
111,62,53
113,62,53
116,62,53
146,62,53
181,62,53
227,62,53
248,62,53
255,62,53
252,62,53
253,62,53
249,62,53
252,62,53
249,62,53
248,62,53
248,62,53
250,62,53
250,62,53
249,62,53
248,62,53
250,62,53
250,62,53
250,62,53
251,62,53
252,62,53
253,62,53
253,62,53
252,62,53
251,62,53
253,62,53
253,62,53
252,62,53
252,62,53
252,62,53
253,62,53
254,62,53
254,62,53
252,62,53
252,62,53
252,62,53
252,62,53
252,62,53
252,62,53
254,62,53
254,62,53
252,62,53
253,62,53
253,62,53
250,62,53
250,62,53
254,62,53
252,62,53
242,62,53
222,62,53
171,62,53
133,62,53
117,62,53
116,62,53
119,62,53
116,62,53
120,62,53
118,62,53
118,62,53
115,62,53
107,62,53
96,62,53
88,62,53
83,62,53
81,62,53
89,62,53
90,62,53
93,62,53
98,62,53
104,62,53
107,62,53
105,62,53
103,62,53
96,62,53
91,62,53
84,62,53
79,62,53
79,62,53
83,62,53
88,62,53
91,62,53
106,62,53
110,62,53
114,62,53
115,62,53
116,62,53
120,62,53
127,62,53
132,62,53
135,62,53
137,62,53
139,62,53
139,62,53
139,62,53
139,62,53
135,62,53
129,62,53
122,62,53
116,62,53
113,62,53
112,62,53
112,62,53
108,62,53
105,62,53
103,62,53
100,62,53
106,62,53
110,62,53
112,62,53
113,62,53
115,62,53
125,62,53
138,62,53
169,62,53
184,62,53
194,62,53
191,62,53
185,62,53
176,62,53
166,62,53
165,62,53
156,62,53
145,62,53
134,62,53
131,62,53
125,62,53
113,62,53
120,62,53
146,62,53
166,62,53
181,62,53
189,62,53
192,62,53
197,62,53
197,62,53
196,62,53
203,62,53
207,62,53
209,62,53
207,62,53
206,62,53
206,62,53
208,62,53
210,62,53
212,62,53
203,62,53
202,62,53
197,62,53
189,62,53
179,62,53
174,62,53
170,62,53
167,62,53
165,62,53
162,62,53
162,62,53
161,62,53
163,62,53
166,62,53
168,62,53
169,62,53
169,62,53
171,62,53
174,62,53
174,62,53
176,62,53
176,62,53
173,62,53
172,62,53
173,62,53
175,62,53
180,62,53
188,62,53
197,62,53
207,62,53
210,62,53
209,62,53
212,62,53
213,62,53
215,62,53
218,62,53
219,62,53
220,62,53
217,62,53
216,62,53
217,62,53
217,62,53
218,62,53
217,62,53
214,62,53
214,62,53
214,62,53
216,62,53
222,62,53
224,62,53
224,62,53
224,62,53
225,62,53
224,62,53
227,62,53
225,62,53
230,62,53
231,62,53
231,62,53
232,62,53
236,62,53
240,62,53
243,62,53
243,62,53
244,62,53
244,62,53
248,62,53
252,62,53
255,62,53
254,62,53
250,62,53
245,62,53
241,62,53
241,62,53
100,63,54
100,63,54
99,63,54
101,63,54
103,63,54
104,63,54
104,63,54
104,63,54
104,63,54
106,63,54
106,63,54
107,63,54
107,63,54
108,63,54
109,63,54
110,63,54
106,63,54
106,63,54
106,63,54
108,63,54
110,63,54
111,63,54
111,63,54
109,63,54
109,63,54
107,63,54
109,63,54
107,63,54
113,63,54
115,63,54
123,63,54
157,63,54
193,63,54
235,63,54
250,63,54
254,63,54
250,63,54
253,63,54
252,63,54
251,63,54
250,63,54
249,63,54
249,63,54
250,63,54
250,63,54
248,63,54
249,63,54
250,63,54
252,63,54
252,63,54
252,63,54
252,63,54
252,63,54
253,63,54
253,63,54
253,63,54
253,63,54
253,63,54
253,63,54
252,63,54
252,63,54
253,63,54
253,63,54
254,63,54
252,63,54
252,63,54
252,63,54
252,63,54
252,63,54
253,63,54
254,63,54
254,63,54
252,63,54
253,63,54
253,63,54
250,63,54
250,63,54
254,63,54
251,63,54
242,63,54
222,63,54
171,63,54
133,63,54
117,63,54
116,63,54
119,63,54
116,63,54
120,63,54
119,63,54
118,63,54
114,63,54
106,63,54
95,63,54
88,63,54
85,63,54
83,63,54
91,63,54
92,63,54
94,63,54
98,63,54
103,63,54
105,63,54
103,63,54
98,63,54
95,63,54
91,63,54
84,63,54
79,63,54
79,63,54
83,63,54
87,63,54
90,63,54
106,63,54
109,63,54
114,63,54
115,63,54
118,63,54
122,63,54
128,63,54
133,63,54
136,63,54
138,63,54
140,63,54
140,63,54
138,63,54
135,63,54
130,63,54
124,63,54
116,63,54
113,63,54
112,63,54
113,63,54
113,63,54
110,63,54
107,63,54
106,63,54
106,63,54
110,63,54
113,63,54
117,63,54
119,63,54
120,63,54
125,63,54
132,63,54
150,63,54
169,63,54
182,63,54
187,63,54
186,63,54
178,63,54
170,63,54
166,63,54
157,63,54
148,63,54
136,63,54
128,63,54
124,63,54
117,63,54
127,63,54
149,63,54
172,63,54
185,63,54
191,63,54
192,63,54
198,63,54
196,63,54
195,63,54
201,63,54
204,63,54
207,63,54
209,63,54
208,63,54
208,63,54
211,63,54
212,63,54
213,63,54
204,63,54
203,63,54
197,63,54
189,63,54
180,63,54
174,63,54
170,63,54
167,63,54
167,63,54
164,63,54
163,63,54
161,63,54
162,63,54
164,63,54
166,63,54
168,63,54
169,63,54
172,63,54
174,63,54
175,63,54
176,63,54
176,63,54
173,63,54
172,63,54
171,63,54
173,63,54
177,63,54
182,63,54
191,63,54
200,63,54
204,63,54
205,63,54
209,63,54
210,63,54
211,63,54
213,63,54
213,63,54
215,63,54
213,63,54
213,63,54
213,63,54
215,63,54
216,63,54
216,63,54
214,63,54
213,63,54
214,63,54
215,63,54
220,63,54
222,63,54
222,63,54
221,63,54
222,63,54
221,63,54
223,63,54
221,63,54
225,63,54
227,63,54
227,63,54
228,63,54
232,63,54
235,63,54
239,63,54
239,63,54
245,63,54
244,63,54
246,63,54
250,63,54
253,63,54
254,63,54
252,63,54
250,63,54
248,63,54
249,63,54
96,63,53
96,63,53
97,63,53
99,63,53
101,63,53
103,63,53
104,63,53
104,63,53
104,63,53
105,63,53
107,63,53
107,63,53
108,63,53
108,63,53
110,63,53
111,63,53
107,63,53
107,63,53
107,63,53
109,63,53
111,63,53
112,63,53
110,63,53
109,63,53
108,63,53
106,63,53
110,63,53
111,63,53
115,63,53
117,63,53
132,63,53
171,63,53
210,63,53
246,63,53
253,63,53
252,63,53
248,63,53
254,63,53
253,63,53
250,63,53
251,63,53
249,63,53
249,63,53
249,63,53
249,63,53
249,63,53
250,63,53
251,63,53
253,63,53
253,63,53
253,63,53
253,63,53
252,63,53
252,63,53
253,63,53
254,63,53
254,63,53
253,63,53
253,63,53
253,63,53
253,63,53
253,63,53
253,63,53
253,63,53
252,63,53
252,63,53
252,63,53
252,63,53
253,63,53
253,63,53
254,63,53
254,63,53
252,63,53
253,63,53
253,63,53
250,63,53
250,63,53
253,63,53
251,63,53
242,63,53
222,63,53
171,63,53
134,63,53
117,63,53
117,63,53
