R,G,B
4,0,2
1,0,2
0,0,2
0,0,2
0,0,2
0,0,2
1,0,2
3,0,2
3,0,2
1,0,2
0,0,2
0,0,2
0,0,2
7,0,2
13,0,2
54,0,2
89,0,2
89,0,2
88,0,2
87,0,2
86,0,2
85,0,2
85,0,2
82,0,2
81,0,2
80,0,2
80,0,2
81,0,2
79,0,2
79,0,2
79,0,2
79,0,2
84,0,2
81,0,2
78,0,2
74,0,2
72,0,2
71,0,2
70,0,2
73,0,2
74,0,2
78,0,2
83,0,2
84,0,2
85,0,2
88,0,2
91,0,2
94,0,2
100,0,2
99,0,2
97,0,2
94,0,2
88,0,2
81,0,2
75,0,2
71,0,2
65,0,2
59,0,2
50,0,2
40,0,2
34,0,2
28,0,2
25,0,2
25,0,2
22,0,2
22,0,2
23,0,2
23,0,2
23,0,2
24,0,2
26,0,2
27,0,2
28,0,2
29,0,2
29,0,2
30,0,2
30,0,2
31,0,2
31,0,2
33,0,2
31,0,2
31,0,2
31,0,2
31,0,2
30,0,2
30,0,2
30,0,2
30,0,2
30,0,2
30,0,2
30,0,2
31,0,2
31,0,2
32,0,2
32,0,2
33,0,2
41,0,2
41,0,2
38,0,2
37,0,2
35,0,2
35,0,2
39,0,2
46,0,2
55,0,2
63,0,2
76,0,2
88,0,2
94,0,2
98,0,2
99,0,2
101,0,2
101,0,2
100,0,2
99,0,2
98,0,2
96,0,2
98,0,2
95,0,2
92,0,2
91,0,2
92,0,2
93,0,2
93,0,2
91,0,2
92,0,2
94,0,2
95,0,2
98,0,2
98,0,2
97,0,2
98,0,2
99,0,2
100,0,2
103,0,2
104,0,2
110,0,2
114,0,2
118,0,2
120,0,2
119,0,2
117,0,2
118,0,2
121,0,2
125,0,2
130,0,2
136,0,2
138,0,2
142,0,2
146,0,2
148,0,2
148,0,2
148,0,2
148,0,2
145,0,2
143,0,2
141,0,2
136,0,2
130,0,2
125,0,2
121,0,2
120,0,2
117,0,2
113,0,2
119,0,2
125,0,2
131,0,2
138,0,2
140,0,2
145,0,2
152,0,2
157,0,2
157,0,2
156,0,2
154,0,2
151,0,2
157,0,2
151,0,2
146,0,2
141,0,2
137,0,2
134,0,2
133,0,2
132,0,2
132,0,2
130,0,2
131,0,2
130,0,2
126,0,2
121,0,2
116,0,2
109,0,2
112,0,2
109,0,2
109,0,2
116,0,2
120,0,2
122,0,2
128,0,2
137,0,2
151,0,2
160,0,2
163,0,2
162,0,2
162,0,2
159,0,2
151,0,2
144,0,2
138,0,2
122,0,2
