R,G,B
80,93,128
81,93,128
83,93,128
83,93,128
81,93,128
78,93,128
73,93,128
73,93,128
64,93,128
62,93,128
56,93,128
53,93,128
50,93,128
47,93,128
44,93,128
44,93,128
45,93,128
44,93,128
41,93,128
39,93,128
35,93,128
33,93,128
32,93,128
30,93,128
32,93,128
32,93,128
35,93,128
36,93,128
38,93,128
41,93,128
44,93,128
46,93,128
47,93,128
48,93,128
51,93,128
53,93,128
54,93,128
57,93,128
60,93,128
63,93,128
64,93,128
67,93,128
69,93,128
70,93,128
73,93,128
76,93,128
78,93,128
77,93,128
76,93,128
75,93,128
76,93,128
78,93,128
79,93,128
78,93,128
78,93,128
80,93,128
82,93,128
83,93,128
82,93,128
84,93,128
88,93,128
92,93,128
94,93,128
97,93,128
100,93,128
103,93,128
105,93,128
105,93,128
105,93,128
101,93,128
97,93,128
92,93,128
88,93,128
83,93,128
76,93,128
68,93,128
61,93,128
55,93,128
53,93,128
52,93,128
50,93,128
51,93,128
50,93,128
49,93,128
47,93,128
48,93,128
49,93,128
51,93,128
49,93,128
49,93,128
49,93,128
49,93,128
48,93,128
48,93,128
48,93,128
48,93,128
46,93,128
47,93,128
48,93,128
47,93,128
48,93,128
51,93,128
53,93,128
54,93,128
55,93,128
55,93,128
58,93,128
59,93,128
59,93,128
60,93,128
60,93,128
61,93,128
59,93,128
60,93,128
60,93,128
59,93,128
59,93,128
59,93,128
59,93,128
57,93,128
60,93,128
60,93,128
60,93,128
60,93,128
61,93,128
60,93,128
58,93,128
57,93,128
55,93,128
54,93,128
54,93,128
55,93,128
53,93,128
53,93,128
52,93,128
52,93,128
48,93,128
48,93,128
46,93,128
45,93,128
43,93,128
45,93,128
48,93,128
51,93,128
59,93,128
63,93,128
68,93,128
77,93,128
83,93,128
89,93,128
95,93,128
99,93,128
105,93,128
110,93,128
114,93,128
115,93,128
117,93,128
122,93,128
125,93,128
126,93,128
130,93,128
131,93,128
133,93,128
132,93,128
131,93,128
131,93,128
131,93,128
132,93,128
132,93,128
132,93,128
135,93,128
136,93,128
137,93,128
139,93,128
141,93,128
142,93,128
143,93,128
142,93,128
142,93,128
145,93,128
147,93,128
147,93,128
146,93,128
144,93,128
144,93,128
143,93,128
141,93,128
139,93,128
135,93,128
127,93,128
121,93,128
117,93,128
115,93,128
118,93,128
121,93,128
124,93,128
124,93,128
124,93,128
127,93,128
130,93,128
127,93,128
126,93,128
128,93,128
132,93,128
133,93,128
132,93,128
129,93,128
124,93,128
117,93,128
112,93,128
105,93,128
96,93,128
91,93,128
91,93,128
89,93,128
84,93,128
81,93,128
79,93,128
76,93,128
74,93,128
74,93,128
75,93,128
76,93,128
77,93,128
75,93,128
79,93,128
80,93,128
79,93,128
78,93,128
79,93,128
78,93,128
77,93,128
80,93,128
80,93,128
82,93,128
79,93,128
80,93,128
82,93,128
78,93,128
82,93,128
90,93,128
95,93,128
102,93,128
108,93,128
112,93,128
115,93,128
118,93,128
120,93,128
119,93,128
121,93,128
74,88,123
75,88,123
77,88,123
77,88,123
75,88,123
74,88,123
71,88,123
71,88,123
67,88,123
65,88,123
60,88,123
58,88,123
56,88,123
54,88,123
52,88,123
50,88,123
53,88,123
52,88,123
51,88,123
49,88,123
47,88,123
45,88,123
44,88,123
41,88,123
43,88,123
44,88,123
46,88,123
48,88,123
49,88,123
52,88,123
54,88,123
55,88,123
