R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
60,0,0
234,0,0
235,0,0
236,0,0
236,0,0
235,0,0
234,0,0
235,0,0
235,0,0
236,0,0
236,0,0
236,0,0
236,0,0
236,0,0
235,0,0
234,0,0
234,0,0
234,0,0
234,0,0
235,0,0
236,0,0
237,0,0
237,0,0
237,0,0
237,0,0
236,0,0
236,0,0
236,0,0
236,0,0
236,0,0
236,0,0
237,0,0
237,0,0
237,0,0
236,0,0
235,0,0
235,0,0
237,0,0
237,0,0
238,0,0
237,0,0
237,0,0
236,0,0
235,0,0
234,0,0
233,0,0
233,0,0
234,0,0
235,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
234,0,0
235,0,0
235,0,0
234,0,0
235,0,0
235,0,0
234,0,0
235,0,0
236,0,0
235,0,0
233,0,0
233,0,0
234,0,0
235,0,0
235,0,0
235,0,0
234,0,0
233,0,0
233,0,0
233,0,0
233,0,0
232,0,0
232,0,0
232,0,0
229,0,0
229,0,0
229,0,0
230,0,0
231,0,0
231,0,0
231,0,0
231,0,0
230,0,0
229,0,0
228,0,0
228,0,0
228,0,0
228,0,0
227,0,0
227,0,0
227,0,0
228,0,0
228,0,0
226,0,0
226,0,0
226,0,0
226,0,0
228,0,0
228,0,0
229,0,0
232,0,0
231,0,0
230,0,0
230,0,0
229,0,0
229,0,0
230,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
228,0,0
228,0,0
228,0,0
227,0,0
227,0,0
227,0,0
227,0,0
227,0,0
224,0,0
224,0,0
224,0,0
224,0,0
224,0,0
224,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
225,0,0
224,0,0
224,0,0
224,0,0
223,0,0
223,0,0
223,0,0
222,0,0
222,0,0
221,0,0
221,0,0
221,0,0
221,0,0
221,0,0
221,0,0
221,0,0
220,0,0
224,0,0
224,0,0
223,0,0
223,0,0
223,0,0
222,0,0
222,0,0
222,0,0
