R,G,B
231,229,208
229,229,208
225,229,208
225,229,208
228,229,208
231,229,208
228,229,208
221,229,208
211,229,208
211,229,208
217,229,208
227,229,208
236,229,208
238,229,208
229,229,208
216,229,208
200,229,208
187,229,208
172,229,208
163,229,208
158,229,208
157,229,208
164,229,208
173,229,208
171,229,208
174,229,208
173,229,208
174,229,208
180,229,208
189,229,208
196,229,208
197,229,208
199,229,208
198,229,208
198,229,208
198,229,208
199,229,208
200,229,208
204,229,208
208,229,208
204,229,208
204,229,208
204,229,208
205,229,208
205,229,208
204,229,208
200,229,208
197,229,208
198,229,208
191,229,208
189,229,208
193,229,208
198,229,208
195,229,208
184,229,208
177,229,208
173,229,208
182,229,208
199,229,208
215,229,208
225,229,208
231,229,208
228,229,208
221,229,208
205,229,208
192,229,208
182,229,208
174,229,208
152,229,208
114,229,208
74,229,208
49,229,208
42,229,208
42,229,208
43,229,208
44,229,208
46,229,208
48,229,208
48,229,208
48,229,208
50,229,208
52,229,208
54,229,208
55,229,208
56,229,208
56,229,208
57,229,208
58,229,208
97,229,208
141,229,208
188,229,208
197,229,208
193,229,208
172,229,208
162,229,208
153,229,208
148,229,208
147,229,208
149,229,208
154,229,208
158,229,208
165,229,208
185,229,208
205,229,208
215,229,208
211,229,208
198,229,208
178,229,208
164,229,208
162,229,208
164,229,208
164,229,208
165,229,208
165,229,208
164,229,208
179,229,208
195,229,208
215,229,208
193,229,208
160,229,208
111,229,208
72,229,208
51,229,208
54,229,208
51,229,208
51,229,208
55,229,208
53,229,208
52,229,208
53,229,208
55,229,208
57,229,208
56,229,208
54,229,208
52,229,208
53,229,208
54,229,208
54,229,208
54,229,208
54,229,208
54,229,208
53,229,208
52,229,208
51,229,208
54,229,208
54,229,208
56,229,208
54,229,208
49,229,208
45,229,208
48,229,208
53,229,208
50,229,208
46,229,208
73,229,208
115,229,208
159,229,208
199,229,208
208,229,208
201,229,208
189,229,208
183,229,208
186,229,208
204,229,208
224,229,208
238,229,208
241,229,208
239,229,208
234,229,208
229,229,208
222,229,208
212,229,208
160,229,208
108,229,208
45,229,208
20,229,208
