R,G,B
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
1,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
1,0,7
3,0,7
4,0,7
4,0,7
2,0,7
1,0,7
0,0,7
0,0,7
0,0,7
0,0,7
1,0,7
5,0,7
4,0,7
6,0,7
9,0,7
7,0,7
5,0,7
4,0,7
1,0,7
1,0,7
1,0,7
1,0,7
5,0,7
3,0,7
3,0,7
5,0,7
5,0,7
1,0,7
0,0,7
0,0,7
0,0,7
1,0,7
3,0,7
1,0,7
1,0,7
1,0,7
3,0,7
6,0,7
3,0,7
4,0,7
4,0,7
4,0,7
4,0,7
4,0,7
4,0,7
7,0,7
2,0,7
4,0,7
4,0,7
6,0,7
6,0,7
6,0,7
6,0,7
4,0,7
3,0,7
2,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
1,0,7
1,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
4,0,7
3,0,7
4,0,7
7,0,7
4,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
1,0,7
4,0,7
5,0,7
1,0,7
0,0,7
0,0,7
0,0,7
1,0,7
4,0,7
5,0,7
4,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
1,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
1,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
2,0,7
1,0,7
1,0,7
1,0,7
2,0,7
2,0,7
2,0,7
3,0,7
3,0,7
3,0,7
4,0,7
3,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
1,0,7
0,0,7
1,1,3
1,1,3
1,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
1,1,3
1,1,3
1,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
1,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
